"","asset_ID","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"x",179584,127.5064,37.8378,"1",129.442221699223,129.442221699223,0,11,6,1,10,9,1,0,2,0,12,3,3,13,124,3,5,3
"x1",85663,127.3374,37.8001,"1",0.37,0.37,0,0,2,1,1,0,0,0,0,0,1,0,0,1,2,1,0,0
"x2",83683,127.3567,37.8039,"3",10.7,10,0,1,3,0,0,0,2,0,0,0,5,2,1,3,19,0,0,0
"x3",83814,127.3648,37.7719,"1",0.231014492753623,0.231014492753623,0,1,1,1,0,2,0,0,1,0,3,0,2,49,40,5,0,1
"x4",83699,127.3655,37.775,"4",0.14,0.134188869407635,0,1,1,1,0,0,0,0,0,0,3,0,2,48,33,4,0,1
"x5",158302,127.3379,37.7717,"3",0.147,0.147,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"x6",83700,127.3643,37.7745,"4",0.14,0.133845742235265,0,1,1,1,0,2,0,0,0,0,3,0,2,47,35,4,0,1
"x7",158304,127.3392,37.772,"4",0.147,0.147,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"x8",158305,127.3399,37.7724,"1",0.147,0.147,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"x9",83695,127.362,37.7776,"4",0.114,0.109,0,1,1,1,0,2,0,0,0,0,1,0,2,33,15,1,0,1
"x10",83696,127.3629,37.7758,"4",0.116,0.11,0,1,1,1,0,2,0,0,0,0,3,0,2,45,36,4,0,1
"x11",119056,127.326,37.7962,"4",1.36,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,0,0
"x12",83750,127.3259,37.7965,"3",1.315,1.315,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,0,0
"x13",119057,127.3264,37.7964,"4",1.95,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,0,0
"x14",83654,127.3259,37.7882,"4",0.136,0.136,0,0,0,0,0,0,0,0,0,0,0,0,1,16,5,1,0,0
"x15",83655,127.3254,37.7899,"4",0.136,0.136,0,0,0,0,0,0,0,0,0,0,0,0,1,16,5,1,0,0
"x16",83657,127.3067,37.7866,"4",0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0
"x17",83658,127.3121,37.792,"3",1.71,1.49,0,0,0,0,0,1,0,0,0,0,0,0,0,12,5,0,0,0
"x18",178163,127.3774,37.654,"1",46.05,46.1467857142857,0,3,1,0,2,1,1,0,0,0,2,0,4,13,32,4,0,0
"x19",83567,127.5761,37.9502,"4",0.0435,0.0415,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"x20",85476,127.5786,37.9526,"1",0.0715950920245399,0.0715950920245399,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"x21",83572,127.5797,37.954,"4",0.139,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"x22",83573,127.5797,37.9535,"1",0.235,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"x23",83571,127.5786,37.9525,"4",0.0981,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"x24",158309,127.5293,37.9555,"3",0.23,0.0842,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0
"x25",118888,127.5594,37.8996,"1",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,20,4,0,0,0
"x26",185826,127.5594,37.8995,"1",6.4,6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,20,4,0,0,0
"x27",118889,127.5593,37.8997,"1",0.429,0.429,0,0,0,0,0,1,0,0,0,0,0,0,0,20,4,0,0,0
"x28",165520,127.5593,37.8996,"1",2.47,2.47,0,0,0,0,0,1,0,0,0,0,0,0,0,20,4,0,0,0
"x29",118890,127.5591,37.9003,"1",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,0,0
"x30",118891,127.5592,37.9,"1",0.363,0.363,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,0,0
"x31",118892,127.5583,37.9026,"4",0.363,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0
"x32",118893,127.5581,37.9031,"1",0.363,0.363,0,0,0,0,0,0,0,0,0,0,0,0,1,17,4,0,0,0
"x33",118894,127.5584,37.9028,"4",0.594,0.594,0,0,0,0,0,0,0,0,0,0,0,0,1,17,4,0,0,0
"x34",123765,127.5589,37.9019,"4",0.810440076335878,0.810440076335878,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0
"x35",118895,127.5594,37.9018,"1",2.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0
"x36",83569,127.5782,37.9512,"4",0.0659,0.0629,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"x37",83570,127.5338,37.955,"4",0.0836,0.0760513886604523,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0
"x38",158308,127.5299,37.9552,"3",0.23,0.0842,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0
"x39",84427,127.5136,37.7533,"1",0.85,0.85,0,1,0,0,0,0,0,0,0,0,1,0,1,10,6,1,0,0
"x40",190231,127.5351,37.9495,"2",1.46666473988439,4.70490173410405,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,1,0
"x41",190230,127.535,37.9499,"3",1.46666631908238,4.39999895724713,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,1,0
"x42",83568,127.543,37.9476,"4",0.0668,0.061,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,1,0
"x43",83421,127.5196,37.9229,"4",0.118,0.109,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"x44",86905,127.561,37.8974,"1",3.2,3.2,0,0,0,0,0,1,0,0,0,0,0,0,0,21,4,0,0,0
"x45",86906,127.5608,37.8973,"1",3.05,3.05,0,0,0,0,0,1,0,0,0,0,0,0,0,21,4,0,0,0
"x46",164505,127.5581,37.8976,"3",1.8,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,0,0
"x47",164507,127.5579,37.8974,"4",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x48",164509,127.5582,37.8977,"2",2.25,2.25,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,0,0
"x49",118896,127.5596,37.9014,"4",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x50",85487,127.5262,37.9654,"1",0.0693877551020408,0.0693877551020408,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
"x51",83576,127.5799,37.9545,"4",0.1,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"x52",85486,127.5264,37.966,"1",0.0693846153846154,0.0693846153846154,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
"x53",83575,127.5261,37.9656,"1",0.111,0.421,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
"x54",118907,127.5582,37.9045,"1",0.363,0.363,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,0,0
"x55",118908,127.5592,37.9047,"1",0.594,0.594,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,0,0
"x56",118910,127.5634,37.9125,"4",0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,0,0,0
"x57",118911,127.5577,37.9044,"1",0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,0,0
"x58",118912,127.5577,37.9043,"2",0.429,0.429,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,0,0
"x59",118918,127.557,37.904,"3",0.264,0.264,0,0,0,0,0,0,0,0,0,0,0,0,1,17,4,0,0,0
"x60",118919,127.5574,37.9035,"4",0.416223997280761,0.416223997280761,0,0,0,0,0,0,0,0,0,0,0,0,1,17,4,0,0,0
"x61",164512,127.5575,37.8974,"1",0.33,0.33,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x62",164513,127.5574,37.8973,"2",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x63",83577,127.5781,37.9581,"4",0.23,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x64",83578,127.5783,37.9587,"4",0.073,0.0655694169061781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x65",118906,127.5587,37.9046,"1",0.363,0.363,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,0,0
"x66",86909,127.56,37.9018,"1",3.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0
"x67",118897,127.5594,37.9014,"4",0.363,0.363,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,0
"x68",118898,127.5596,37.9011,"1",0.363,0.363,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,0,0
"x69",118899,127.5603,37.9002,"1",2.22,2.22,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,0,0
"x70",118900,127.56,37.9007,"3",0.594,0.594,0,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,0,0
"x71",85482,127.5261,37.9649,"1",0.0715625,0.0715625,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
"x72",85483,127.5265,37.9643,"1",0.0716346153846154,0.0716346153846154,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
"x73",85484,127.5268,37.9639,"1",0.0717073170731707,0.0717073170731707,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
"x74",83574,127.5275,37.9665,"4",0.0841,0.0712,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0
"x75",85488,127.524,37.9918,"4",0.0666874463826137,0.0666874463826137,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"x76",85489,127.5265,37.9882,"4",0.0680995038588754,0.0680995038588754,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x77",85490,127.5263,37.9878,"4",0.069401366010446,0.069401366010446,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"x78",158311,127.5388,38.0003,"4",0.0745,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
