"asset_ID","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
171648,126.7947,37.6404,"1",43.05,46.0714285714286,2,35,14,0,17,14,1,2,18,3,81,3,0,10,563,109,32,18
172837,126.7083,37.6849,"1",51,51,0,3,13,0,14,1,2,0,1,0,14,0,2,0,45,4,5,2
172838,126.7083,37.6847,"1",42,42,0,3,13,0,13,1,2,0,1,0,14,0,2,0,44,4,4,1
170275,126.7083,37.6844,"1",35.8,35.8,0,3,13,0,13,1,2,0,1,0,14,0,2,0,42,3,3,1
177296,126.7947,37.6397,"1",41.75,41.75,2,33,11,0,14,13,2,2,18,3,79,3,0,10,521,103,29,18
171689,126.7946,37.6395,"1",41.4,41.4,2,34,12,0,13,13,2,2,18,3,79,3,0,10,516,103,29,18
171690,126.7946,37.6394,"1",41.4,60.8775,2,34,12,0,13,12,2,2,18,3,78,3,0,10,513,101,29,18
58376,126.7939,37.639,"1",0.456,0.456,2,34,11,0,13,13,2,1,18,3,78,3,0,10,515,102,29,18
55836,126.7946,37.6392,"1",1.51,1.51,2,34,7,0,13,12,2,2,18,3,77,2,0,10,510,101,27,18
170270,126.7082,37.6855,"1",14.8,14.8,0,3,13,0,14,1,2,0,1,0,16,0,3,0,47,4,5,2
170269,126.7073,37.6855,"1",14.8,14.8,0,5,10,0,10,1,3,0,1,0,16,0,2,0,38,3,0,0
55837,126.7946,37.639,"1",1.51,1.51,2,34,7,0,11,12,2,2,18,3,77,1,0,10,501,95,26,18
55835,126.7946,37.6388,"1",1.51,1.51,2,34,7,0,9,11,2,1,18,3,75,1,0,10,490,93,26,18
172008,126.7946,37.6391,"1",41.4,41.4,2,34,7,0,13,12,2,2,18,3,77,2,0,10,506,98,27,18
177023,126.7946,37.639,"1",40.9,41.15,2,34,7,0,11,12,2,2,18,3,77,1,0,10,501,95,26,18
177298,126.7945,37.6388,"1",36.9,36.9,2,34,7,0,9,12,2,1,18,3,75,1,0,10,493,93,26,18
58380,126.794,37.6383,"1",5.5,5.5,2,34,8,0,8,11,2,1,18,3,75,1,0,10,472,94,26,18
58381,126.7941,37.6388,"1",5.5,5.5,2,34,10,0,12,12,2,1,18,3,77,2,0,10,505,94,27,18
58382,126.7942,37.6386,"4",5.5,5.5,2,34,8,0,8,12,2,1,18,3,74,2,0,10,488,94,26,18
58383,126.7944,37.6382,"1",1.8,1.8,2,32,4,0,8,11,2,1,17,3,74,0,0,10,453,92,25,17
58384,126.7943,37.6382,"3",1.8,1.8,2,32,5,0,8,11,2,1,17,3,74,0,0,10,457,92,25,17
58377,126.7945,37.6383,"1",1.8,1.8,2,32,4,0,8,11,2,1,17,3,73,0,0,10,460,92,25,17
58378,126.7941,37.6384,"3",1.8,1.8,2,34,8,0,8,11,2,1,18,3,75,1,0,10,474,94,26,18
58379,126.794,37.6384,"2",1.8,1.8,2,34,8,0,8,12,2,1,18,3,75,1,0,10,477,94,26,18
168891,126.7945,37.6387,"1",11.8,11.8,2,34,6,0,8,11,2,1,18,3,74,1,0,10,481,93,26,18
170015,126.7845,37.6336,"1",92.9,92.9,1,18,4,1,3,4,3,0,6,1,57,0,1,3,202,40,8,0
169988,126.7823,37.6313,"1",14.1,14.1,0,5,0,0,2,1,2,0,1,1,21,0,1,0,67,10,3,0
