"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"884",2015,171648,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산동구","백석동","",406,20,"이호조","답","답",1,56,24108000,25800000,"경기도 건설국 하천과","","경기도 고양시 환경친화사업소 생태하천과","2011-09-30","Y","매입","도촌천 하천환경정비사업","2011-10-20",""
"885",2015,170272,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1041,2,"행정","도로","도로",1,2028,239304000,239304000,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2008-05-30","Y","누락재산등록","도로","2011-09-23",""
"886",2015,170273,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1041,4,"행정","도로","도로",1,1634,81863400,81863400,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2008-05-30","Y","누락재산등록","도로","2011-09-23",""
"887",2015,172837,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1115,0,"행정","창고용지","창고용지",1,151,77010000,77010000,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2009-06-22","Y","누락재산등록","창고용지","2012-02-20",""
"888",2015,170274,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1115,1,"행정","도로","도로",1,421,66939000,66939000,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2009-04-08","Y","누락재산등록","도로","2011-09-23",""
"889",2015,172838,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1115,2,"행정","창고용지","창고용지",1,232,97440000,97440000,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2009-06-22","Y","누락재산등록","창고용지","2012-02-20",""
"890",2015,170275,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1115,3,"행정","전","전",1,293,104894000,104894000,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2009-04-08","Y","누락재산등록","도로","2011-09-23",""
"891",2015,170276,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1115,4,"행정","도로","도로",1,140,22260000,22260000,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2009-04-08","Y","누락재산등록","도로","2011-09-23",""
"892",2015,170277,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1115,5,"행정","도로","도로",1,1077,145395000,145395000,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2009-04-08","Y","누락재산등록","도로","2011-09-23",""
"893",2015,170278,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1115,6,"행정","도로","도로",1,2437,328995000,328995000,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2009-04-08","Y","누락재산등록","도로","2011-09-23",""
"894",2015,170279,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1116,0,"행정","도로","도로",1,191,25785000,25785000,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2009-04-08","Y","누락재산등록","도로","2011-09-23",""
"895",2015,170280,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1116,1,"행정","도로","도로",1,940,110920000,110920000,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2009-04-08","Y","누락재산등록","도로","2011-09-23",""
"896",2015,170281,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1116,3,"행정","도로","도로",1,2957,143414500,143414500,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2009-04-08","Y","누락재산등록","도로","2011-09-23",""
"897",2015,170282,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1117,1,"행정","도로","도로",1,888,43068000,43068000,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2009-04-08","Y","누락재산등록","도로","2011-09-23",""
"898",2015,184310,"토지","행정재산","공공용재산","일반회계","일반","경기도 고양시 일산서구","구산동","",1127,3,"행정","도로","도로",1,1043,86047500,86047500,"경기도 건설국 도로정책과","","경기도 고양시 교통안전국 도로정책과","2012-09-21","Y","누락재산등록","도로","2013-12-31",""
