"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"7894",2015,125917,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","상번천리",210,4,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"7895",2015,159766,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","오전리",335,1,"이호조","미등록","미등록",1,NA,7228000,7228000,"경기도 축산산림국 공원녹지과","","","2010-04-16","Y","매입","주차장","2011-03-16",""
"7896",2015,161057,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","불당리",26,7,"이호조","미등록","미등록",1,NA,111920680,111920680,"경기도 축산산림국 공원녹지과","","","2009-11-30","Y","신축","불당리 주차장(아스팔트 포장)","2011-05-20",""
"8046",2015,173145,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","남종면","귀여리",767,3,"이호조","미등록","미등록",1,NA,2434399040,2434399040,"경기도 건설국 도로정책과","","경기도 광주시 안전도시국 건설과","2011-12-19","Y","신축","귀여리 위험도로(광주시 남종면 귀여리 767-3번지 일원)","2012-03-26",""
"8047",2015,185519,"공작물","행정재산","공용재산","팔당호관리","일반","경기도 광주시","남종면","검천리",97,1,"이호조","미등록","미등록",1,NA,2300000,2300000,"경기도 경기도수자원본부","경기도 경기도수자원본부 수질관리과","","2014-06-02","Y","매입","컨테이너 창고","2014-06-11",""
"8048",2015,188821,"공작물","행정재산","공용재산","팔당호관리","산","경기도 광주시","남종면","검천리",98,10,"행정","미등록","미등록",1,NA,711830,711830,"경기도 경기도수자원본부","경기도 경기도수자원본부 수질관리과","","2013-07-12","Y","매입","상수원보호구역 안내판","2015-01-08",""
"8049",2015,188824,"공작물","행정재산","공용재산","팔당호관리","일반","경기도 광주시","남종면","검천리",762,20,"행정","미등록","미등록",1,NA,711830,711830,"경기도 경기도수자원본부","경기도 경기도수자원본부 수질관리과","","2013-07-12","Y","매입","상수원보호구역 안내판","2015-01-08",""
"8050",2015,125970,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","곤지암리",520,8,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"8051",2015,125972,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","곤지암리",520,8,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"8052",2015,125975,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","곤지암리",520,8,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"8053",2015,125976,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","곤지암리",520,8,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"8054",2015,125980,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","곤지암리",520,8,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"8055",2015,138787,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","곤지암리",520,8,"행정","미등록","미등록",1,NA,2500000,2500000,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","2007-06-15","Y","매입","화재진압시설","2008-03-07",""
"8056",2015,125990,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","수양리",401,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"8057",2015,125988,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","수양리",622,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"8058",2015,125968,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","신촌리",135,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"8059",2015,125981,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","만선리",233,10,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"8060",2015,152013,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","산성리",563,0,"이호조","미등록","미등록",1,NA,20273858,20273858,"경기도 축산산림국 공원녹지과","","","2009-12-30","Y","신축","공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)","2010-03-23",""
"8061",2015,152014,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","산성리",563,0,"이호조","미등록","미등록",1,NA,20273858,20273858,"경기도 축산산림국 공원녹지과","","","2009-12-30","Y","신축","공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)","2010-03-23",""
"8062",2015,152015,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","산성리",563,0,"이호조","미등록","미등록",1,NA,20273858,20273858,"경기도 축산산림국 공원녹지과","","","2009-12-30","Y","신축","공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)","2010-03-23",""
"8063",2015,152016,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","산성리",563,0,"이호조","미등록","미등록",1,NA,20273858,20273858,"경기도 축산산림국 공원녹지과","","","2009-12-30","Y","신축","공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)","2010-03-23",""
"8064",2015,152017,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","산성리",563,0,"이호조","미등록","미등록",1,NA,20273858,20273858,"경기도 축산산림국 공원녹지과","","","2009-12-30","Y","신축","공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)","2010-03-23",""
"8065",2015,152018,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","산성리",563,0,"이호조","미등록","미등록",1,NA,20273858,20273858,"경기도 축산산림국 공원녹지과","","","2009-12-30","Y","신축","공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)","2010-03-23",""
"8066",2015,152019,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","산성리",563,0,"이호조","미등록","미등록",1,NA,20273858,20273858,"경기도 축산산림국 공원녹지과","","","2009-12-30","Y","신축","공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)","2010-03-23",""
"8067",2015,152020,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","산성리",563,0,"이호조","미등록","미등록",1,NA,20273858,20273858,"경기도 축산산림국 공원녹지과","","","2009-12-30","Y","신축","공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)","2010-03-23",""
"8068",2015,152021,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","중부면","산성리",563,0,"이호조","미등록","미등록",1,NA,20273858,20273858,"경기도 축산산림국 공원녹지과","","","2009-12-30","Y","신축","공공시설물(파고라,버스승강장,주차관리부스,종합안내사인)","2010-03-23",""
"9749",2015,125793,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","초월읍","무갑리",623,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"9750",2015,174283,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","초월읍","도평리",8,3,"이호조","미등록","미등록",1,NA,80641020,80641020,"경기도 건설국 하천과","","경기도 광주시 안전도시국 건설과","2012-03-27","Y","매입","곤지암천 지장물 보상","2012-05-17",""
"9751",2015,171952,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","유사리",270,1,"이호조","미등록","미등록",1,NA,5060000,5610000,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","2011-11-11","Y","신축","소화전","2011-12-16",""
"9752",2015,125971,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","연곡리",70,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
"9753",2015,125963,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","오향리",399,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","2002-11-06","Y","매입","비상급수시설","2008-03-07",""
"9754",2015,125962,"공작물","행정재산","공용재산","일반회계","일반","경기도 광주시","곤지암읍","열미리",436,9,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","1998-09-15","Y","매입","비상급수시설","2008-03-07",""
