"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"10659",2015,126067,"공작물","행정재산","공용재산","일반회계","일반","경기도 구리시","교문동","",354,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","Y","매입","비상급수시설","2008-03-07",""
"10660",2015,126068,"공작물","행정재산","공용재산","일반회계","일반","경기도 구리시","교문동","",354,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","Y","매입","비상급수시설","2008-03-07",""
"10661",2015,126069,"공작물","행정재산","공용재산","일반회계","일반","경기도 구리시","교문동","",354,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","Y","매입","비상급수시설","2008-03-07",""
"10662",2015,126070,"공작물","행정재산","공용재산","일반회계","일반","경기도 구리시","교문동","",354,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","Y","매입","비상급수시설","2008-03-07",""
"10663",2015,126071,"공작물","행정재산","공용재산","일반회계","일반","경기도 구리시","교문동","",354,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","Y","매입","비상급수시설","2008-03-07",""
"10664",2015,126072,"공작물","행정재산","공용재산","일반회계","일반","경기도 구리시","교문동","",354,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","Y","매입","비상급수시설","2008-03-07",""
"10686",2015,126066,"공작물","행정재산","공용재산","일반회계","일반","경기도 구리시","교문동","",354,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","Y","매입","비상급수시설","2008-03-07",""
"10687",2015,126065,"공작물","행정재산","공용재산","일반회계","일반","경기도 구리시","교문동","",354,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","Y","매입","비상급수시설","2008-03-07",""
"10688",2015,126064,"공작물","행정재산","공용재산","일반회계","일반","경기도 구리시","교문동","",354,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","Y","매입","비상급수시설","2008-03-07",""
"10714",2015,126062,"공작물","행정재산","공용재산","일반회계","일반","경기도 구리시","교문동","",354,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 구리소방서","","1998-07-09","Y","매입","비상급수시설","2008-03-07",""
