"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"232",2015,186386,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","통진읍","고정리",489,2,"이호조","도로","도로",1,50,2553550,2553550,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2014-07-03","Y","매입","경기도 김포시 통진읍 고정리 일반번지 489-2번지","2014-07-18",""
"239",2015,105604,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",135,1,"행정","답","답",1,530,35987000,35987000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1999-05-11","Y","매입","","2008-01-17",""
"240",2015,105605,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",138,4,"행정","답","답",1,2863,194397700,194397700,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-04-11","Y","매입","","2008-01-17",""
"241",2015,105606,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",139,3,"행정","답","답",1,512,34764800,34764800,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-09-16","Y","매입","","2008-01-17",""
"242",2015,105706,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",56,8,"행정","도로","도로",1,2410,368730000,368730000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1997-06-10","Y","매입","","2009-12-23",""
"243",2015,105713,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",58,2,"행정","도로","도로",1,66,693000,693000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1999-06-07","Y","매입","","2009-12-23",""
"244",2015,105793,"토지","행정재산","공공용재산","일반회계","산","경기도 김포시","양촌읍","양곡리",60,4,"행정","도로","도로",1,466,382585000,382585000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1994-06-21","Y","매입","","2008-01-17",""
"245",2015,105743,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",60,6,"행정","구거","구거",1,11,279400,279400,"경기도 건설국 하천과","","경기도 김포시 안전건설국 안전총괄과","1998-03-28","Y","매입","","2008-01-17",""
"246",2015,105748,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",625,6,"행정","대","대",1,27,7614000,7614000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-08-13","Y","매입","","2008-01-17",""
"247",2015,105749,"토지","행정재산","공공용재산","일반회계","일반","경기도 김포시","양촌읍","양곡리",628,2,"행정","도로","도로",1,7,103600,103600,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1999-10-16","Y","매입","","2009-12-23",""
