"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"7863",2015,128076,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 오정구","삼정동","",365,1,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1995-02-22","Y","매입","비상급수시설","2008-03-07",""
"7864",2015,128416,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 오정구","고강동","",404,5,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1990-12-08","Y","매입","비상급수시설","2008-03-07",""
"7865",2015,128419,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 오정구","고강동","",408,10,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2003-12-21","Y","매입","비상급수시설","2008-03-07",""
"7866",2015,128476,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 오정구","고강동","",408,10,"행정","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2003-08-12","Y","매입","비상급수시설","2008-03-07",""
"7867",2015,128395,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 오정구","고강동","",410,19,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1989-03-16","Y","매입","비상급수시설","2008-03-07",""
"7868",2015,128461,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 오정구","고강동","",412,2,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2000-09-15","Y","매입","비상급수시설","2008-03-07",""
"7869",2015,128475,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 오정구","고강동","",413,0,"행정","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2000-09-15","Y","매입","비상급수시설","2008-03-07",""
"7870",2015,128392,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 오정구","고강동","",418,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1989-03-07","Y","매입","비상급수시설","2008-03-07",""
"8013",2015,128160,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 오정구","삼정동","",365,2,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-10-15","Y","매입","비상급수시설","2008-03-07",""
"8014",2015,128135,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 오정구","내동","",9,0,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2001-07-09","Y","매입","비상급수시설","2008-03-07",""
"21294",2015,190533,"용익물권","행정재산","공용재산","일반회계","일반","경기도 부천시 원미구","중동","",1176,2,"행정","미등록","미등록",1,0,2.3e+08,2.3e+08,"경기도 재난안전본부 소방행정과","경기도 부천소방서 소방행정과","","2015-03-27","Y","매입","","2015-06-15",""
"33079",2015,128787,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 원미구","상동","",537,5,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-06-17","Y","매입","비상급수시설","2008-03-07",""
"33080",2015,128579,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 원미구","상동","",539,1,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-06-24","Y","매입","비상급수시설","2008-03-07",""
"33081",2015,128658,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 원미구","중동","",1180,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1998-02-26","Y","매입","비상급수시설","2008-03-07",""
"33091",2015,127921,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 원미구","원미동","",184,59,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2001-08-05","Y","매입","비상급수시설","2008-03-07",""
"33092",2015,127922,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 원미구","원미동","",189,256,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1994-12-05","Y","매입","비상급수시설","2008-03-07",""
"33093",2015,127923,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 원미구","원미동","",193,22,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1994-12-05","Y","매입","비상급수시설","2008-03-07",""
"33094",2015,127924,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 원미구","원미동","",204,83,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1994-12-05","Y","매입","비상급수시설","2008-03-07",""
"33130",2015,128043,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",659,2,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1997-05-31","Y","매입","비상급수시설","2008-03-07",""
"33131",2015,127965,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",660,2,"행정","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2001-07-09","Y","매입","비상급수시설","2008-03-07",""
"33132",2015,128042,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",660,2,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1997-05-31","Y","매입","비상급수시설","2008-03-07",""
"33133",2015,128012,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",660,5,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1980-09-08","Y","매입","비상급수시설","2008-03-07",""
"33134",2015,128065,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",667,2,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-10-25","Y","매입","비상급수시설","2008-03-07",""
"33135",2015,128013,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",670,1,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1982-10-03","Y","매입","비상급수시설","2008-03-07",""
"33136",2015,128028,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",687,4,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1982-10-03","Y","매입","비상급수시설","2008-03-07",""
"33156",2015,128011,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",656,2,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1981-09-28","Y","매입","비상급수시설","2008-03-07",""
"33157",2015,180855,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",653,10,"이호조","미등록","미등록",1,NA,814000,814000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2013-06-26","Y","매입","비상소화전함","2013-06-27",""
"33158",2015,128010,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",649,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1980-09-08","Y","매입","비상급수시설","2008-03-07",""
"33173",2015,128004,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 원미구","심곡동","",36,31,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1986-10-20","Y","매입","비상급수시설","2008-03-07",""
"33182",2015,128009,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",626,39,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1981-09-28","Y","매입","비상급수시설","2008-03-07",""
"33183",2015,128008,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",628,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1980-09-08","Y","매입","비상급수시설","2008-03-07",""
"33184",2015,128057,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",630,42,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2002-07-24","Y","매입","비상급수시설","2008-03-07",""
"33188",2015,127985,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",530,455,"행정","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1997-05-31","Y","매입","비상급수시설","2008-03-07",""
"33189",2015,128049,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",530,455,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1999-11-08","Y","매입","비상급수시설","2008-03-07",""
"33190",2015,127993,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",532,8,"행정","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2003-11-06","Y","매입","비상급수시설","2008-03-07",""
"33214",2015,128025,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",530,300,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2005-09-13","Y","매입","비상급수시설","2008-03-07",""
"33215",2015,128029,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",526,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1984-09-06","Y","매입","비상급수시설","2008-03-07",""
"33216",2015,128053,"공작물","행정재산","공용재산","일반회계","일반","경기도 부천시 소사구","심곡본동","",524,71,"행정","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2000-09-15","Y","매입","비상급수시설","2008-03-07",""
