"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"2529",2015,1356,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","사송동","",615,0,"행정","하천","하천",1,5001,2941200,107013894,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1998-09-16","Y","매입","하천","2006-12-05","[토지분류코드:GA213][관리대장코드:1601011]"
"2530",2015,1357,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","사송동","",616,3,"행정","하천","하천",1,1360,30600000,30600000,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1994-08-19","Y","매입","하천","2006-12-05","[토지분류코드:GA213][관리대장코드:1601012]"
"2531",2015,1358,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","사송동","",619,1,"행정","하천","하천",1,8,184800,184800,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1994-08-19","Y","매입","하천","2006-12-05","[토지분류코드:GA205][관리대장코드:1601013]"
"2532",2015,1359,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","사송동","",619,3,"행정","임야","임야",1,161,903200,903200,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1994-08-19","Y","매입","하천","2006-12-05","[토지분류코드:GA205][관리대장코드:1601014]"
"2533",2015,1360,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","사송동","",619,4,"행정","하천","하천",1,95,532900,532900,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1994-08-19","Y","매입","하천","2006-12-05","[토지분류코드:GA205][관리대장코드:1601015]"
"2534",2015,1361,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","사송동","",620,1,"행정","하천","하천",1,58,1305000,12999993,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1998-09-16","Y","매입","하천","2006-12-05","[토지분류코드:GA213][관리대장코드:1601016]"
"2561",2015,1362,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","사송동","",620,2,"행정","하천","하천",1,499,6648800,107488479,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1998-09-16","Y","매입","하천","2006-12-05","[토지분류코드:GA213][관리대장코드:1601017]"
"2562",2015,1363,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","사송동","",621,1,"행정","하천","하천",1,760,9382500,62799646,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1998-09-16","Y","매입","하천","2006-12-05","[토지분류코드:GA213][관리대장코드:1601018]"
"4249",2015,1539,"토지","일반재산","미등록","일반회계","일반","경기도 성남시 수정구","시흥동","",158,5,"행정","제방","제방",1,30,3230000,3230000,"경기도 자치행정국 회계과","","경기도 성남시 재정경제국 회계과","2004-02-19","Y","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601194]"
"4250",2015,1540,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",158,6,"행정","제방","제방",1,545,44854720,44854720,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-19","Y","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601195]"
"4251",2015,1542,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",158,7,"행정","하천","하천",1,63,2037000,2037000,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-19","Y","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601197]"
"4252",2015,1543,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",158,8,"행정","하천","하천",1,760,30948660,30948660,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-19","Y","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601198]"
"4253",2015,1538,"토지","일반재산","미등록","일반회계","일반","경기도 성남시 수정구","시흥동","",158,9,"행정","제방","제방",1,58,6244660,6244660,"경기도 자치행정국 회계과","","경기도 성남시 재정경제국 회계과","2004-02-19","Y","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601193]"
"4254",2015,1594,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",158,10,"행정","제방","제방",1,27,3252150,3252150,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2005-01-13","Y","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601249]"
"4255",2015,1546,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",159,1,"행정","제방","제방",1,389,39232150,39232150,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-09","Y","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601201]"
"4256",2015,1547,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",159,2,"행정","하천","하천",1,990,50677620,50677620,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-09","Y","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601202]"
"4257",2015,95809,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",159,5,"행정","제방","제방",1,33,3328180,3328180,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2006-03-16","Y","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601201]"
"4258",2015,95807,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",159,6,"행정","하천","하천",1,53,2713040,2713040,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2006-03-16","Y","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601202]"
"4259",2015,97961,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",160,1,"행정","하천","하천",1,774,39551400,39551400,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1976-11-24","Y","매입","","2008-01-17",""
"4260",2015,1548,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",160,2,"행정","도로","도로",1,149,43160330,43160330,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-01-31","Y","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601203]"
"4261",2015,97963,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",160,3,"행정","도로","도로",1,663,33879300,33879300,"경기도 건설국 도로정책과","","경기도 성남시 교통도로국 도로과","1976-11-24","Y","매입","","2008-01-17",""
"4262",2015,97964,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",160,6,"행정","도로","도로",1,70,3577000,3577000,"경기도 건설국 도로정책과","","경기도 성남시 교통도로국 도로과","1976-11-24","Y","매입","","2008-01-17",""
"4263",2015,1549,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",160,7,"행정","도로","도로",1,5,4393330,4393330,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-06-16","Y","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601204]"
"4264",2015,1550,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",160,8,"행정","도로","도로",1,97,85230660,85230660,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-06-16","Y","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601205]"
"4265",2015,97965,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",160,9,"행정","하천","하천",1,65,3321500,3321500,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1976-11-24","Y","매입","","2008-01-17",""
"4266",2015,97962,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",160,10,"행정","도로","도로",1,144,7358400,7358400,"경기도 건설국 도로정책과","","경기도 성남시 교통도로국 도로과","1976-11-24","Y","매입","","2008-01-17",""
"4272",2015,1541,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",158,4,"행정","제방","제방",1,43,1486330,1486330,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-19","Y","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601196]"
"4273",2015,97497,"토지","행정재산","공공용재산","일반회계","일반","경기도 성남시 수정구","시흥동","",157,71,"행정","제방","제방",1,5,965500,965500,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2005-02-04","Y","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601254]"
"7871",2015,129229,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 분당구","정자동","",249,1,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","Y","매입","비상급수시설","2008-03-07",""
"7872",2015,129230,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 분당구","정자동","",249,7,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","Y","매입","비상급수시설","2008-03-07",""
"7873",2015,174259,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 분당구","정자동","",253,0,"이호조","미등록","미등록",1,NA,3580000,3580000,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","2012-05-07","Y","신축","신설 소방용수 시설","2012-05-17",""
"7874",2015,129166,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 분당구","율동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","Y","매입","비상급수시설","2008-03-07",""
"7881",2015,129729,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 중원구","하대원동","",110,9,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 성남소방서","","2004-07-05","Y","매입","비상급수시설","2008-03-07",""
"7882",2015,129789,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 중원구","하대원동","",111,29,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 성남소방서","","2003-05-16","Y","매입","비상급수시설","2008-03-07",""
"7883",2015,129884,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 중원구","하대원동","",112,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 성남소방서","","1900-01-07","Y","매입","비상급수시설","2008-03-07",""
"7884",2015,129875,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 중원구","하대원동","",113,14,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 성남소방서","","1990-11-02","Y","매입","비상급수시설","2008-03-07",""
"7885",2015,129730,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 중원구","하대원동","",118,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 성남소방서","","2004-09-10","Y","매입","비상급수시설","2008-03-07",""
"7983",2015,129411,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 분당구","정자동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","Y","매입","비상급수시설","2008-03-07",""
"7984",2015,129412,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 분당구","정자동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","Y","매입","비상급수시설","2008-03-07",""
"7985",2015,129413,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 분당구","정자동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","Y","매입","비상급수시설","2008-03-07",""
"7986",2015,129446,"공작물","행정재산","공용재산","일반회계","일반","경기도 성남시 분당구","정자동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","Y","매입","비상급수시설","2008-03-07",""
