"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"2",2015,179472,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",524,199,"행정","답","답",1,982,90245800,90245800,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","Y","누락재산등록","하천","2013-01-31",""
"3",2015,183502,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",524,200,"행정","답","답",1,645,58050000,58050000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-19","Y","누락재산등록","하천","2013-11-27",""
"4",2015,187575,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",524,201,"행정","답","답",1,410,38499000,38499000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-02-20","Y","누락재산등록","하천","2014-11-04",""
"24",2015,142211,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","미산동","",484,38,"행정","대","대",1,39,32136000,32136000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2007-10-18","Y","매입","누락재산 일괄등록","2009-10-27",""
"28",2015,183501,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",524,198,"행정","답","답",1,352,31996800,31996800,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-15","Y","누락재산등록","하천","2013-11-27",""
"29",2015,183500,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",524,197,"행정","답","답",1,220,19800000,19800000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-15","Y","누락재산등록","하천","2013-11-27",""
"30",2015,179475,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",524,192,"행정","답","답",1,101,9191000,9191000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","Y","누락재산등록","하천","2013-01-31",""
"46",2015,142235,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","미산동","",484,39,"행정","답","답",1,391,53371000,53371000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2007-10-18","Y","매입","누락재산 일괄등록","2009-10-27",""
"47",2015,142213,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","미산동","",484,40,"행정","답","답",1,71,9692000,9692000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2007-10-18","Y","매입","누락재산 일괄등록","2009-10-27",""
"48",2015,187574,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",210,12,"행정","답","답",1,179,16306900,16306900,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-07","Y","누락재산등록","하천","2014-11-04",""
"49",2015,183971,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",215,15,"행정","답","답",1,168,26376000,26376000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-06-05","Y","매입","하천","2013-12-11",""
"50",2015,179479,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",215,16,"행정","답","답",1,308,27442800,27442800,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","Y","누락재산등록","하천","2013-02-01",""
"51",2015,179478,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",215,17,"행정","답","답",1,177,15930000,15930000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","Y","누락재산등록","하천","2013-01-31",""
"52",2015,183970,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",215,18,"행정","답","답",1,125,19625000,19625000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-05-28","Y","매입","하천","2013-12-11",""
"53",2015,183499,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",215,19,"행정","답","답",1,278,24519600,24519600,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-15","Y","누락재산등록","하천","2013-11-27",""
"54",2015,179477,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",216,7,"행정","답","답",1,182,16380000,16380000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","Y","누락재산등록","하천","2013-01-31",""
"55",2015,179476,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",217,83,"행정","답","답",1,284,25844000,25844000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","Y","누락재산등록","하천","2013-01-31",""
"56",2015,189597,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",524,121,"행정","답","답",1,14,2184000,2184000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-25","Y","매입","하천","2015-03-31",""
"58",2015,189595,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",524,202,"행정","답","답",1,1503,234468000,234468000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-25","Y","매입","하천","2015-03-31",""
"59",2015,189567,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","은행동","",524,203,"행정","답","답",1,155,24180000,24180000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-20","Y","매입","하천","2015-03-31",""
"60",2015,187565,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","안현동","",281,53,"행정","답","답",1,1824,158870400,158870400,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-06-03","Y","누락재산등록","하천","2014-11-04",""
"61",2015,187566,"토지","행정재산","공공용재산","일반회계","일반","경기도 시흥시","안현동","",281,54,"행정","답","답",1,67,5835700,5835700,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-07","Y","누락재산등록","하천","2014-11-04",""
