"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"1152",2015,132569,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선감동","",436,3,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","Y","매입","비상급수시설","2008-03-07",""
"1153",2015,132572,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선감동","",667,2,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","Y","매입","비상급수시설","2008-03-07",""
"1154",2015,190013,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선감동","",717,0,"행정","미등록","미등록",1,NA,2212464420,2212464420,"경기도 농정해양국 수산과","","","2009-05-08","Y","신축","탄도항 부잔교","2015-04-21",""
"1155",2015,181370,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","풍도동","",10,1,"이호조","미등록","미등록",1,NA,765600,765600,"경기도 재난안전본부 소방행정과","경기도 안산소방서 소방행정과","","2013-06-28","Y","신축","비상소화장치함","2013-07-05",""
"1156",2015,138828,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","화정동","",115,0,"행정","미등록","미등록",1,NA,2240590,2240590,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2007-11-01","Y","매입","화재진압시설","2008-03-07",""
"1157",2015,131866,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","화정동","",519,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2000-10-12","Y","매입","비상급수시설","2008-03-07",""
"1180",2015,124524,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선감동","",400,3,"행정","미등록","미등록",1,NA,8600000,8600000,"경기도 문화체육관광국 문화정책과","","경기도 화성시 시장","1995-04-25","Y","누락재산등록","테니스장(휀스)","2008-03-06",""
"1181",2015,124523,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선감동","",400,3,"행정","미등록","미등록",1,NA,48796000,48796000,"경기도 문화체육관광국 문화정책과","","경기도 화성시 시장","1995-11-25","Y","누락재산등록","담장","2008-03-06",""
"1206",2015,132559,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선감동","",146,55,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-04-04","Y","매입","비상급수시설","2008-03-07",""
"1207",2015,132591,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선감동","",268,2,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2006-09-06","Y","매입","비상급수시설","2008-03-07",""
"1208",2015,124521,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선감동","",400,3,"행정","미등록","미등록",1,NA,71831000,8600000,"경기도 문화체육관광국 문화정책과","","경기도 화성시 시장","1994-09-23","Y","누락재산등록","옹벽","2008-03-06",""
"1209",2015,124522,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선감동","",400,3,"행정","미등록","미등록",1,NA,26073000,26073000,"경기도 문화체육관광국 문화정책과","","경기도 화성시 시장","1995-12-25","Y","누락재산등록","옹벽","2008-03-06",""
"1546",2015,132551,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","대부북동","",1857,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-07-29","Y","매입","비상급수시설","2008-03-07",""
"1547",2015,138838,"공작물","행정재산","공용재산","일반회계","산","경기도 안산시 단원구","대부남동","",33,13,"행정","미등록","미등록",1,NA,2240590,2240590,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2007-11-01","Y","매입","화재진압시설","2008-03-07",""
"1548",2015,131725,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선부동","",1107,8,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","Y","매입","비상급수시설","2008-03-07",""
"1549",2015,131734,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선부동","",1108,1,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","Y","매입","비상급수시설","2008-03-07",""
"1550",2015,131737,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선부동","",1119,21,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","Y","매입","비상급수시설","2008-03-07",""
"1551",2015,131736,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선부동","",1123,7,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","Y","매입","비상급수시설","2008-03-07",""
"1552",2015,131735,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선부동","",1126,15,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","Y","매입","비상급수시설","2008-03-07",""
"1553",2015,131869,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선부동","",1134,2,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","Y","매입","비상급수시설","2008-03-07",""
"1554",2015,131724,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선부동","",1142,3,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","Y","매입","비상급수시설","2008-03-07",""
"1555",2015,131730,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","선부동","",1143,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","Y","매입","비상급수시설","2008-03-07",""
"1556",2015,180719,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","대부동동","",10,1,"이호조","미등록","미등록",1,NA,3908500,3908500,"경기도 재난안전본부 소방행정과","경기도 안산소방서 소방행정과","","2013-06-18","Y","신축","지상식소화전(2개소)","2013-06-24",""
"1557",2015,180720,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","대부동동","",10,1,"이호조","미등록","미등록",1,NA,3908500,3908500,"경기도 재난안전본부 소방행정과","경기도 안산소방서 소방행정과","","2013-06-18","Y","신축","지상식소화전(2개소)","2013-06-24",""
"1573",2015,132424,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","대부북동","",1856,303,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","Y","매입","비상급수시설","2008-03-07",""
"1574",2015,132552,"공작물","행정재산","공용재산","일반회계","일반","경기도 안산시 단원구","대부북동","",1856,8,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-07-29","Y","매입","비상급수시설","2008-03-07",""
