"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"316",2015,35287,"토지","행정재산","공공용재산","일반회계","일반","경기도 안성시","고삼면","봉산리",639,19,"행정","전","전",1,444,3277600,3277600,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1996-06-13","Y","매입","하천","2007-07-18","[토지분류코드:GA201][관리대장코드:1632671]"
"317",2015,35288,"토지","행정재산","공공용재산","일반회계","일반","경기도 안성시","고삼면","봉산리",639,20,"행정","전","전",1,726,5153080,5153080,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1996-05-27","Y","매입","하천","2007-07-18","[토지분류코드:GA201][관리대장코드:1632672]"
"318",2015,35289,"토지","행정재산","공공용재산","일반회계","일반","경기도 안성시","고삼면","봉산리",639,21,"행정","하천","하천",1,776,967350,967350,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1996-06-13","Y","매입","하천","2007-07-18","[토지분류코드:GA213][관리대장코드:1632673]"
"319",2015,35290,"토지","행정재산","공공용재산","일반회계","일반","경기도 안성시","고삼면","봉산리",639,22,"행정","전","전",1,606,5181300,5181300,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1996-04-23","Y","매입","하천","2007-07-18","[토지분류코드:GA201][관리대장코드:1632674]"
"320",2015,35291,"토지","행정재산","공공용재산","일반회계","일반","경기도 안성시","고삼면","봉산리",639,23,"행정","전","전",1,260,2223000,2223000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1996-08-23","Y","매입","하천","2007-07-18","[토지분류코드:GA201][관리대장코드:1632675]"
"321",2015,35295,"토지","행정재산","공공용재산","일반회계","일반","경기도 안성시","고삼면","봉산리",640,0,"행정","하천","하천",1,5335,6650540,6650540,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1996-06-13","Y","매입","하천","2007-07-18","[토지분류코드:GA213][관리대장코드:1632679]"
"322",2015,162051,"토지","행정재산","공공용재산","일반회계","일반","경기도 안성시","고삼면","봉산리",641,0,"행정","하천","하천",1,1114,12031200,12031200,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1996-06-13","Y","누락재산등록","하천","2011-06-08",""
"323",2015,162055,"토지","행정재산","공공용재산","일반회계","일반","경기도 안성시","고삼면","봉산리",642,0,"행정","하천","하천",1,1101,11890800,11890800,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1996-06-13","Y","누락재산등록","하천","2011-06-08",""
"324",2015,162062,"토지","행정재산","공공용재산","일반회계","일반","경기도 안성시","고삼면","봉산리",643,0,"행정","하천","하천",1,1345,14526000,14526000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1996-06-13","Y","누락재산등록","하천","2011-06-09",""
"325",2015,162063,"토지","행정재산","공공용재산","일반회계","일반","경기도 안성시","고삼면","봉산리",644,0,"행정","하천","하천",1,863,9320400,9320400,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1996-06-13","Y","누락재산등록","하천","2011-06-09",""
