"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"12575",2015,133262,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 만안구","안양동","",41,5,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수시설","2008-03-07",""
"12576",2015,133401,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 만안구","안양동","",62,11,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","1994-07-01","Y","매입","소방용수시설","2008-03-07",""
"21293",2015,189299,"용익물권","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",902,20,"행정","미등록","미등록",1,84.9,2.4e+08,2.4e+08,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2015-02-13","Y","매입","생활관 임차","2015-02-25",""
"33082",2015,133324,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",933,18,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수시설","2008-03-07",""
"33083",2015,133299,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",935,9,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","1978-07-12","Y","매입","소방용수시설","2008-03-07",""
"33084",2015,133340,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",939,39,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수시설","2008-03-07",""
"33085",2015,133318,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",942,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","1980-11-22","Y","매입","소방용수시설","2008-03-07",""
"33086",2015,133316,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",943,15,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수시설","2008-03-07",""
"33087",2015,133315,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",944,3,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수시설","2008-03-07",""
"33088",2015,133337,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",945,70,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수시설","2008-03-07",""
"33089",2015,133302,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",949,1,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","1978-07-12","Y","매입","소방용수시설","2008-03-07",""
"33090",2015,133307,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",950,5,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","1986-05-09","Y","매입","소방용수시설","2008-03-07",""
"33566",2015,133343,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",705,7,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수시설","2008-03-07",""
"33567",2015,133311,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",766,4,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수시설","2008-03-07",""
"33568",2015,133308,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",829,1,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수시설","2008-03-07",""
"34078",2015,133296,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",837,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","1978-07-12","Y","매입","소방용수시설","2008-03-07",""
"34079",2015,133345,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",950,5,"행정","미등록","미등록",1,NA,1500000,1500000,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수보조시설","2008-03-07",""
"34080",2015,133339,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",952,24,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","","Y","매입","소방용수시설","2008-03-07",""
"34081",2015,133341,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",954,16,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수시설","2008-03-07",""
"34082",2015,133320,"공작물","행정재산","공용재산","일반회계","일반","경기도 안양시 동안구","호계동","",959,19,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안양소방서","","2004-12-31","Y","매입","소방용수시설","2008-03-07",""
