"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"1122",2015,133495,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","양근리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","1999-11-30","Y","매입","소방용수시설","2008-03-07",""
"1140",2015,133576,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","양근리",212,5,"행정","미등록","미등록",1,NA,3500000,3500000,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","2006-08-09","Y","매입","소방용수시설","2008-03-07",""
"1141",2015,133483,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","양근리",221,4,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","1980-10-31","Y","매입","소방용수시설","2008-03-07",""
"1142",2015,133527,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","양근리",234,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","2003-07-03","Y","매입","소방용수시설","2008-03-07",""
"1143",2015,133525,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","양근리",249,2,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","2003-05-09","Y","매입","소방용수시설","2008-03-07",""
"1144",2015,133564,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","양근리",287,1,"행정","미등록","미등록",1,NA,3500000,3500000,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","2005-09-14","Y","매입","소방용수시설","2008-03-07",""
"1145",2015,133589,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","양근리",300,2,"행정","미등록","미등록",1,NA,3500000,3500000,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","2006-10-18","Y","매입","소방용수시설","2008-03-07",""
"1146",2015,133521,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","양근리",309,6,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","2002-10-31","Y","매입","소방용수시설","2008-03-07",""
"1147",2015,133590,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","양근리",340,1,"행정","미등록","미등록",1,NA,3500000,3500000,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","2006-10-18","Y","매입","소방용수시설","2008-03-07",""
"1148",2015,133594,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","양근리",340,1,"행정","미등록","미등록",1,NA,3500000,3500000,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","2006-10-18","Y","매입","소방용수시설","2008-03-07",""
"1210",2015,133494,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","양근리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","1999-11-30","Y","매입","소방용수시설","2008-03-07",""
"1211",2015,153829,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","",410,22,"이호조","미등록","미등록",1,NA,1660000,1660000,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","2010-04-21","Y","신축","경기도 양평군 양평읍   -번지","2010-05-18",""
"1212",2015,160918,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","",0,0,"이호조","미등록","미등록",1,NA,3298000,3298000,"경기도 재난안전본부 소방행정과","경기도 양평소방서 소방행정과","","2011-04-28","Y","신축","신설소방용수시설","2011-05-16",""
"1297",2015,160914,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","",0,0,"이호조","미등록","미등록",1,NA,3298000,3298000,"경기도 재난안전본부 소방행정과","경기도 양평소방서 소방행정과","","2011-04-28","Y","신축","신설소방용수시설","2011-05-16",""
"1298",2015,160915,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","",0,0,"이호조","미등록","미등록",1,NA,3298000,3298000,"경기도 재난안전본부 소방행정과","경기도 양평소방서 소방행정과","","2011-04-28","Y","신축","신설소방용수시설","2011-05-16",""
"1299",2015,160916,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","",0,0,"이호조","미등록","미등록",1,NA,3298000,3298000,"경기도 재난안전본부 소방행정과","경기도 양평소방서 소방행정과","","2011-04-28","Y","신축","신설소방용수시설","2011-05-16",""
"1300",2015,160917,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양평읍","",0,0,"이호조","미등록","미등록",1,NA,3298000,3298000,"경기도 재난안전본부 소방행정과","경기도 양평소방서 소방행정과","","2011-04-28","Y","신축","신설소방용수시설","2011-05-16",""
"10618",2015,124378,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","용문면","광탄리",235,1,"행정","미등록","미등록",1,NA,10400000,10400000,"경기도 경기도해양수산자원연구소","","","1989-08-30","Y","매입","담(연구소경계)","2008-02-11",""
"10619",2015,124379,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","용문면","광탄리",235,1,"행정","미등록","미등록",1,NA,97055640,97055000,"경기도 경기도해양수산자원연구소","","","2004-12-04","Y","매입","생태연못","2008-02-11",""
"10702",2015,124380,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","용문면","광탄리",235,1,"행정","미등록","미등록",10,NA,2880000,30720000,"경기도 경기도해양수산자원연구소","","","1988-12-28","Y","매입","옥외시험지","2008-02-11",""
"10703",2015,124381,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","용문면","광탄리",235,1,"행정","미등록","미등록",6,NA,1728000,2560000,"경기도 경기도해양수산자원연구소","","","1988-12-28","Y","매입","옥외시험지","2008-02-11",""
"12873",2015,151101,"공작물","행정재산","공용재산","일반회계","일반","경기도 양평군","양서면","양수리",0,0,"이호조","미등록","미등록",1,NA,2503020,2503020,"경기도 재난안전본부 소방행정과","경기도 양평소방서","","2009-06-05","Y","신축","지상식소화전","2010-01-12",""
