"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"14241",2015,127725,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","연천읍","차탄리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1996-11-10","Y","매입","소화용수","2008-03-07",""
"14242",2015,127726,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","연천읍","차탄리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1997-10-12","Y","매입","소화용수","2008-03-07",""
"14243",2015,127727,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","연천읍","차탄리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1997-12-04","Y","매입","소화용수","2008-03-07",""
"14244",2015,127728,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","연천읍","차탄리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1997-12-04","Y","매입","소화용수","2008-03-07",""
"14294",2015,127658,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1998-12-03","Y","매입","소화용수","2008-03-07",""
"14295",2015,127659,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1996-11-03","Y","매입","소화용수","2008-03-07",""
"14696",2015,127716,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","청산면","대전리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","2000-10-31","Y","매입","소화용수","2008-03-07",""
"14847",2015,127720,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","청산면","대전리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","2004-11-17","Y","매입","소화용수","2008-03-07",""
"14848",2015,185259,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","청산면","대전리",242,1,"이호조","미등록","미등록",1,NA,43341233440,43341233440,"경기도 경기도건설본부","경기도 경기도건설본부 북부도로과","","2013-01-01","Y","신축","청산-백의간 도로확포장","2014-04-04",""
"17223",2015,127692,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","청산면","백의리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1995-03-02","Y","매입","소화용수","2008-03-07",""
"17224",2015,127698,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","청산면","백의리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","2004-11-17","Y","매입","소화용수","2008-03-07",""
"17987",2015,127662,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1998-11-26","Y","매입","소화용수","2008-03-07",""
"17988",2015,127663,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1998-11-05","Y","매입","소화용수","2008-03-07",""
"17989",2015,127664,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1998-12-03","Y","매입","소화용수","2008-03-07",""
"17990",2015,127665,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1999-12-10","Y","매입","소화용수","2008-03-07",""
"17991",2015,127666,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","2000-07-20","Y","매입","소화용수","2008-03-07",""
"17992",2015,127667,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1998-11-12","Y","매입","소화용수","2008-03-07",""
"17993",2015,127668,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","2000-10-13","Y","매입","소화용수","2008-03-07",""
"17994",2015,127669,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","2000-10-12","Y","매입","소화용수","2008-03-07",""
"17995",2015,127670,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1998-10-03","Y","매입","소화용수","2008-03-07",""
"17996",2015,127671,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1998-12-03","Y","매입","소화용수","2008-03-07",""
"17997",2015,127672,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1998-12-03","Y","매입","소화용수","2008-03-07",""
"17998",2015,127673,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","2002-02-11","Y","매입","소화용수","2008-03-07",""
"17999",2015,127787,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",0,0,"행정","미등록","미등록",1,NA,3050000,3050000,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1998-05-09","Y","매입","경보등","2008-03-07",""
"18000",2015,186035,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",33,5,"이호조","미등록","미등록",1,NA,3321450,3321450,"경기도 재난안전본부 소방행정과","경기도 연천소방서","","2014-06-18","Y","신축","소방용수시설","2014-06-27",""
"18001",2015,97689,"공작물","행정재산","공용재산","일반회계","일반","경기도 연천군","전곡읍","전곡리",229,2,"행정","미등록","미등록",1,NA,3095140,3095000,"경기도 재난안전본부 소방행정과","경기도 동두천소방서 소방행정과","","1998-05-09","Y","신축","경보등","2008-01-04",""
