"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"1",2015,44339,"토지","행정재산","공공용재산","일반회계","일반","경기도 오산시","누읍동","",279,1,"행정","하천","하천",1,75,7087500,7087500,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1998-12-05","Y","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641650]"
"5",2015,94574,"토지","행정재산","공공용재산","일반회계","일반","경기도 오산시","벌음동","",212,3,"행정","하천","하천",1,4,58930,58930,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1999-02-18","Y","매입","도로","2007-09-18","[토지분류코드:GA202][관리대장코드:1641692]"
"6",2015,94576,"토지","행정재산","공공용재산","일반회계","일반","경기도 오산시","벌음동","",212,5,"행정","하천","하천",1,12,176800,176800,"경기도 건설국 하천과","","경기도 오산시 경제문화국 토지정보과","1999-02-18","Y","매입","도로","2007-09-18","[토지분류코드:GA202][관리대장코드:1641692]"
"7",2015,44382,"토지","행정재산","공공용재산","일반회계","일반","경기도 오산시","벌음동","",213,1,"행정","하천","하천",1,17,442000,442000,"경기도 건설국 하천과","","경기도 오산시 경제문화국 토지정보과","1999-03-17","Y","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641693]"
"8",2015,44385,"토지","행정재산","공공용재산","일반회계","일반","경기도 오산시","벌음동","",229,2,"행정","도로","도로",1,311,16973390,16973390,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1987-08-17","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1641696]"
"9",2015,44391,"토지","행정재산","공공용재산","일반회계","일반","경기도 오산시","벌음동","",232,5,"행정","하천","하천",1,264,21822240,21822240,"경기도 건설국 하천과","","경기도 오산시 경제문화국 토지정보과","1999-03-25","Y","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641702]"
"10",2015,44392,"토지","행정재산","공공용재산","일반회계","일반","경기도 오산시","벌음동","",232,6,"행정","하천","하천",1,14,1157240,1157240,"경기도 건설국 하천과","","경기도 오산시 경제문화국 토지정보과","1999-03-05","Y","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641703]"
"11",2015,44393,"토지","행정재산","공공용재산","일반회계","일반","경기도 오산시","벌음동","",233,2,"행정","도로","도로",1,40,3306400,3306400,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1988-09-10","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1641704]"
"12",2015,44395,"토지","행정재산","공공용재산","일반회계","일반","경기도 오산시","벌음동","",235,2,"행정","도로","도로",1,49,9138500,9138500,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1987-10-22","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1641706]"
"13",2015,94578,"토지","행정재산","공공용재산","일반회계","일반","경기도 오산시","벌음동","",235,7,"행정","도로","도로",1,59,11003500,11003500,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1987-10-22","Y","매입","도로","2007-09-18","[토지분류코드:GA211][관리대장코드:1641706]"
