"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"449",2015,141091,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","유방동","",416,2,"행정","하천","하천",1,88,12144000,12144000,"경기도 건설국 하천과","","경기도 용인시 안전건설국 하천과","2007-12-12","Y","매입","하천","2009-11-02",""
"450",2015,161611,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","남사면","봉명리",583,16,"이호조","답","답",1,721,257757490,257757490,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2010-12-28","Y","매입","남사면 봉명리 583-16,토지보상금","2011-05-31",""
"451",2015,174531,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","남사면","봉명리",584,5,"이호조","답","답",1,41,15539000,15539000,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2012-03-06","Y","매입","남사면 봉명리 584-5, 토지보상금","2012-06-07",""
"452",2015,142484,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","원삼면","학일리",36,1,"행정","전","전",1,431,29308000,29308000,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2007-04-11","Y","매입","누락재산 일괄등록","2008-11-21",""
"453",2015,99762,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","원삼면","학일리",37,0,"행정","대","대",1,421,31575000,31575000,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2003-08-26","Y","매입","","2008-01-17",""
"454",2015,99763,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","원삼면","학일리",37,1,"행정","대","대",1,252,18900000,18900000,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2004-04-29","Y","매입","","2008-01-17",""
"455",2015,99764,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","원삼면","학일리",37,3,"행정","대","대",1,277,20775000,20775000,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2003-08-26","Y","매입","","2008-01-17",""
"456",2015,99765,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","원삼면","학일리",37,4,"행정","대","대",1,333,24975000,24975000,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2003-08-26","Y","매입","","2008-01-17",""
"457",2015,99766,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","원삼면","학일리",38,0,"행정","전","전",1,542,15176000,15176000,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2004-04-29","Y","매입","","2008-01-17",""
"458",2015,99767,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","원삼면","학일리",39,4,"행정","답","답",1,393,12379500,12379500,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2003-08-08","Y","매입","","2008-01-17",""
"459",2015,142510,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","원삼면","학일리",40,1,"행정","답","답",1,156,10686000,10686000,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2007-03-22","Y","매입","누락재산 일괄등록","2008-11-21",""
"460",2015,99768,"토지","행정재산","공공용재산","일반회계","일반","경기도 용인시 처인구","원삼면","학일리",41,2,"행정","답","답",1,943,29704500,29704500,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2003-08-08","Y","매입","","2008-01-17",""
"461",2015,139043,"토지","행정재산","공공용재산","일반회계","산","경기도 용인시 처인구","원삼면","학일리",54,1,"행정","임야","임야",1,2018,18141820,18141820,"경기도 건설국 도로정책과","","경기도 용인시 안전건설국 건설과","2007-04-23","Y","매입","","2008-03-17",""
