"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"474",2015,42854,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","포일동","",149,10,"행정","임야","임야",1,1709,25293200,25293200,"경기도 건설국 하천과","","경기도 의왕시 안전행정국 안전총괄과","1999-03-27","Y","매입","하천","2007-07-18","[토지분류코드:GA205][관리대장코드:1640222]"
"475",2015,94797,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","포일동","",149,14,"행정","임야","임야",1,688,10182400,10182400,"경기도 건설국 하천과","","경기도 의왕시 안전행정국 안전총괄과","2001-04-04","Y","매입","하천","2007-07-18","[토지분류코드:GA205][관리대장코드:1640222]"
"479",2015,160232,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","월암동","",148,6,"행정","도로","도로",1,357,82752600,102452600,"경기도 건설국 도로정책과","","경기도 의왕시 도시개발국 도로건설과","2010-04-21","Y","누락재산등록","도로","2011-04-05",""
"480",2015,162033,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","월암동","",171,17,"행정","도로","도로",1,76,2333200,27300000,"경기도 건설국 도로정책과","","경기도 의왕시 도시개발국 도로건설과","2009-10-14","Y","누락재산등록","도로","2011-06-07",""
"481",2015,160224,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","월암동","",250,2,"행정","도로","도로",1,780,160665800,402209750,"경기도 건설국 도로정책과","","경기도 의왕시 도시개발국 도로건설과","2010-04-21","Y","누락재산등록","도로","2011-04-04",""
"482",2015,43292,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","월암동","",250,3,"행정","도로","도로",1,201,11563500,11563500,"경기도 건설국 도로정책과","","경기도 의왕시 도시개발국 도로건설과","1995-07-12","Y","매입","도로","2007-07-18","[토지분류코드:GA201][관리대장코드:1640660]"
"483",2015,160230,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","월암동","",250,5,"행정","전","전",1,6,1765800,21465800,"경기도 건설국 도로정책과","","경기도 의왕시 도시개발국 도로건설과","2010-04-21","Y","누락재산등록","도로","2011-04-05",""
"484",2015,43294,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","월암동","",251,0,"행정","도로","도로",1,1623,73324000,73324000,"경기도 건설국 도로정책과","","경기도 의왕시 도시개발국 도로건설과","1995-07-12","Y","매입","도로","2009-08-06","[토지분류코드:GA202][관리대장코드:1640662]"
"485",2015,43296,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","월암동","",253,0,"행정","도로","도로",1,25595,1506846020,1499553020,"경기도 건설국 도로정책과","","경기도 의왕시 도시개발국 도로건설과","1995-11-30","Y","매입","도로","2009-08-06","[토지분류코드:GA201][관리대장코드:1640664]"
"486",2015,43312,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","월암동","",259,2,"행정","전","전",1,553,36276800,36276800,"경기도 건설국 도로정책과","","경기도 의왕시 도시개발국 도로건설과","1995-09-27","Y","매입","도로","2007-07-18","[토지분류코드:GA201][관리대장코드:1640680]"
"487",2015,43314,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","월암동","",259,4,"행정","대","대",1,161,45885000,45885000,"경기도 건설국 도로정책과","","경기도 의왕시 도시개발국 도로건설과","1995-05-01","Y","매입","도로","2007-07-18","[토지분류코드:GA208][관리대장코드:1640682]"
"488",2015,162036,"토지","행정재산","공공용재산","일반회계","일반","경기도 의왕시","월암동","",259,7,"행정","도로","도로",1,70,3185000,26256660,"경기도 건설국 도로정책과","","경기도 의왕시 도시개발국 도로건설과","2009-10-28","Y","누락재산등록","도로","2011-06-07",""
