"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"7875",2015,135201,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","신곡동","",715,10,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"7876",2015,135220,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","신곡동","",717,7,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"7877",2015,135197,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","신곡동","",719,5,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"7878",2015,135222,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","신곡동","",720,4,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"7879",2015,135224,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","신곡동","",720,7,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"7880",2015,135194,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","신곡동","",722,1,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8010",2015,135309,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","민락동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8011",2015,135308,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","민락동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8012",2015,135307,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","민락동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8015",2015,135226,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","신곡동","",702,1,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8016",2015,135204,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","신곡동","",703,1,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8017",2015,135227,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","신곡동","",703,7,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8018",2015,135217,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","신곡동","",707,7,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8030",2015,135303,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","용현동","",627,1,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8031",2015,135262,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","민락동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8032",2015,135263,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","민락동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8033",2015,135264,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","민락동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8034",2015,135265,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","민락동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8035",2015,135266,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","민락동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
"8036",2015,135301,"공작물","행정재산","공용재산","일반회계","일반","경기도 의정부시","민락동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","Y","매입","소방용수시설","2008-03-07",""
