"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"7940",2015,135621,"공작물","행정재산","공용재산","일반회계","일반","경기도 이천시","부발읍","아미리",1006,11,"행정","미등록","미등록",1,NA,2500000,2500000,"경기도 재난안전본부 소방행정과","경기도 이천소방서","","2000-10-28","Y","매입","소방용수시설","2008-03-07",""
"7941",2015,135635,"공작물","행정재산","공용재산","일반회계","일반","경기도 이천시","부발읍","가산리",470,5,"행정","미등록","미등록",1,NA,2500000,2500000,"경기도 재난안전본부 소방행정과","경기도 이천소방서","","2005-08-5","Y","매입","소방용수시설","2008-03-07",""
"7942",2015,189848,"공작물","행정재산","공용재산","일반회계","일반","경기도 이천시","부발읍","응암리",1,0,"이호조","미등록","미등록",1,NA,11507451010,11507451010,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2014-01-01","Y","신축","하천시설물","2015-04-13",""
"7943",2015,135636,"공작물","행정재산","공용재산","일반회계","일반","경기도 이천시","부발읍","응암리",90,4,"행정","미등록","미등록",1,NA,2500000,2500000,"경기도 재난안전본부 소방행정과","경기도 이천소방서","","2005-08-5","Y","매입","소방용수시설","2008-03-07",""
"7944",2015,135611,"공작물","행정재산","공용재산","일반회계","일반","경기도 이천시","신둔면","수광리",260,8,"행정","미등록","미등록",1,NA,2500000,2500000,"경기도 재난안전본부 소방행정과","경기도 이천소방서","","2006-08-28","Y","매입","소방용수시설","2008-03-07",""
"7945",2015,185161,"공작물","행정재산","공용재산","일반회계","일반","경기도 이천시","신둔면","도암리",1156,0,"이호조","미등록","미등록",1,NA,4676914380,9915679020,"경기도 건설국 하천과","","","2013-07-30","Y","신축","신둔천 생태하천 제방","2014-03-24",""
"7946",2015,135534,"공작물","행정재산","공용재산","일반회계","일반","경기도 이천시","백사면","현방리",99,40,"행정","미등록","미등록",1,NA,840000,840000,"경기도 재난안전본부 소방행정과","경기도 이천소방서","","2006-10-31","Y","매입","관서표지시설","2008-03-07",""
"7947",2015,153833,"공작물","행정재산","공용재산","일반회계","일반","경기도 이천시","백사면","현방리",99,40,"이호조","미등록","미등록",1,NA,4953750,4953750,"경기도 재난안전본부 소방행정과","경기도 이천소방서 관고119안전센터","","2010-05-17","Y","신축","소화전","2010-05-18",""
"8042",2015,135623,"공작물","행정재산","공용재산","일반회계","일반","경기도 이천시","부발읍","신하리",487,7,"행정","미등록","미등록",1,NA,2500000,2500000,"경기도 재난안전본부 소방행정과","경기도 이천소방서","","2000-10-28","Y","매입","소방용수시설","2008-03-07",""
"8043",2015,169499,"공작물","행정재산","공용재산","일반회계","일반","경기도 이천시","부발읍","아미리",0,0,"이호조","미등록","미등록",1,NA,259700,259700,"경기도 재난안전본부 소방행정과","경기도 이천소방서","","2011-08-16","Y","신축","소화전보호틀","2011-09-16",""
