"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"1202",2015,137669,"공작물","행정재산","공용재산","일반회계","일반","경기도 파주시","문발동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 파주소방서","","2004-03-17","Y","매입","비상급수시설","2008-03-07",""
"1203",2015,137670,"공작물","행정재산","공용재산","일반회계","일반","경기도 파주시","문발동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 파주소방서","","2004-03-17","Y","매입","비상급수시설","2008-03-07",""
"1204",2015,137671,"공작물","행정재산","공용재산","일반회계","일반","경기도 파주시","문발동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 파주소방서","","2004-03-17","Y","매입","비상급수시설","2008-03-07",""
"1205",2015,137672,"공작물","행정재산","공용재산","일반회계","일반","경기도 파주시","문발동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 파주소방서","","2004-03-17","Y","매입","비상급수시설","2008-03-07",""
"1607",2015,137461,"공작물","행정재산","공용재산","일반회계","일반","경기도 파주시","금촌동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 파주소방서","","2004-01-05","Y","매입","비상급수시설","2008-03-07",""
"1608",2015,137466,"공작물","행정재산","공용재산","일반회계","일반","경기도 파주시","금촌동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 파주소방서","","1999-02-10","Y","매입","비상급수시설","2008-03-07",""
"1609",2015,137467,"공작물","행정재산","공용재산","일반회계","일반","경기도 파주시","금촌동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 파주소방서","","1999-02-10","Y","매입","비상급수시설","2008-03-07",""
"1610",2015,137468,"공작물","행정재산","공용재산","일반회계","일반","경기도 파주시","금촌동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 파주소방서","","1999-02-10","Y","매입","비상급수시설","2008-03-07",""
"1611",2015,137469,"공작물","행정재산","공용재산","일반회계","일반","경기도 파주시","금촌동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 파주소방서","","1999-02-10","Y","매입","비상급수시설","2008-03-07",""
"1612",2015,137692,"공작물","행정재산","공용재산","일반회계","일반","경기도 파주시","문발동","",0,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 파주소방서","","2004-03-17","Y","매입","비상급수시설","2008-03-07",""
