"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"7923",2015,138375,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","이동면","장암리",509,0,"행정","미등록","미등록",1,NA,1787280,1787280,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2001-10-08","Y","매입","소방용수시설","2008-03-07",""
"7950",2015,184393,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","이동면","장암리",499,6,"이호조","미등록","미등록",1,NA,4249300,4249300,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2013-12-30","Y","매입","소방용수시설(이동3호)","2013-12-31",""
"7951",2015,148813,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","이동면","장암리",245,3,"이호조","미등록","미등록",1,NA,9193250,9193250,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2009-02-24","Y","매입","소방호스건조대","2009-07-16",""
"7952",2015,148812,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","이동면","장암리",245,3,"이호조","미등록","미등록",1,NA,9193250,9193250,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2009-02-24","Y","매입","소방호스건조대","2009-07-16",""
"7964",2015,138376,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","일동면","기산리",81,36,"행정","미등록","미등록",1,NA,1787280,1787280,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2001-10-09","Y","매입","소방용수시설","2008-03-07",""
"7965",2015,138414,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","일동면","기산리",82,35,"행정","미등록","미등록",1,NA,1500000,1500000,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2003-10-09","Y","매입","소방용수시설","2008-03-07",""
"7966",2015,138490,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","일동면","기산리",90,100,"행정","미등록","미등록",1,NA,1482600,1482600,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2005-11-30","Y","매입","소방용수시설","2008-03-07",""
"7967",2015,138488,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","일동면","기산리",96,26,"행정","미등록","미등록",1,NA,1482600,1482600,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2005-11-30","Y","매입","소방용수시설","2008-03-07",""
"7968",2015,138292,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","일동면","기산리",459,35,"행정","미등록","미등록",1,NA,6845850,6845850,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2001-11-16","Y","매입","화재출동경고등","2008-03-07",""
"7969",2015,138293,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","일동면","기산리",459,35,"행정","미등록","미등록",1,NA,6845850,6845850,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2001-11-16","Y","매입","화재출동경고등","2008-03-07",""
"7970",2015,138398,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","일동면","화대리",0,0,"행정","미등록","미등록",1,NA,2051300,2051300,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2002-09-26","Y","매입","소방용수시설","2008-03-07",""
"7971",2015,138489,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","일동면","수입리",0,0,"행정","미등록","미등록",1,NA,1482600,1482600,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2005-11-30","Y","매입","소방용수시설","2008-03-07",""
"7972",2015,138501,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","일동면","수입리",707,0,"행정","미등록","미등록",1,NA,2771400,2771400,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2006-09-28","Y","매입","소방용수시설","2008-03-07",""
"7973",2015,138873,"공작물","행정재산","공용재산","일반회계","일반","경기도 포천시","이동면","",1,0,"행정","미등록","미등록",1,NA,2726512,2726512,"경기도 재난안전본부 소방행정과","경기도 포천소방서","","2007-12-04","Y","매입","화재진압시설","2008-03-07",""
