"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"2987",2015,160152,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","천현동","",207,2,"행정","하천","하천",1,1296,202522990,202522990,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2010-10-21","Y","매입","덕풍천","2011-03-31",""
"2988",2015,109120,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","천현동","",207,4,"행정","하천","하천",1,196,5174400,5174400,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2006-08-25","Y","매입","","2009-12-28",""
"2989",2015,189816,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","천현동","",208,0,"행정","하천","하천",1,1495.52,177967050,177967050,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2014-11-27","Y","매입","하천","2015-04-02",""
"2990",2015,160148,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","천현동","",206,6,"행정","도로","도로",1,66,8184000,8184000,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2010-05-25","Y","매입","덕풍천","2011-03-31",""
"2991",2015,109119,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","천현동","",207,0,"행정","하천","하천",1,2231,58898400,58898400,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2006-08-25","Y","매입","","2009-12-16",""
"2992",2015,42718,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","천현동","",606,27,"행정","하천","하천",1,37,1480000,1480000,"경기도 건설국 도로정책과","","경기도 하남시 도시건설국 건설과","1985-01-26","Y","매입","도로","2007-07-18","[토지분류코드:GA213][관리대장코드:1640098]"
"2993",2015,42830,"토지","일반재산","미등록","일반회계","일반","경기도 하남시","천현동","",606,31,"행정","하천","하천",1,6,1374000,1374000,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","1985-01-26","Y","매입","잡종지","2007-07-18","[토지분류코드:GC024][관리대장코드:1640210]"
"2994",2015,109153,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","천현동","",606,38,"행정","잡종지","잡종지",1,8,1928000,1928000,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","1985-01-26","Y","매입","","2009-12-16",""
"2995",2015,157812,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","천현동","",606,47,"행정","하천","하천",1,8,320000,320000,"경기도 건설국 도로정책과","","경기도 하남시 도시건설국 건설과","2010-03-22","Y","분할취득","도로","2007-07-18","[토지분류코드:GA213][관리대장코드:1640097]"
"2996",2015,42403,"토지","행정재산","공용재산","일반회계","산","경기도 하남시","하산곡동","",15,20,"행정","임야","임야",1,46905,300192000,215763000,"경기도 축산산림국 산림과","","경기도 하남시 도시건설국 공원녹지과","1994-07-08","Y","매입","임야","2007-07-18","[토지분류코드:GA105][관리대장코드:1200203]"
"2997",2015,152860,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","하산곡동","",59,3,"행정","하천","하천",1,85,50617500,20257500,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2009-01-12","Y","매입","","2010-04-02",""
"2998",2015,123339,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","하산곡동","",59,5,"행정","목장용지","목장용지",1,14,10157000,10157000,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2007-10-19","Y","매입","","2008-01-17",""
"2999",2015,123340,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","하산곡동","",59,6,"행정","목장용지","목장용지",1,8,5804000,5804000,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2007-10-19","Y","매입","","2008-01-17",""
"3098",2015,109081,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","상사창동","",37,3,"행정","하천","하천",1,239,13192800,13192800,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2006-05-24","Y","매입","","2008-01-17",""
"3099",2015,152254,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","상사창동","",38,2,"행정","임야","임야",1,264,73920000,73920000,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2008-12-01","Y","매입","","2010-03-30",""
"3100",2015,123254,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","상사창동","",38,3,"행정","임야","임야",1,1177,175567000,175567000,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2007-09-21","Y","매입","","2008-01-17",""
"3101",2015,152243,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","상사창동","",39,11,"행정","답","답",1,225,24779000,24779000,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2008-11-27","Y","매입","","2010-03-30",""
"3102",2015,109082,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","상사창동","",57,3,"행정","하천","하천",1,65,15990000,15990000,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2006-07-12","Y","매입","","2008-01-17",""
"3103",2015,109083,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","상사창동","",57,4,"행정","하천","하천",1,243,13851000,13851000,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2006-07-12","Y","매입","","2008-01-17",""
"3104",2015,109084,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","상사창동","",59,0,"행정","하천","하천",1,258,17234400,17234400,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2006-06-09","Y","매입","","2008-01-17",""
"3105",2015,109085,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","상사창동","",60,6,"행정","하천","하천",1,58,5341800,5341800,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2006-07-12","Y","매입","","2008-01-17",""
"3106",2015,109086,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","상사창동","",61,1,"행정","하천","하천",1,226,16950000,16950000,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2006-06-01","Y","매입","","2008-01-17",""
"3107",2015,109087,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","상사창동","",61,4,"행정","하천","하천",1,767,65501800,65501800,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2006-07-12","Y","매입","","2008-01-17",""
"3108",2015,123259,"토지","행정재산","공공용재산","일반회계","일반","경기도 하남시","상사창동","",63,10,"행정","임야","임야",1,505,38290500,38290500,"경기도 건설국 하천과","","경기도 하남시 도시건설국 건설과","2007-09-19","Y","매입","","2008-01-17",""
