"","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고"
"233",2015,23485,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","기안동","",355,13,"행정","도로","도로",1,609,57201000,57201000,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1994-02-15","Y","매입","도로","2009-08-26","[토지분류코드:GA211][관리대장코드:1621626]"
"234",2015,23488,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","기안동","",356,11,"행정","도로","도로",1,55,11275000,11275000,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1993-12-28","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1621629]"
"235",2015,23489,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","기안동","",356,12,"행정","도로","도로",1,425,36762500,36762500,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1993-12-28","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1621630]"
"236",2015,23490,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","기안동","",357,3,"행정","도로","도로",1,615,5479650,5479650,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1993-11-16","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1621631]"
"237",2015,23491,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","기안동","",359,6,"행정","도로","도로",1,447,44253000,44253000,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1995-05-20","Y","매입","도로","2007-07-18","[토지분류코드:GA201][관리대장코드:1621632]"
"238",2015,23492,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","기안동","",460,103,"행정","도로","도로",1,926,118323000,118323000,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1993-12-03","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1621633]"
"258",2015,23484,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","기안동","",355,12,"행정","도로","도로",1,1107,135054000,135054000,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1993-12-08","Y","매입","도로","2007-07-18","[토지분류코드:GA201][관리대장코드:1621625]"
"259",2015,23487,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","기안동","",355,9,"행정","도로","도로",1,322,1449000,1449000,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1984-12-04","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1621628]"
"260",2015,101349,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","반월동","",364,3,"행정","답","답",1,222,54834000,54834000,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1998-11-21","Y","매입","","2008-01-17",""
"261",2015,101350,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","반월동","",364,9,"행정","답","답",1,115,15870000,15870000,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1998-02-19","Y","매입","","2008-01-17",""
"262",2015,101353,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","반월동","",365,6,"행정","임야","임야",1,23,3404000,3404000,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1998-11-21","Y","매입","","2008-01-17",""
"263",2015,101355,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","반월동","",365,8,"행정","전","전",1,379,56092000,56092000,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1998-02-20","Y","매입","","2008-01-17",""
"264",2015,101356,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","반월동","",365,9,"행정","임야","임야",1,114,16872000,16872000,"경기도 건설국 도로정책과","","경기도 화성시 건설교통국 건설과","1999-12-03","Y","매입","","2008-01-17",""
"265",2015,15525,"토지","행정재산","공공용재산","일반회계","일반","경기도 화성시","반정동","",37,5,"행정","임야","임야",1,146,19710000,19710000,"경기도 건설국 하천과","","경기도 화성시 건설교통국 건설과","2001-08-02","Y","매입","","2007-07-18","[토지분류코드:][관리대장코드:1613666]"
