"집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address"
2015,13623,"토지","행정재산","공공용재산","일반","하천","하천",1,160,840000,840000,"경기도 건설국 하천과","","경기도 광명시 시민안전국 재해방재과","2001-01-27","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1612065]","경기도 광명시 노온사동  314 - 12"
2015,13849,"토지","행정재산","공공용재산","일반","도로","도로",1,132,1425600,1425600,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1982-10-20","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612291]","경기도 광명시 노온사동  357 - 1"
2015,13850,"토지","행정재산","공공용재산","일반","도로","도로",1,456,4924800,4924800,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1982-10-13","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612292]","경기도 광명시 노온사동  358 - 2"
2015,13851,"토지","행정재산","공공용재산","일반","도로","도로",1,88,905400,905400,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1982-12-24","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612293]","경기도 광명시 노온사동  359 - 5"
2015,13852,"토지","행정재산","공공용재산","일반","도로","도로",1,1320,14256000,14256000,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1983-03-25","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612294]","경기도 광명시 노온사동  361 - 3"
2015,13853,"토지","행정재산","공공용재산","일반","도로","도로",1,611,250510001,6786588,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1983-01-20","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612295]","경기도 광명시 노온사동  396 - 3"
2015,145755,"토지","행정재산","공공용재산","일반","도로","도로",1,220,90200000,2443616,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","2008-12-24","분할취득","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612295]","경기도 광명시 노온사동  396 - 13"
2015,145756,"토지","행정재산","공공용재산","일반","도로","도로",1,51,20910000,566475,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","2008-12-24","분할취득","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612295]","경기도 광명시 노온사동  396 - 14"
2015,156043,"토지","행정재산","공공용재산","일반","도로","도로",1,629,257889999,6986521,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","2009-11-05","분할취득","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612295]","경기도 광명시 노온사동  396 - 15"
2015,100864,"토지","행정재산","공공용재산","일반","도로","도로",1,83,34030000,34030000,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1989-12-11","매입","","2009-12-28","","경기도 광명시 노온사동  397 - 3"
