"집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address"
2015,82780,"토지","행정재산","공공용재산","일반","답","답",1,717,32982000,32982000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-11-10","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500463]","경기도 동두천시 상패동  604 - 7"
2015,82781,"토지","행정재산","공공용재산","일반","답","답",1,483,13041000,13041000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-14","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500464]","경기도 동두천시 상패동  606 - 1"
2015,83040,"토지","행정재산","공공용재산","일반","답","답",1,70,1015000,1015000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2004-08-26","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500723]","경기도 동두천시 상패동  607 - 1"
2015,83041,"토지","행정재산","공공용재산","일반","하천","하천",1,3,43500,43500,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2004-08-26","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500724]","경기도 동두천시 상패동  608 - 3"
2015,82782,"토지","행정재산","공공용재산","일반","답","답",1,266,7182000,7182000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-23","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500465]","경기도 동두천시 상패동  609 - 5"
2015,82783,"토지","행정재산","공공용재산","일반","답","답",1,588,26460000,26460000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-19","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500466]","경기도 동두천시 상패동  611 - 5"
2015,83012,"토지","행정재산","공공용재산","일반","답","답",1,57,3306000,3306000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2005-08-12","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500695]","경기도 동두천시 상패동  611 - 6"
2015,82784,"토지","행정재산","공공용재산","일반","답","답",1,232,6264000,6264000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-23","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500467]","경기도 동두천시 상패동  612 - 2"
2015,82785,"토지","행정재산","공공용재산","일반","전","전",1,387,10449000,10449000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-23","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500468]","경기도 동두천시 상패동  613 - 3"
2015,83042,"토지","행정재산","공공용재산","일반","전","전",1,14,203000,203000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2004-08-26","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500725]","경기도 동두천시 상패동  613 - 4"
2015,82786,"토지","행정재산","공공용재산","일반","답","답",1,228,6156000,6156000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-23","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500469]","경기도 동두천시 상패동  615 - 2"
2015,82787,"토지","행정재산","공공용재산","일반","답","답",1,924,41118000,41118000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-07-03","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500470]","경기도 동두천시 상패동  616 - 5"
2015,118701,"토지","행정재산","공공용재산","일반","답","답",1,24.67,1998000,1998000,"경기도 건설국 하천과","","경기도 동두천시 안전행정실","2005-09-16","매입","","2008-01-17","","경기도 동두천시 상패동  616 - 6"
2015,83018,"토지","행정재산","공공용재산","일반","답","답",1,145,8410000,8410000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2005-08-25","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500701]","경기도 동두천시 상패동  616 - 7"
2015,83043,"토지","행정재산","공공용재산","일반","답","답",1,1094,34570400,34570400,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2004-06-23","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500726]","경기도 동두천시 상패동  617"
2015,83044,"토지","행정재산","공공용재산","일반","답","답",1,827,26133200,26133200,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2004-06-23","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500727]","경기도 동두천시 상패동  617 - 5"
2015,82788,"토지","행정재산","공공용재산","일반","답","답",1,1089,57172500,57172500,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-08-01","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500471]","경기도 동두천시 상패동  618 - 2"
2015,82789,"토지","행정재산","공공용재산","일반","답","답",1,123,6457500,6457500,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-08-01","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500472]","경기도 동두천시 상패동  618 - 4"
2015,82790,"토지","행정재산","공공용재산","일반","답","답",1,1508,79170000,79170000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-12-17","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500473]","경기도 동두천시 상패동  618 - 5"
2015,123771,"토지","행정재산","공공용재산","일반","답","답",1,163,14670000,14670000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2007-10-23","매입","","2008-01-17","","경기도 동두천시 상패동  618 - 6"
2015,82715,"토지","행정재산","공공용재산","일반","전","전",1,1038,69850000,69850000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-08-01","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500398]","경기도 동두천시 상패동  1085 - 2"
2015,118684,"토지","행정재산","공공용재산","일반","제방","제방",1,528,9028800,9028800,"경기도 건설국 하천과","","경기도 동두천시 안전행정실","2000-03-15","매입","","2008-01-17","","경기도 동두천시 상패동  1040 - 4"
2015,118685,"토지","행정재산","공공용재산","일반","하천","하천",1,2,34200,34200,"경기도 건설국 하천과","","경기도 동두천시 안전행정실","2002-01-09","매입","","2008-01-17","","경기도 동두천시 상패동  1048 - 9"
2015,118686,"토지","행정재산","공공용재산","일반","하천","하천",1,4522,77326200,77326200,"경기도 건설국 하천과","","경기도 동두천시 안전행정실","2001-07-25","매입","","2008-01-17","","경기도 동두천시 상패동  1067"
2015,118687,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,715,15515500,15515500,"경기도 건설국 하천과","","경기도 동두천시 안전행정실","2006-10-11","매입","","2009-10-30","","경기도 동두천시 상패동  1068 - 2"
2015,118688,"토지","행정재산","공공용재산","일반","잡종지","잡종지",1,244,4172400,4172400,"경기도 건설국 하천과","","경기도 동두천시 안전행정실","2006-10-11","매입","","2008-01-17","","경기도 동두천시 상패동  1069 - 3"
2015,82712,"토지","행정재산","공공용재산","일반","전","전",1,46,3266000,3266000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-07-03","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500395]","경기도 동두천시 상패동  1084 - 5"
2015,82713,"토지","행정재산","공공용재산","일반","전","전",1,59,4189000,4189000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-07-03","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500396]","경기도 동두천시 상패동  1084 - 6"
2015,82714,"토지","행정재산","공공용재산","일반","전","전",1,33,2722500,2722500,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-08-01","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500397]","경기도 동두천시 상패동  1085"
2015,82779,"토지","행정재산","공공용재산","일반","전","전",1,232,82360000,82360000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-12","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500462]","경기도 동두천시 상패동  600 - 13"
2015,83039,"토지","행정재산","공공용재산","일반","전","전",1,313,6698200,6698200,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2004-06-23","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500722]","경기도 동두천시 상패동  602 - 6"
2015,118683,"토지","행정재산","공공용재산","일반","하천","하천",1,855,14620500,14620500,"경기도 건설국 하천과","","경기도 동두천시 안전행정실","2000-04-24","매입","","2008-01-17","","경기도 동두천시 상패동  1036 - 5"
2015,118682,"토지","행정재산","공공용재산","일반","하천","하천",1,203,6699000,6699000,"경기도 건설국 하천과","","경기도 동두천시 안전행정실","2001-08-06","매입","","2008-01-17","","경기도 동두천시 상패동  1030 - 4"
2015,118681,"토지","행정재산","공공용재산","일반","하천","하천",1,38,1254000,1254000,"경기도 건설국 하천과","","경기도 동두천시 안전행정실","2001-08-31","매입","","2008-01-17","","경기도 동두천시 상패동  1029 - 4"
2015,82710,"토지","행정재산","공공용재산","일반","구거","구거",1,562,15455000,15455000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-11","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500393]","경기도 동두천시 상패동  1001 - 1"
2015,82897,"토지","행정재산","공공용재산","일반","구거","구거",1,1527,13605570,13605570,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-11","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500580]","경기도 동두천시 상패동  1001 - 2"
2015,82898,"토지","행정재산","공공용재산","일반","구거","구거",1,46,409860,409860,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-11","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500581]","경기도 동두천시 상패동  1001 - 3"
2015,82899,"토지","행정재산","공공용재산","일반","전","전",1,11,98010,98010,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2004-02-02","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500582]","경기도 동두천시 상패동  1002 - 5"
2015,82900,"토지","행정재산","공공용재산","일반","전","전",1,291,2592810,2592810,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2004-02-02","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500583]","경기도 동두천시 상패동  1002 - 6"
2015,82901,"토지","행정재산","공공용재산","일반","전","전",1,599,21144700,21144700,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2004-02-02","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500584]","경기도 동두천시 상패동  1002 - 7"
2015,82902,"토지","행정재산","공공용재산","일반","전","전",1,103,917730,917730,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2004-02-02","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500585]","경기도 동두천시 상패동  1002 - 8"
2015,82711,"토지","행정재산","공공용재산","일반","전","전",1,268,7370000,7370000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-09-01","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500394]","경기도 동두천시 상패동  1004 - 1"
2015,118680,"토지","행정재산","공공용재산","일반","하천","하천",1,800,26400000,26400000,"경기도 건설국 하천과","","경기도 동두천시 안전행정실","2001-07-27","매입","","2008-01-17","","경기도 동두천시 상패동  1020 - 1"
2015,127780,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","1998-12-03","매입","소화용수","2008-03-07","","경기도 동두천시 지행동  0"
2015,127781,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","2001-12-20","매입","소화용수","2008-03-07","","경기도 동두천시 지행동  0"
2015,127782,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","2001-12-20","매입","소화용수","2008-03-07","","경기도 동두천시 지행동  0"
2015,127783,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 동두천소방서","","2004-11-17","매입","소화용수","2008-03-07","","경기도 동두천시 지행동  0"
2015,118695,"토지","행정재산","공공용재산","일반","하천","하천",1,815.33,32287200,32287200,"경기도 건설국 하천과","","경기도 동두천시 안전행정실","2004-02-05","매입","","2008-01-17","","경기도 동두천시 상패동  365"
2015,118700,"토지","행정재산","공공용재산","일반","답","답",1,802.91,26670600,26670600,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-25","매입","","2008-01-17","","경기도 동두천시 상패동  423 - 8"
2015,82770,"토지","행정재산","공공용재산","일반","답","답",1,330,43560000,43560000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-09-01","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500453]","경기도 동두천시 상패동  424 - 3"
2015,82771,"토지","행정재산","공공용재산","일반","답","답",1,9,319500,319500,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-09-01","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500454]","경기도 동두천시 상패동  424 - 4"
2015,82773,"토지","행정재산","공공용재산","일반","전","전",1,519,13442100,13442100,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-09-04","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500456]","경기도 동두천시 상패동  425 - 4"
2015,83032,"토지","행정재산","공공용재산","일반","전","전",1,15,306000,306000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-09-04","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500715]","경기도 동두천시 상패동  425 - 8"
2015,83033,"토지","행정재산","공공용재산","일반","대","대",1,4,408000,408000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-09-04","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500716]","경기도 동두천시 상패동  425 - 9"
2015,82772,"토지","행정재산","공공용재산","일반","전","전",1,11,1777000,1777000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-09-04","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500455]","경기도 동두천시 상패동  425 - 10"
2015,83034,"토지","행정재산","공공용재산","일반","대","대",1,39,3888300,3888300,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-09-04","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500717]","경기도 동두천시 상패동  425 - 11"
2015,83035,"토지","행정재산","공공용재산","일반","목장용지","목장용지",1,223,12978600,12978600,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-09-04","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500718]","경기도 동두천시 상패동  425 - 12"
2015,83036,"토지","행정재산","공공용재산","일반","전","전",1,239,15558900,15558900,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-09-04","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500719]","경기도 동두천시 상패동  425 - 13"
2015,82775,"토지","행정재산","공공용재산","일반","답","답",1,217,9656500,9656500,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-12-03","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500458]","경기도 동두천시 상패동  589 - 6"
2015,82774,"토지","행정재산","공공용재산","일반","답","답",1,309,13905000,13905000,"경기도 건설국 도로정책과","","경기도 동두천시 도로과","2003-06-25","매입","도  로","2007-07-18","[토지분류코드:][관리대장코드:2500457]","경기도 동두천시 상패동  588 - 4"
