"집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address"
2015,128076,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1995-02-22","매입","비상급수시설","2008-03-07","","경기도 부천시 오정구 삼정동  365 - 1"
2015,128416,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1990-12-08","매입","비상급수시설","2008-03-07","","경기도 부천시 오정구 고강동  404 - 5"
2015,128419,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2003-12-21","매입","비상급수시설","2008-03-07","","경기도 부천시 오정구 고강동  408 - 10"
2015,128476,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2003-08-12","매입","비상급수시설","2008-03-07","","경기도 부천시 오정구 고강동  408 - 10"
2015,128395,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1989-03-16","매입","비상급수시설","2008-03-07","","경기도 부천시 오정구 고강동  410 - 19"
2015,128461,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2000-09-15","매입","비상급수시설","2008-03-07","","경기도 부천시 오정구 고강동  412 - 2"
2015,128475,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2000-09-15","매입","비상급수시설","2008-03-07","","경기도 부천시 오정구 고강동  413"
2015,128392,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1989-03-07","매입","비상급수시설","2008-03-07","","경기도 부천시 오정구 고강동  418"
2015,128160,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-10-15","매입","비상급수시설","2008-03-07","","경기도 부천시 오정구 삼정동  365 - 2"
2015,128135,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2001-07-09","매입","비상급수시설","2008-03-07","","경기도 부천시 오정구 내동  9"
2015,190533,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,0,2.3e+08,2.3e+08,"경기도 재난안전본부 소방행정과","경기도 부천소방서 소방행정과","","2015-03-27","매입","","2015-06-15","","경기도 부천시 원미구 중동  1176 - 2"
2015,128787,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-06-17","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 상동  537 - 5"
2015,128579,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-06-24","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 상동  539 - 1"
2015,128658,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1998-02-26","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 중동  1180"
2015,127921,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2001-08-05","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 원미동  184 - 59"
2015,127922,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1994-12-05","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 원미동  189 - 256"
2015,127923,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1994-12-05","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 원미동  193 - 22"
2015,127924,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1994-12-05","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 원미동  204 - 83"
2015,128043,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1997-05-31","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  659 - 2"
2015,127965,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2001-07-09","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  660 - 2"
2015,128042,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1997-05-31","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  660 - 2"
2015,128012,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1980-09-08","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  660 - 5"
2015,128065,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-10-25","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  667 - 2"
2015,128013,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1982-10-03","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  670 - 1"
2015,128028,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1982-10-03","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  687 - 4"
2015,128011,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1981-09-28","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  656 - 2"
2015,180855,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,814000,814000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2013-06-26","매입","비상소화전함","2013-06-27","","경기도 부천시 소사구 심곡본동  653 - 10"
2015,128010,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1980-09-08","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  649 - 6"
2015,128004,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1986-10-20","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 심곡동  36 - 31"
2015,128009,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1981-09-28","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  626 - 39"
2015,128008,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1980-09-08","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  628"
2015,128057,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2002-07-24","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  630 - 42"
2015,127985,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1997-05-31","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  530 - 455"
2015,128049,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1999-11-08","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  530 - 455"
2015,127993,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2003-11-06","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  532 - 8"
2015,128025,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2005-09-13","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  530 - 300"
2015,128029,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1984-09-06","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  526"
2015,128053,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2000-09-15","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  524 - 71"
2015,128751,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1997-07-16","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 소사본동  403"
2015,128742,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-08-11","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 소사본동  404"
2015,128276,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1993-11-13","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 역곡동  129 - 6"
2015,128278,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-10-25","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 역곡동  157"
2015,128254,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1996-12-03","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 중동  813 - 2"
2015,128018,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2001-07-09","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  542 - 13"
2015,127962,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2001-07-09","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  542 - 15"
2015,127963,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2001-07-09","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  545 - 7"
2015,128019,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2001-07-09","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  545 - 7"
2015,127964,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1800000,1800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2001-07-09","매입","비상급수시설","2008-03-07","","경기도 부천시 소사구 심곡본동  546 - 1"
2015,128369,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2003-11-06","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 역곡동  108 - 6"
2015,128284,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2005-09-13","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 역곡동  109 - 3"
2015,128342,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2800000,2800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2000-09-15","매입","비상급수시설","2008-03-07","","경기도 부천시 원미구 역곡동  110 - 23"
