"집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address"
2015,1356,"토지","행정재산","공공용재산","일반","하천","하천",1,5001,2941200,107013894,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1998-09-16","매입","하천","2006-12-05","[토지분류코드:GA213][관리대장코드:1601011]","경기도 성남시 수정구 사송동  615"
2015,1357,"토지","행정재산","공공용재산","일반","하천","하천",1,1360,30600000,30600000,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1994-08-19","매입","하천","2006-12-05","[토지분류코드:GA213][관리대장코드:1601012]","경기도 성남시 수정구 사송동  616 - 3"
2015,1358,"토지","행정재산","공공용재산","일반","하천","하천",1,8,184800,184800,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1994-08-19","매입","하천","2006-12-05","[토지분류코드:GA205][관리대장코드:1601013]","경기도 성남시 수정구 사송동  619 - 1"
2015,1359,"토지","행정재산","공공용재산","일반","임야","임야",1,161,903200,903200,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1994-08-19","매입","하천","2006-12-05","[토지분류코드:GA205][관리대장코드:1601014]","경기도 성남시 수정구 사송동  619 - 3"
2015,1360,"토지","행정재산","공공용재산","일반","하천","하천",1,95,532900,532900,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1994-08-19","매입","하천","2006-12-05","[토지분류코드:GA205][관리대장코드:1601015]","경기도 성남시 수정구 사송동  619 - 4"
2015,1361,"토지","행정재산","공공용재산","일반","하천","하천",1,58,1305000,12999993,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1998-09-16","매입","하천","2006-12-05","[토지분류코드:GA213][관리대장코드:1601016]","경기도 성남시 수정구 사송동  620 - 1"
2015,1362,"토지","행정재산","공공용재산","일반","하천","하천",1,499,6648800,107488479,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1998-09-16","매입","하천","2006-12-05","[토지분류코드:GA213][관리대장코드:1601017]","경기도 성남시 수정구 사송동  620 - 2"
2015,1363,"토지","행정재산","공공용재산","일반","하천","하천",1,760,9382500,62799646,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1998-09-16","매입","하천","2006-12-05","[토지분류코드:GA213][관리대장코드:1601018]","경기도 성남시 수정구 사송동  621 - 1"
2015,1539,"토지","일반재산","미등록","일반","제방","제방",1,30,3230000,3230000,"경기도 자치행정국 회계과","","경기도 성남시 재정경제국 회계과","2004-02-19","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601194]","경기도 성남시 수정구 시흥동  158 - 5"
2015,1540,"토지","행정재산","공공용재산","일반","제방","제방",1,545,44854720,44854720,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-19","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601195]","경기도 성남시 수정구 시흥동  158 - 6"
2015,1542,"토지","행정재산","공공용재산","일반","하천","하천",1,63,2037000,2037000,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-19","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601197]","경기도 성남시 수정구 시흥동  158 - 7"
2015,1543,"토지","행정재산","공공용재산","일반","하천","하천",1,760,30948660,30948660,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-19","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601198]","경기도 성남시 수정구 시흥동  158 - 8"
2015,1538,"토지","일반재산","미등록","일반","제방","제방",1,58,6244660,6244660,"경기도 자치행정국 회계과","","경기도 성남시 재정경제국 회계과","2004-02-19","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601193]","경기도 성남시 수정구 시흥동  158 - 9"
2015,1594,"토지","행정재산","공공용재산","일반","제방","제방",1,27,3252150,3252150,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2005-01-13","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601249]","경기도 성남시 수정구 시흥동  158 - 10"
2015,1546,"토지","행정재산","공공용재산","일반","제방","제방",1,389,39232150,39232150,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-09","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601201]","경기도 성남시 수정구 시흥동  159 - 1"
2015,1547,"토지","행정재산","공공용재산","일반","하천","하천",1,990,50677620,50677620,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-09","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601202]","경기도 성남시 수정구 시흥동  159 - 2"
2015,95809,"토지","행정재산","공공용재산","일반","제방","제방",1,33,3328180,3328180,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2006-03-16","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601201]","경기도 성남시 수정구 시흥동  159 - 5"
2015,95807,"토지","행정재산","공공용재산","일반","하천","하천",1,53,2713040,2713040,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2006-03-16","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601202]","경기도 성남시 수정구 시흥동  159 - 6"
2015,97961,"토지","행정재산","공공용재산","일반","하천","하천",1,774,39551400,39551400,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1976-11-24","매입","","2008-01-17","","경기도 성남시 수정구 시흥동  160 - 1"
2015,1548,"토지","행정재산","공공용재산","일반","도로","도로",1,149,43160330,43160330,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-01-31","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601203]","경기도 성남시 수정구 시흥동  160 - 2"
2015,97963,"토지","행정재산","공공용재산","일반","도로","도로",1,663,33879300,33879300,"경기도 건설국 도로정책과","","경기도 성남시 교통도로국 도로과","1976-11-24","매입","","2008-01-17","","경기도 성남시 수정구 시흥동  160 - 3"
2015,97964,"토지","행정재산","공공용재산","일반","도로","도로",1,70,3577000,3577000,"경기도 건설국 도로정책과","","경기도 성남시 교통도로국 도로과","1976-11-24","매입","","2008-01-17","","경기도 성남시 수정구 시흥동  160 - 6"
2015,1549,"토지","행정재산","공공용재산","일반","도로","도로",1,5,4393330,4393330,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-06-16","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601204]","경기도 성남시 수정구 시흥동  160 - 7"
2015,1550,"토지","행정재산","공공용재산","일반","도로","도로",1,97,85230660,85230660,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-06-16","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601205]","경기도 성남시 수정구 시흥동  160 - 8"
2015,97965,"토지","행정재산","공공용재산","일반","하천","하천",1,65,3321500,3321500,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","1976-11-24","매입","","2008-01-17","","경기도 성남시 수정구 시흥동  160 - 9"
2015,97962,"토지","행정재산","공공용재산","일반","도로","도로",1,144,7358400,7358400,"경기도 건설국 도로정책과","","경기도 성남시 교통도로국 도로과","1976-11-24","매입","","2008-01-17","","경기도 성남시 수정구 시흥동  160 - 10"
2015,1541,"토지","행정재산","공공용재산","일반","제방","제방",1,43,1486330,1486330,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2004-02-19","매입","하천","2006-12-05","[토지분류코드:][관리대장코드:1601196]","경기도 성남시 수정구 시흥동  158 - 4"
2015,97497,"토지","행정재산","공공용재산","일반","제방","제방",1,5,965500,965500,"경기도 건설국 하천과","","경기도 성남시 푸른도시사업소 하천관리과","2005-02-04","매입","하천","2007-12-21","[토지분류코드:][관리대장코드:1601254]","경기도 성남시 수정구 시흥동  157 - 71"
2015,129229,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  249 - 1"
2015,129230,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  249 - 7"
2015,174259,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3580000,3580000,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","2012-05-07","신축","신설 소방용수 시설","2012-05-17","","경기도 성남시 분당구 정자동  253"
2015,129166,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 율동  0"
2015,129729,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 성남소방서","","2004-07-05","매입","비상급수시설","2008-03-07","","경기도 성남시 중원구 하대원동  110 - 9"
2015,129789,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 성남소방서","","2003-05-16","매입","비상급수시설","2008-03-07","","경기도 성남시 중원구 하대원동  111 - 29"
2015,129884,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 성남소방서","","1900-01-07","매입","비상급수시설","2008-03-07","","경기도 성남시 중원구 하대원동  112 - 6"
2015,129875,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 성남소방서","","1990-11-02","매입","비상급수시설","2008-03-07","","경기도 성남시 중원구 하대원동  113 - 14"
2015,129730,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 성남소방서","","2004-09-10","매입","비상급수시설","2008-03-07","","경기도 성남시 중원구 하대원동  118 - 6"
2015,129411,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  0"
2015,129412,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  0"
2015,129413,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  0"
2015,129446,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  0"
2015,129447,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  0"
2015,129448,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  0"
2015,129449,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  0"
2015,129450,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  0"
2015,129451,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  0"
2015,129291,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  30 - 1"
2015,129292,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  31 - 1"
2015,129290,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  35 - 1"
2015,129289,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 분당소방서","","1999-06-17","매입","비상급수시설","2008-03-07","","경기도 성남시 분당구 정자동  35 - 8"
