"집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address"
2015,187305,"토지","행정재산","공공용재산","일반","답","답",1,323,35207000,35207000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","2014-03-25","분할취득","도로","2008-02-04","무상귀속대상('06.11.21,도로과-2686)","경기도 수원시 권선구 호매실동  1337 - 68"
2015,187296,"토지","행정재산","공공용재산","일반","전","전",1,1012,110308000,110308000,"경기도 건설국 하천과","","경기도 수원시 환경국 하수관리과","2014-03-25","분할취득","도로","2008-02-04","무상귀속대상('06.11.21,도로과-2686)","경기도 수원시 권선구 호매실동  1337 - 69"
2015,184682,"토지","행정재산","공공용재산","일반","하천","하천",1,1870.55,193081800,194599700,"경기도 건설국 하천과","","경기도 수원시 환경국 하수관리과","2013-12-31","매입","경기도 수원시권선구 곡반정동  일반번지 93-1번지","2014-03-03","","경기도 수원시 권선구 곡반정동  93 - 1"
2015,400,"토지","행정재산","공공용재산","일반","전","전",1,61,25620000,25620000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","1995-07-01","매입","도로","2007-08-06","[토지분류코드:GA201][관리대장코드:1600071]","경기도 수원시 권선구 곡반정동  97 - 7"
2015,181488,"토지","행정재산","공공용재산","일반","전","전",1,4,1680000,1680000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","2012-05-16","분할취득","도로","2007-08-06","[토지분류코드:GA201][관리대장코드:1600071]","경기도 수원시 권선구 곡반정동  97 - 10"
2015,403,"토지","행정재산","공공용재산","일반","전","전",1,2,276000,840000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","1995-07-01","매입","도로","2007-08-06","[토지분류코드:GA201][관리대장코드:1600074]","경기도 수원시 권선구 곡반정동  98 - 8"
2015,181490,"토지","행정재산","공공용재산","일반","전","전",1,38,5244000,15960000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","2012-05-16","분할취득","도로","2007-08-06","[토지분류코드:GA201][관리대장코드:1600074]","경기도 수원시 권선구 곡반정동  98 - 21"
2015,97812,"토지","행정재산","공공용재산","일반","전","전",1,4,696000,696000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","1996-08-08","매입","","2008-01-17","","경기도 수원시 권선구 곡반정동  99 - 12"
2015,224,"토지","행정재산","공용재산","일반","대","대",1,6659.6,5614042800,5614042800,"경기도 재난안전본부 소방행정과","경기도 수원남부소방서","","1996-12-19","매입","남부소방서","2007-12-10","[토지분류코드:GA108][관리대장코드:2000057]","경기도 수원시 권선구 권선동  1237"
2015,185791,"토지","행정재산","공공용재산","일반","답","답",1,28,5478640,5723900,"경기도 건설국 하천과","","경기도 수원시 환경국 하수관리과","2014-02-18","매입","경기도 수원시권선구 장지동 일반번지 561-3번지","2014-06-12","","경기도 수원시 권선구 장지동  561 - 3"
