"집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address"
2015,179472,"토지","행정재산","공공용재산","일반","답","답",1,982,90245800,90245800,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 은행동  524 - 199"
2015,183502,"토지","행정재산","공공용재산","일반","답","답",1,645,58050000,58050000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-19","누락재산등록","하천","2013-11-27","","경기도 시흥시 은행동  524 - 200"
2015,187575,"토지","행정재산","공공용재산","일반","답","답",1,410,38499000,38499000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-02-20","누락재산등록","하천","2014-11-04","","경기도 시흥시 은행동  524 - 201"
2015,142211,"토지","행정재산","공공용재산","일반","대","대",1,39,32136000,32136000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2007-10-18","매입","누락재산 일괄등록","2009-10-27","","경기도 시흥시 미산동  484 - 38"
2015,183501,"토지","행정재산","공공용재산","일반","답","답",1,352,31996800,31996800,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-15","누락재산등록","하천","2013-11-27","","경기도 시흥시 은행동  524 - 198"
2015,183500,"토지","행정재산","공공용재산","일반","답","답",1,220,19800000,19800000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-15","누락재산등록","하천","2013-11-27","","경기도 시흥시 은행동  524 - 197"
2015,179475,"토지","행정재산","공공용재산","일반","답","답",1,101,9191000,9191000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 은행동  524 - 192"
2015,142235,"토지","행정재산","공공용재산","일반","답","답",1,391,53371000,53371000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2007-10-18","매입","누락재산 일괄등록","2009-10-27","","경기도 시흥시 미산동  484 - 39"
2015,142213,"토지","행정재산","공공용재산","일반","답","답",1,71,9692000,9692000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2007-10-18","매입","누락재산 일괄등록","2009-10-27","","경기도 시흥시 미산동  484 - 40"
2015,187574,"토지","행정재산","공공용재산","일반","답","답",1,179,16306900,16306900,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-07","누락재산등록","하천","2014-11-04","","경기도 시흥시 은행동  210 - 12"
2015,183971,"토지","행정재산","공공용재산","일반","답","답",1,168,26376000,26376000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-06-05","매입","하천","2013-12-11","","경기도 시흥시 은행동  215 - 15"
2015,179479,"토지","행정재산","공공용재산","일반","답","답",1,308,27442800,27442800,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-02-01","","경기도 시흥시 은행동  215 - 16"
2015,179478,"토지","행정재산","공공용재산","일반","답","답",1,177,15930000,15930000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 은행동  215 - 17"
2015,183970,"토지","행정재산","공공용재산","일반","답","답",1,125,19625000,19625000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-05-28","매입","하천","2013-12-11","","경기도 시흥시 은행동  215 - 18"
2015,183499,"토지","행정재산","공공용재산","일반","답","답",1,278,24519600,24519600,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-15","누락재산등록","하천","2013-11-27","","경기도 시흥시 은행동  215 - 19"
2015,179477,"토지","행정재산","공공용재산","일반","답","답",1,182,16380000,16380000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 은행동  216 - 7"
2015,179476,"토지","행정재산","공공용재산","일반","답","답",1,284,25844000,25844000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 은행동  217 - 83"
2015,189597,"토지","행정재산","공공용재산","일반","답","답",1,14,2184000,2184000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-25","매입","하천","2015-03-31","","경기도 시흥시 은행동  524 - 121"
2015,189595,"토지","행정재산","공공용재산","일반","답","답",1,1503,234468000,234468000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-25","매입","하천","2015-03-31","","경기도 시흥시 은행동  524 - 202"
2015,189567,"토지","행정재산","공공용재산","일반","답","답",1,155,24180000,24180000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-20","매입","하천","2015-03-31","","경기도 시흥시 은행동  524 - 203"
2015,187565,"토지","행정재산","공공용재산","일반","답","답",1,1824,158870400,158870400,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-06-03","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  281 - 53"
2015,187566,"토지","행정재산","공공용재산","일반","답","답",1,67,5835700,5835700,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-07","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  281 - 54"
2015,187569,"토지","행정재산","공공용재산","일반","답","답",1,20,1760000,1760000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-24","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  549 - 5"
2015,179469,"토지","행정재산","공공용재산","일반","답","답",1,99,8504100,8504100,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 안현동  549 - 10"
2015,179468,"토지","행정재산","공공용재산","일반","답","답",1,917,78770300,78770300,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 안현동  549 - 11"
2015,183966,"토지","행정재산","공공용재산","일반","답","답",1,1389,215295000,215295000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-10-24","매입","하천","2013-12-11","","경기도 시흥시 안현동  549 - 12"
2015,187568,"토지","행정재산","공공용재산","일반","답","답",1,1705,150128000,150128000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-24","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  549 - 13"
2015,187571,"토지","행정재산","공공용재산","일반","답","답",1,19,1672000,1672000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-07","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  550 - 3"
2015,187572,"토지","행정재산","공공용재산","일반","답","답",1,830,73040000,73040000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-02-20","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  550 - 9"
2015,187570,"토지","행정재산","공공용재산","일반","답","답",1,1340,117920000,117920000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-02-20","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  550 - 10"
2015,187573,"토지","행정재산","공공용재산","일반","답","답",1,560,49280000,49280000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-02-20","누락재산등록","하천","2014-11-04","","경기도 시흥시 안현동  557 - 12"
2015,14082,"토지","행정재산","공용재산","산","임야","임야",1,30446,715481000,508448200,"경기도 축산산림국 산림과","","경기도 시흥시 환경국 산림공원과","1994-07-15","매입","임야","2007-07-18","[토지분류코드:GA105][관리대장코드:1200013]","경기도 시흥시 매화동  30"
2015,100912,"토지","행정재산","공공용재산","일반","전","전",1,65,5921500,5921500,"경기도 건설국 도로정책과","","경기도 시흥시 도시교통국 도로과","2005-10-24","매입","매화동 277-8번지","2008-01-17","","경기도 시흥시 매화동  277 - 8"
2015,179893,"토지","행정재산","공공용재산","일반","도로","도로",1,7.9,15405000,15405000,"경기도 건설국 도로정책과","","경기도 시흥시 도시교통국 도로과","2011-03-23","누락재산등록","도로","2013-04-02","","경기도 시흥시 신천동  709 - 58"
2015,179894,"토지","행정재산","공공용재산","일반","도로","도로",1,339,681390000,681390000,"경기도 건설국 도로정책과","","경기도 시흥시 도시교통국 도로과","2011-03-23","누락재산등록","도로","2013-04-02","","경기도 시흥시 신천동  709 - 59"
2015,179895,"토지","행정재산","공공용재산","일반","도로","도로",1,158.9,413140000,413140000,"경기도 건설국 도로정책과","","경기도 시흥시 도시교통국 도로과","2011-03-23","누락재산등록","도로","2013-04-02","","경기도 시흥시 신천동  709 - 60"
2015,14700,"토지","일반재산","미등록","일반","잡종지","대",1,180.7,110588400,110588400,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2002-11-04","양여","폐천부지","2008-01-25","매각진행중('04.폐천부지 매각)","경기도 시흥시 신천동  844 - 3"
2015,155081,"토지","행정재산","공공용재산","산","임야","임야",1,307,9620000,9620000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2009-07-06","누락재산등록","임야","2010-06-10","","경기도 시흥시 방산동  1 - 6"
