"집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address"
2015,132569,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선감동  436 - 3"
2015,132572,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선감동  667 - 2"
2015,190013,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2212464420,2212464420,"경기도 농정해양국 수산과","","","2009-05-08","신축","탄도항 부잔교","2015-04-21","","경기도 안산시 단원구 선감동  717"
2015,181370,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,765600,765600,"경기도 재난안전본부 소방행정과","경기도 안산소방서 소방행정과","","2013-06-28","신축","비상소화장치함","2013-07-05","","경기도 안산시 단원구 풍도동  10 - 1"
2015,138828,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2240590,2240590,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2007-11-01","매입","화재진압시설","2008-03-07","","경기도 안산시 단원구 화정동  115"
2015,131866,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2000-10-12","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 화정동  519"
2015,124524,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,8600000,8600000,"경기도 문화체육관광국 문화정책과","","경기도 화성시 시장","1995-04-25","누락재산등록","테니스장(휀스)","2008-03-06","","경기도 안산시 단원구 선감동  400 - 3"
2015,124523,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,48796000,48796000,"경기도 문화체육관광국 문화정책과","","경기도 화성시 시장","1995-11-25","누락재산등록","담장","2008-03-06","","경기도 안산시 단원구 선감동  400 - 3"
2015,132559,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-04-04","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선감동  146 - 55"
2015,132591,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2006-09-06","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선감동  268 - 2"
2015,124521,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,71831000,8600000,"경기도 문화체육관광국 문화정책과","","경기도 화성시 시장","1994-09-23","누락재산등록","옹벽","2008-03-06","","경기도 안산시 단원구 선감동  400 - 3"
2015,124522,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,26073000,26073000,"경기도 문화체육관광국 문화정책과","","경기도 화성시 시장","1995-12-25","누락재산등록","옹벽","2008-03-06","","경기도 안산시 단원구 선감동  400 - 3"
2015,132551,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-07-29","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1857"
2015,138838,"공작물","행정재산","공용재산","산","미등록","미등록",1,NA,2240590,2240590,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2007-11-01","매입","화재진압시설","2008-03-07","","경기도 안산시 단원구 대부남동  33 - 13"
2015,131725,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선부동  1107 - 8"
2015,131734,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선부동  1108 - 1"
2015,131737,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선부동  1119 - 21"
2015,131736,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선부동  1123 - 7"
2015,131735,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선부동  1126 - 15"
2015,131869,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선부동  1134 - 2"
2015,131724,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선부동  1142 - 3"
2015,131730,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선부동  1143 - 6"
2015,180719,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3908500,3908500,"경기도 재난안전본부 소방행정과","경기도 안산소방서 소방행정과","","2013-06-18","신축","지상식소화전(2개소)","2013-06-24","","경기도 안산시 단원구 대부동동  10 - 1"
2015,180720,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3908500,3908500,"경기도 재난안전본부 소방행정과","경기도 안산소방서 소방행정과","","2013-06-18","신축","지상식소화전(2개소)","2013-06-24","","경기도 안산시 단원구 대부동동  10 - 1"
2015,132424,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1856 - 303"
2015,132552,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-07-29","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1856 - 8"
2015,132593,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2006-04-25","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부동동  301 - 2"
2015,186048,"공작물","행정재산","공용재산","산","미등록","미등록",1,NA,9790000,9790000,"경기도 재난안전본부 소방행정과","경기도 안산소방서 대부119안전센터","","2014-06-30","매입","소방호스 건조대","2014-06-30","","경기도 안산시 단원구 대부동동  301 - 2"
2015,132574,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부동동  833 - 2"
2015,132564,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-04-04","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부동동  1089 - 9"
2015,186047,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3850000,3850000,"경기도 재난안전본부 소방행정과","경기도 안산소방서 대부119안전센터","","2014-06-30","신축","소방용수시설(지상식소화전)","2014-06-30","","경기도 안산시 단원구 대부동동  1492 - 6"
2015,132422,"공작물","행정재산","공용재산","산","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  14 - 1"
2015,132423,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1848 - 107"
2015,132556,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-07-29","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1848 - 103"
2015,132312,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1848 - 40"
2015,132555,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-07-29","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1847 - 54"
2015,132553,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-07-29","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  20 - 6"
2015,132565,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-04-04","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  88"
2015,132573,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  108 - 4"
2015,132576,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  119 - 4"
2015,132549,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-07-29","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  262 - 1"
2015,132548,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-07-29","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  469 - 1"
2015,132580,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  697 - 6"
2015,132567,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-04-04","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  835 - 1"
2015,132592,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2006-09-06","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1060"
2015,132550,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-07-29","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1161 - 16"
2015,132578,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1299"
2015,132566,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-04-04","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1330 - 6"
2015,132579,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1374 - 2"
2015,132577,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1399 - 5"
2015,132563,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-04-04","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부동동  198 - 8"
2015,132562,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-04-04","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부동동  198 - 12"
2015,132554,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-07-29","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부북동  1848 - 323"
2015,131727,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선부동  1099"
2015,132313,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부동동  198 - 8"
2015,132575,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 대부동동  74 - 5"
2015,131733,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선부동  1103 - 20"
2015,131726,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2004-12-31","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선부동  1104 - 4"
2015,161102,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1270105790,1270105790,"경기도 건설국 도로정책과","","","2008-12-31","신축","구봉터널 등 4개소","2011-05-20","","경기도 안산시 단원구 선감동  0"
2015,161103,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,40583467664,40729102714,"경기도 건설국 도로정책과","","","2008-06-03","신축","탄도~송산간 도로","2011-05-20","","경기도 안산시 단원구 선감동  0"
2015,189335,"공작물","행정재산","공공용재산","일반","미등록","미등록",1,NA,4975000,4975000,"경기도 경기도산림환경연구소","","","2014-12-29","매입","소나무정자","2015-03-05","","경기도 안산시 단원구 선감동  3 - 27"
2015,189336,"공작물","행정재산","공공용재산","일반","미등록","미등록",1,NA,4975000,4975000,"경기도 경기도산림환경연구소","","","2014-12-29","매입","소나무정자","2015-03-05","","경기도 안산시 단원구 선감동  3 - 27"
2015,189337,"공작물","행정재산","공공용재산","일반","미등록","미등록",1,NA,4975000,4975000,"경기도 경기도산림환경연구소","","","2014-12-29","매입","소나무정자","2015-03-05","","경기도 안산시 단원구 선감동  3 - 27"
2015,189338,"공작물","행정재산","공공용재산","일반","미등록","미등록",1,NA,4975000,4975000,"경기도 경기도산림환경연구소","","","2014-12-29","매입","소나무정자","2015-03-05","","경기도 안산시 단원구 선감동  3 - 27"
2015,189885,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,21610290,21610290,"경기도 경기도산림환경연구소","","","2015-01-27","매입","바다봬수목원 휀스","2015-04-13","","경기도 안산시 단원구 선감동  3 - 27"
2015,172629,"공작물","행정재산","공용재산","산","미등록","미등록",1,NA,7464700,7464700,"경기도 경기도산림환경연구소","","","2011-12-30","매입","바다향기수목원 등산로 안내판","2012-02-13","","경기도 안산시 단원구 선감동  9"
2015,138839,"공작물","행정재산","공용재산","산","미등록","미등록",1,NA,2240710,2240710,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2007-11-01","매입","화재진압시설","2008-03-07","","경기도 안산시 단원구 대부남동  199 - 2"
2015,138837,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,2240590,2240590,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2007-11-01","매입","화재진압시설","2008-03-07","","경기도 안산시 단원구 대부남동  775 - 1"
2015,132560,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-04-04","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선감동  0"
2015,132561,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-04-04","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선감동  0"
2015,132570,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선감동  0"
2015,132571,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 안산소방서","","2005-01-05","매입","비상급수시설","2008-03-07","","경기도 안산시 단원구 선감동  0"
2015,161093,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,120962492,120962492,"경기도 건설국 도로정책과","","","2008-06-30","신축","상안육교 등 6개소","2011-05-20","","경기도 안산시 단원구 선감동  0"
2015,161094,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,120962450,120962450,"경기도 건설국 도로정책과","","","2008-06-30","신축","상안육교 등 6개소","2011-05-20","","경기도 안산시 단원구 선감동  0"
2015,161095,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,120962450,120962450,"경기도 건설국 도로정책과","","","2008-06-30","신축","상안육교 등 6개소","2011-05-20","","경기도 안산시 단원구 선감동  0"
2015,161096,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,120962450,120962450,"경기도 건설국 도로정책과","","","2008-06-30","신축","상안육교 등 6개소","2011-05-20","","경기도 안산시 단원구 선감동  0"
2015,161097,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,120962450,120962450,"경기도 건설국 도로정책과","","","2008-06-30","신축","상안육교 등 6개소","2011-05-20","","경기도 안산시 단원구 선감동  0"
2015,161098,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,120962450,120962450,"경기도 건설국 도로정책과","","","2008-06-30","신축","상안육교 등 6개소","2011-05-20","","경기도 안산시 단원구 선감동  0"
2015,161099,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1270105824,1270105824,"경기도 건설국 도로정책과","","","2008-12-31","신축","구봉터널 등 4개소","2011-05-20","","경기도 안산시 단원구 선감동  0"
2015,161100,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1270105790,1270105790,"경기도 건설국 도로정책과","","","2008-12-31","신축","구봉터널 등 4개소","2011-05-20","","경기도 안산시 단원구 선감동  0"
2015,161101,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,1270105790,1270105790,"경기도 건설국 도로정책과","","","2008-12-31","신축","구봉터널 등 4개소","2011-05-20","","경기도 안산시 단원구 선감동  0"
2015,2896,"토지","행정재산","공공용재산","일반","전","전",1,275,22055000,12870000,"경기도 건설국 도로정책과","","경기도 안산시 도시주택국 건설과","1964-12-30","매입","농경지","2006-12-07","[토지분류코드:GC001][관리대장코드:100397]","경기도 안산시 단원구 선감동  297"
2015,2898,"토지","행정재산","공용재산","일반","전","전",1,496,26288000,19218800,"경기도 경기도산림환경연구소","","","1964-12-30","매입","농경지","2006-12-07","[토지분류코드:GC001][관리대장코드:100399]","경기도 안산시 단원구 선감동  298"
2015,166554,"토지","행정재산","공용재산","일반","전","전",1,20,1060000,1060000,"경기도 경기도산림환경연구소","","","2010-08-05","분할취득","농경지","2006-12-07","[토지분류코드:GC001][관리대장코드:100399]","경기도 안산시 단원구 선감동  298 - 1"
2015,3033,"토지","일반재산","미등록","일반","답","답",1,850,84745000,43860000,"경기도 자치행정국 회계과","","경기도 안산시 행정국 회계과","1964-12-30","매입","농경지","2006-12-08","[토지분류코드:GC002][관리대장코드:100524]","경기도 안산시 단원구 선감동  461"
2015,3034,"토지","행정재산","공공용재산","일반","답","답",1,127,12280800,12280800,"경기도 건설국 도로정책과","","경기도 안산시 도시주택국 건설과","1964-12-30","매입","잡종지","2006-12-08","[토지분류코드:GC002][관리대장코드:100525]","경기도 안산시 단원구 선감동  462"
2015,3035,"토지","행정재산","공공용재산","일반","답","답",1,182,16580200,11403600,"경기도 건설국 도로정책과","","경기도 안산시 도시주택국 건설과","1964-12-30","매입","농경지","2006-12-08","[토지분류코드:GC002][관리대장코드:100526]","경기도 안산시 단원구 선감동  462 - 2"
2015,3036,"토지","행정재산","공공용재산","일반","전","전",1,7,452200,275100,"경기도 건설국 도로정책과","","경기도 안산시 도시주택국 건설과","1964-12-30","매입","대지","2006-12-08","[토지분류코드:GC001][관리대장코드:100527]","경기도 안산시 단원구 선감동  463"
2015,3037,"토지","일반재산","미등록","일반","대","대",1,22,6094000,2640000,"경기도 자치행정국 회계과","","경기도 안산시 행정국 회계과","1965-01-29","매입","대지","2006-12-08","[토지분류코드:GC008][관리대장코드:100528]","경기도 안산시 단원구 선감동  463 - 3"
2015,3038,"토지","행정재산","공공용재산","일반","대","대",1,26,4238000,3120000,"경기도 건설국 도로정책과","","경기도 안산시 도시주택국 건설과","1965-01-29","매입","대지","2006-12-08","[토지분류코드:GC008][관리대장코드:100529]","경기도 안산시 단원구 선감동  463 - 4"
