"집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address"
2015,173128,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,32177500200,32180609000,"경기도 건설국 도로정책과","","","2011-12-26","신축","삼숭-회암간 도로확포장공사","2012-03-26","","경기도 양주시 고읍동  16 - 7"
2015,138823,"공작물","행정재산","공용재산","일반","미등록","미등록",35,NA,2e+07,1925000,"경기도 경기도북부축산위생연구소","","","2007-11-09","매입","간판,슬로건,철제물","2008-03-07","","경기도 양주시 고읍동  340 - 1"
2015,135522,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 고읍동  561 - 16"
2015,135355,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2006-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 덕정동  47 - 4"
2015,135357,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2006-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 덕정동  58 - 3"
2015,173129,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,74597023130,74599743430,"경기도 건설국 도로정책과","","","2011-01-01","신축","마전-삼승간 도로확포장공사(삼숭동658-2)","2012-03-26","","경기도 양주시 삼숭동  658 - 2"
2015,135516,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2004-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 삼숭동  654 - 1"
2015,135519,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2004-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 삼숭동  354 - 2"
2015,135505,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 유양동  193 - 1"
2015,135496,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 유양동  714"
2015,135497,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 유양동  714"
2015,135498,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 유양동  714"
2015,135499,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 유양동  714"
2015,135500,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 유양동  714"
2015,135501,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 유양동  714"
2015,135502,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 유양동  714"
2015,135511,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2004-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 남방동  536 - 12"
2015,135510,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2004-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 남방동  540 - 19"
2015,169509,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,33928860,33928860,"경기도 건설국 도로정책과","","","2009-06-02","매입","마전-삼숭 관급자재 대금 납부","2011-09-16","","경기도 양주시 마전동  1"
2015,161060,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,44001880,44001880,"경기도 건설국 도로정책과","","","2009-06-25","매입","경기도 양주시 마전동   -번지","2011-05-20","","경기도 양주시 마전동  1 - 1"
2015,135518,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2004-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 마전동  8 - 3"
2015,135503,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 산북동  240 - 2"
2015,159578,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3817765,3817765,"경기도 재난안전본부 소방행정과","경기도 양주소방서","","2010-09-07","신축","소화전_양주시 산북동 254-11번지","2011-03-07","","경기도 양주시 산북동  254 - 11"
2015,135504,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 산북동  319"
2015,135515,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2004-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 광사동  313"
2015,135520,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 광사동  344 - 4"
2015,135513,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2004-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 광사동  407 - 3"
2015,135517,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2004-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 만송동  252 - 4"
2015,135514,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2004-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 만송동  269 - 9"
2015,135523,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2005-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 삼숭동  330 - 1"
2015,135353,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2006-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 덕정동  123 - 7"
2015,135323,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2006-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 덕정동  150"
2015,135382,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2006-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 덕정동  220 - 2"
2015,135362,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2006-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 덕정동  226 - 9"
2015,135358,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2006-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 덕정동  346 - 9"
2015,135369,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2006-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 덕계동  361 - 9"
2015,135341,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2006-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 덕계동  417"
2015,135346,"공작물","행정재산","공용재산","일반","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","2006-12-31","매입","소방용수시설","2008-03-07","","경기도 양주시 덕정동  150 - 10"
