"집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address"
2015,44339,"토지","행정재산","공공용재산","일반","하천","하천",1,75,7087500,7087500,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1998-12-05","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641650]","경기도 오산시 누읍동  279 - 1"
2015,94574,"토지","행정재산","공공용재산","일반","하천","하천",1,4,58930,58930,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1999-02-18","매입","도로","2007-09-18","[토지분류코드:GA202][관리대장코드:1641692]","경기도 오산시 벌음동  212 - 3"
2015,94576,"토지","행정재산","공공용재산","일반","하천","하천",1,12,176800,176800,"경기도 건설국 하천과","","경기도 오산시 경제문화국 토지정보과","1999-02-18","매입","도로","2007-09-18","[토지분류코드:GA202][관리대장코드:1641692]","경기도 오산시 벌음동  212 - 5"
2015,44382,"토지","행정재산","공공용재산","일반","하천","하천",1,17,442000,442000,"경기도 건설국 하천과","","경기도 오산시 경제문화국 토지정보과","1999-03-17","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641693]","경기도 오산시 벌음동  213 - 1"
2015,44385,"토지","행정재산","공공용재산","일반","도로","도로",1,311,16973390,16973390,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1987-08-17","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1641696]","경기도 오산시 벌음동  229 - 2"
2015,44391,"토지","행정재산","공공용재산","일반","하천","하천",1,264,21822240,21822240,"경기도 건설국 하천과","","경기도 오산시 경제문화국 토지정보과","1999-03-25","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641702]","경기도 오산시 벌음동  232 - 5"
2015,44392,"토지","행정재산","공공용재산","일반","하천","하천",1,14,1157240,1157240,"경기도 건설국 하천과","","경기도 오산시 경제문화국 토지정보과","1999-03-05","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641703]","경기도 오산시 벌음동  232 - 6"
2015,44393,"토지","행정재산","공공용재산","일반","도로","도로",1,40,3306400,3306400,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1988-09-10","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1641704]","경기도 오산시 벌음동  233 - 2"
2015,44395,"토지","행정재산","공공용재산","일반","도로","도로",1,49,9138500,9138500,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1987-10-22","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1641706]","경기도 오산시 벌음동  235 - 2"
2015,94578,"토지","행정재산","공공용재산","일반","도로","도로",1,59,11003500,11003500,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1987-10-22","매입","도로","2007-09-18","[토지분류코드:GA211][관리대장코드:1641706]","경기도 오산시 벌음동  235 - 7"
2015,44400,"토지","행정재산","공공용재산","일반","도로","도로",1,235,19270000,19270000,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1987-07-27","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1641711]","경기도 오산시 벌음동  275 - 2"
2015,188871,"토지","행정재산","공공용재산","일반","도로","도로",1,131,9838100,9838100,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1987-07-27","누락재산등록","도로","2015-01-09","","경기도 오산시 벌음동  277 - 3"
2015,44406,"토지","행정재산","공공용재산","일반","하천","하천",1,282,8343000,8343000,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1998-10-30","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641717]","경기도 오산시 벌음동  287 - 1"
2015,44542,"토지","행정재산","공공용재산","일반","하천","하천",1,50,1611500,1611500,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1998-10-30","매입","도로","2007-07-18","[토지분류코드:GA208][관리대장코드:1641853]","경기도 오산시 탑동  2 - 12"
2015,44541,"토지","행정재산","공공용재산","일반","하천","하천",1,86,2436380,2436380,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1998-10-30","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641852]","경기도 오산시 탑동  20 - 1"
2015,44543,"토지","행정재산","공공용재산","일반","하천","하천",1,430,12181900,12181900,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1998-12-04","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641854]","경기도 오산시 탑동  25 - 2"
2015,44544,"토지","행정재산","공공용재산","일반","하천","하천",1,8,226640,226640,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1999-03-22","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641855]","경기도 오산시 탑동  32 - 3"
2015,44545,"토지","행정재산","공공용재산","일반","하천","하천",1,117,3314610,3314610,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1999-03-22","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641856]","경기도 오산시 탑동  32 - 4"
2015,44546,"토지","행정재산","공공용재산","일반","하천","하천",1,422,11828660,11828660,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1998-12-05","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641857]","경기도 오산시 탑동  57 - 2"
2015,44547,"토지","행정재산","공공용재산","일반","하천","하천",1,326,9137780,9137780,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1998-12-04","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641858]","경기도 오산시 탑동  69 - 1"
2015,94568,"토지","행정재산","공공용재산","일반","도로","도로",1,39,4614870,4614870,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1986-02-25","매입","도로","2007-09-18","[토지분류코드:GA211][관리대장코드:1641674]","경기도 오산시 누읍동  558 - 10"
2015,109469,"토지","행정재산","공공용재산","일반","도로","도로",1,490,405230000,405230000,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1987-03-03","매입","","2008-01-17","","경기도 오산시 누읍동  561 - 9"
2015,44470,"토지","행정재산","공공용재산","일반","답","답",1,81,2025000,2025000,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1997-12-22","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1641781]","경기도 오산시 서동  215 - 9"
2015,109475,"토지","행정재산","공공용재산","일반","도로","도로",1,514.7,50440600,50440600,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","2001-12-29","매입","","2009-12-14","","경기도 오산시 세교동  173 - 25"
2015,44486,"토지","행정재산","공공용재산","일반","도로","도로",1,520.7,56434770,56434770,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1985-06-26","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1641797]","경기도 오산시 세교동  509 - 7"
2015,44512,"토지","행정재산","공공용재산","산","도로","도로",1,863,40792903,40792903,"경기도 건설국 도로정책과","","경기도 오산시 경제문화국 토지정보과","1984-11-29","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1641823]","경기도 오산시 지곶동  77 - 1"
