"집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address"
2015,10483,"토지","일반재산","미등록","일반","임야","임야",1,487,29122600,23083800,"경기도 자치행정국 회계과","","경기도 평택시 총무국 회계과","1994-08-12","매입","시험림","2008-01-02","[토지분류코드:GA105][관리대장코드:3700684]","경기도 평택시 청북면 백봉리 431"
2015,10814,"토지","행정재산","공공용재산","일반","전","전",1,156,4040400,4040400,"경기도 건설국 하천과","","경기도 평택시 안전건설교통사업소 건설하천계획과","2003-07-03","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1609264]","경기도 평택시 진위면 은산리 1177 - 1"
2015,100802,"토지","행정재산","공공용재산","일반","대","대",1,209,15382400,15382400,"경기도 건설국 하천과","","경기도 평택시 안전건설교통사업소 건설하천계획과","2004-10-01","매입","","2008-01-17","","경기도 평택시 진위면 은산리 1185 - 3"
2015,10821,"토지","행정재산","공공용재산","일반","답","답",1,86,2081200,2081200,"경기도 건설국 하천과","","경기도 평택시 안전건설교통사업소 건설하천계획과","2003-04-14","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1609271]","경기도 평택시 진위면 은산리 1205 - 1"
2015,10822,"토지","행정재산","공공용재산","일반","답","답",1,197,4767400,4767400,"경기도 건설국 하천과","","경기도 평택시 안전건설교통사업소 건설하천계획과","2003-04-14","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1609272]","경기도 평택시 진위면 은산리 1206 - 1"
2015,10826,"토지","행정재산","공공용재산","일반","하천","하천",1,486,19099800,19099800,"경기도 건설국 하천과","","경기도 평택시 안전건설교통사업소 건설하천계획과","2003-05-21","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1609276]","경기도 평택시 진위면 은산리 1207"
2015,10827,"토지","행정재산","공공용재산","일반","하천","하천",1,2106,89083800,89083800,"경기도 건설국 하천과","","경기도 평택시 안전건설교통사업소 건설하천계획과","2003-05-21","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1609277]","경기도 평택시 진위면 은산리 1208"
2015,10828,"토지","행정재산","공공용재산","일반","하천","하천",1,889,34937700,34937700,"경기도 건설국 하천과","","경기도 평택시 안전건설교통사업소 건설하천계획과","2003-05-23","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1609278]","경기도 평택시 진위면 은산리 1209"
2015,157687,"토지","행정재산","공공용재산","일반","도로","도로",1,154,2833306,2833306,"경기도 건설국 도로정책과","","경기도 평택시 안전건설교통사업소 건설하천계획과","2009-12-22","분할취득","도로","2007-07-18","[토지분류코드:GA215][관리대장코드:1610520]","경기도 평택시 청북면 어연리 321 - 10"
2015,93914,"토지","행정재산","공공용재산","일반","답","답",1,99,2049301,2049301,"경기도 건설국 도로정책과","","경기도 평택시 안전건설교통사업소 건설하천계획과","2001-01-09","매입","도로","2007-07-26","[토지분류코드:][관리대장코드:1610526]","경기도 평택시 청북면 어연리 322 - 7"
