대상자구분 계 1등급 2등급 3등급 등급외
합계 2,197 329 429 961 478
읷반 1,766 283 375 772 336
기초수급 326 29 27 135 135
의료급여 22 5 4 8 5
경감 83 12 23 46 2
합계 2,756 504 521 1,261 470
읷반 2,169 435 440 979 315
기초수급 458 41 56 218 143
의료급여 21 4 3 5 9
경감 108 24 22 59 3
합계 4,043 371 777 1,921 974
읷반 2,975 284 577 1,434 680
기초수급 755 56 124 302 273
의료급여 41 3 8 22 8
경감 272 28 68 163 13
합계 1,935 234 401 941 359
읷반 1,639 200 348 798 293
기초수급 178 18 22 77 61
의료급여 22 1 3 14 4
경감 96 15 28 52 1
합계 6,135 634 1,125 3,045 1,331
읷반 4,708 493 909 2,372 934
기초수급 956 90 110 386 370
의료급여 69 3 8 42 16
경감 402 48 98 245 11
합계 2,003 217 338 968 480
읷반 1,495 170 271 725 329
기초수급 359 27 39 155 138
의료급여 41 4 11 18 8
경감 108 16 17 70 5
합계 3,065 258 530 1,355 922
읷반 2,250 196 413 999 642
기초수급 623 40 77 242 264
의료급여 34 4 6 11 13
경감 158 18 34 103 3
합계 1,841 292 313 902 334
읷반 1,241 206 221 599 215
기초수급 425 60 51 206 108
의료급여 26 6 2 14 4
경감 149 20 39 83 7
합계 847 105 127 374 241
읷반 485 64 81 205 135
기초수급 297 29 37 132 99
의료급여 10 3 - 3 4
경감 55 9 9 34 3
합계 4,828 495 747 2,345 1,241
읷반 3,494 347 552 1,726 869
기초수급 939 81 112 401 345
의료급여 44 10 5 18 11
경감 351 57 78 200 16
합계 8,164 1,090 1,707 3,684 1,683
읷반 6,553 885 1,412 2,956 1,300
기초수급 1,123 125 174 478 346
의료급여 71 5 11 34 21
경감 417 75 110 216 16
합계 452 54 66 216 116
읷반 341 42 57 166 76
기초수급 87 8 8 32 39
의료급여 2 - 1 1
경감 22 4 1 17 -
합계 3,927 510 793 1,736 888
읷반 3,050 400 633 1,352 665
기초수급 599 62 87 246 204
의료급여 46 5 9 21 11
경감 232 43 64 117 8
합계 1,339 199 236 652 252
읷반 633 80 124 328 101
기초수급 609 110 93 259 147
의료급여 12 1 4 6 1
경감 85 8 15 59 3
합계 962 166 172 442 182
읷반 740 133 143 339 125
기초수급 162 25 19 63 55
의료급여 13 3 9 1
경감 47 8 7 31 1
합계 1,918 201 374 779 564
읷반 1,417 166 311 633 307
기초수급 379 16 29 88 246
의료급여 30 3 4 12 11
경감 92 16 30 46 -
합계 843 126 189 352 176
읷반 726 113 168 293 152
기초수급 71 4 14 33 20
의료급여 8 1 1 4 2
경감 38 8 6 22 2
합계 1,237 140 274 493 330
읷반 919 111 220 377 211
기초수급 249 20 36 82 111
의료급여 7 - 2 1 4
경감 62 9 16 33 4
합계 5,547 976 1,184 2,687 700
읷반 4,769 829 1,032 2,306 602
기초수급 418 73 63 199 83
의료급여 55 9 11 21 14
경감 305 65 78 161 1
합계 3,482 283 556 1,573 1,070
읷반 2,518 212 434 1,169 703
기초수급 746 53 79 264 350
의료급여 32 4 5 17 6
경감 186 14 38 123 11
합계 2,037 292 350 883 512
읷반 1,486 217 280 658 331
기초수급 421 51 41 154 175
의료급여 10 2 - 5 3
경감 120 22 29 66 3
합계 1,847 271 276 906 394
읷반 1,429 212 219 705 293
기초수급 309 40 38 132 99
의료급여 16 4 2 9 1
경감 93 15 17 60 1
합계 2,899 389 593 1,340 577
읷반 2,233 297 462 1,049 425
기초수급 482 56 86 200 140
의료급여 28 3 2 17 6
경감 156 33 43 74 6
합계 1,850 246 360 808 436
읷반 1,431 202 284 628 317
기초수급 321 30 45 131 115
의료급여 20 7 5 7 1
경감 78 7 26 42 3
합계 2,081 236 393 816 636
읷반 1,350 165 268 543 374
기초수급 562 47 88 188 239
의료급여 30 3 6 10 11
경감 139 21 31 75 12
합계 1,591 171 372 709 339
읷반 1,165 136 290 510 229
기초수급 312 21 49 136 106
의료급여 15 2 1 9 3
경감 99 12 32 54 1
합계 3,752 680 719 1,594 759
읷반 2,848 524 574 1,258 492
기초수급 598 102 75 178 243
의료급여 78 8 16 32 22
경감 228 46 54 126 2
합계 3,419 376 671 1,524 848
읷반 2,418 283 507 1,081 547
기초수급 766 58 111 317 280
의료급여 29 1 6 13 9
경감 206 34 47 113 12
합계 2,217 245 458 1,070 444
읷반 1,625 176 343 792 314
기초수급 424 44 70 188 122
의료급여 29 7 1 18 3
경감 139 18 44 72 5
합계 2,055 244 446 930 435
읷반 1,548 180 341 712 315
기초수급 367 45 68 144 110
의료급여 27 2 6 12 7
경감 113 17 31 62 3
합계 1,918 208 293 946 471
읷반 1,514 182 240 757 335
기초수급 249 9 23 90 127
의료급여 22 4 11 7
경감 133 17 26 88 2
합계 2,930 393 513 1,355 669
읷반 2,236 313 400 1,061 462
기초수급 494 45 67 191 191
의료급여 43 7 5 16 15
경감 157 28 41 87 1
합계 2,417 289 485 1,046 597
읷반 1,780 227 390 783 380
기초수급 489 37 68 175 209
의료급여 13 1 2 6 4
경감 135 24 25 82 4
합계 1,220 156 231 541 292
읷반 847 122 190 370 165
기초수급 289 19 25 122 123
의료급여 16 3 4 7 2
경감 68 12 12 42 2
합계 1,860 253 309 720 578
읷반 1,309 190 246 519 354
기초수급 431 42 34 141 214
의료급여 14 3 1 3 7
경감 106 18 28 57 3
