"","sido","center","type","applicants","total","grade1","grade2","grade3","outer"
"1","서울","영등포 운영센터","합계",3607,2266,419,592,1255,400
"2","서울","영등포 운영센터","일반",2814,1782,336,465,981,299
"3","서울","영등포 운영센터","기초수급",624,338,57,86,195,95
"4","서울","영등포 운영센터","의료급여",37,22,4,6,12,3
"5","서울","영등포 운영센터","경감",132,124,22,35,67,3
"6","서울","광진 운영센터","합계",2557,1500,164,344,992,469
"7","서울","광진 운영센터","일반",2065,1227,132,270,825,370
"8","서울","광진 운영센터","기초수급",384,179,24,46,109,96
"9","서울","광진 운영센터","의료급여",24,16,2,1,13,1
"10","서울","광진 운영센터","경감",84,78,6,27,45,2
"11","서울","동대문 운영센터","합계",3357,1851,329,456,1066,455
"12","서울","동대문 운영센터","일반",2537,1516,288,384,844,319
"13","서울","동대문 운영센터","기초수급",656,201,23,41,137,127
"14","서울","동대문 운영센터","의료급여",33,16,1,3,12,5
"15","서울","동대문 운영센터","경감",131,118,17,28,73,4
"16","서울","성북 운영센터","합계",4275,2673,422,690,1561,670
"17","서울","성북 운영센터","일반",3374,2157,348,569,1240,498
"18","서울","성북 운영센터","기초수급",696,344,53,76,215,160
"19","서울","성북 운영센터","의료급여",46,24,3,7,14,7
"20","서울","성북 운영센터","경감",159,148,18,38,92,5
"21","서울","노원 운영센터","합계",6216,3360,456,647,2257,1286
"22","서울","노원 운영센터","일반",3914,2180,260,438,1482,719
"23","서울","노원 운영센터","기초수급",1941,905,151,158,596,537
"24","서울","노원 운영센터","의료급여",118,63,14,13,36,16
"25","서울","노원 운영센터","경감",243,212,31,38,143,14
"26","서울","서대문 운영센터","합계",3175,1755,284,499,972,533
"27","서울","서대문 운영센터","일반",2576,1440,231,409,800,418
"28","서울","서대문 운영센터","기초수급",442,185,26,55,104,104
"29","서울","서대문 운영센터","의료급여",37,22,6,4,12,9
"30","서울","서대문 운영센터","경감",120,108,21,31,56,2
"31","서울","양천 운영센터","합계",3836,2223,320,450,1453,741
"32","서울","양천 운영센터","일반",3030,1755,253,366,1136,576
"33","서울","양천 운영센터","기초수급",577,292,37,56,199,145
"34","서울","양천 운영센터","의료급여",56,21,2,6,13,12
"35","서울","양천 운영센터","경감",173,155,28,22,105,8
"36","서울","구로 운영센터","합계",3450,2115,395,513,1207,463
"37","서울","구로 운영센터","일반",2802,1739,330,422,987,362
"38","서울","구로 운영센터","기초수급",424,179,20,36,123,95
"39","서울","구로 운영센터","의료급여",43,33,6,7,20,2
"40","서울","구로 운영센터","경감",181,164,39,48,77,4
