"","sido","center","type","applicants","total","grade1","grade2","grade3","grade4","grade5","outer"
"1","서울","영등포운영센터","합계",4798,3159,373,453,1119,990,224,518
"2","서울","영등포운영센터","일반",3723,2414,270,348,858,757,181,374
"3","서울","영등포운영센터","기초수급",588,313,44,37,107,106,19,128
"4","서울","영등포운영센터","의료급여",38,18,1,2,10,4,1,4
"5","서울","영등포운영센터","경감",449,414,58,66,144,123,23,12
"6","서울","광진운영센터","합계",3530,2298,149,332,904,762,151,503
"7","서울","광진운영센터","일반",2628,1667,110,256,655,535,111,365
"8","서울","광진운영센터","기초수급",484,258,16,29,92,100,21,122
"9","서울","광진운영센터","의료급여",36,25,0,1,10,12,2,2
"10","서울","광진운영센터","경감",382,348,23,46,147,115,17,14
"11","서울","동대문운영센터","합계",5283,3683,409,611,1305,1210,148,452
"12","서울","동대문운영센터","일반",3600,2484,296,405,881,792,110,289
"13","서울","동대문운영센터","기초수급",1039,600,54,85,201,241,19,151
"14","서울","동대문운영센터","의료급여",40,29,4,9,6,10,0,5
"15","서울","동대문운영센터","경감",604,570,55,112,217,167,19,7
"16","서울","성북운영센터","합계",5925,3932,416,649,1495,1164,208,707
"17","서울","성북운영센터","일반",4255,2761,302,474,1048,781,156,501
"18","서울","성북운영센터","기초수급",981,549,42,67,207,205,28,191
"19","서울","성북운영센터","의료급여",59,35,7,4,14,6,4,4
"20","서울","성북운영센터","경감",630,587,65,104,226,172,20,11
"21","서울","노원운영센터","합계",8303,4998,505,577,1615,1901,400,1714
"22","서울","노원운영센터","일반",4877,2838,283,338,933,1048,236,960
"23","서울","노원운영센터","기초수급",2355,1246,128,139,374,513,92,676
"24","서울","노원운영센터","의료급여",135,77,5,7,29,32,4,23
"25","서울","노원운영센터","경감",936,837,89,93,279,308,68,55
"26","서울","서대문운영센터","합계",3987,2568,237,395,1024,818,94,482
"27","서울","서대문운영센터","일반",2996,1852,176,286,754,567,69,366
"28","서울","서대문운영센터","기초수급",543,308,18,46,108,126,10,102
"29","서울","서대문운영센터","의료급여",36,28,5,1,8,12,2,1
"30","서울","서대문운영센터","경감",412,380,38,62,154,113,13,13
"31","서울","양천운영센터","합계",5346,3607,291,439,1401,1273,203,774
"32","서울","양천운영센터","일반",3731,2441,192,293,945,857,154,519
"33","서울","양천운영센터","기초수급",859,492,39,62,166,202,23,221
"34","서울","양천운영센터","의료급여",66,44,5,4,16,17,2,9
"35","서울","양천운영센터","경감",690,630,55,80,274,197,24,25
"36","서울","구로운영센터","합계",5562,3893,413,776,1519,1091,94,582
"37","서울","구로운영센터","일반",4032,2727,312,548,1031,764,72,421
"38","서울","구로운영센터","기초수급",789,488,37,76,204,161,10,143
"39","서울","구로운영센터","의료급여",56,41,4,6,17,14,0,4
"40","서울","구로운영센터","경감",685,637,60,146,267,152,12,14
"41","서울","관악운영센터","합계",5513,3675,344,582,1353,1226,170,625
"42","서울","관악운영센터","일반",3706,2431,237,385,892,795,122,385
"43","서울","관악운영센터","기초수급",1097,609,48,94,208,230,29,219
"44","서울","관악운영센터","의료급여",60,37,2,4,11,19,1,5
"45","서울","관악운영센터","경감",650,598,57,99,242,182,18,16
"46","서울","서초운영센터","합계",3317,2365,283,405,888,694,95,319
"47","서울","서초운영센터","일반",2782,1978,241,333,746,568,90,260
"48","서울","서초운영센터","기초수급",296,172,16,26,63,64,3,54
"49","서울","서초운영센터","의료급여",19,14,0,5,7,2,0,0
"50","서울","서초운영센터","경감",220,201,26,41,72,60,2,5
"51","서울","송파운영센터","합계",5816,3903,458,602,1430,1149,264,585
"52","서울","송파운영센터","일반",4575,2977,355,457,1082,862,221,460
"53","서울","송파운영센터","기초수급",689,431,45,71,134,162,19,106
"54","서울","송파운영센터","의료급여",54,32,3,6,15,7,1,12
"55","서울","송파운영센터","경감",498,463,55,68,199,118,23,7
"56","서울","마포운영센터","합계",3835,2356,206,292,720,914,224,506
"57","서울","마포운영센터","일반",2874,1712,154,225,533,630,170,362
"58","서울","마포운영센터","기초수급",553,284,15,24,73,151,21,129
"59","서울","마포운영센터","의료급여",30,20,2,3,2,11,2,3
"60","서울","마포운영센터","경감",378,340,35,40,112,122,31,12
"61","서울","종로운영센터","합계",1976,1310,173,252,389,422,74,201
"62","서울","종로운영센터","일반",1506,999,132,186,314,307,60,138
"63","서울","종로운영센터","기초수급",285,148,17,33,28,66,4,57
"64","서울","종로운영센터","의료급여",14,8,0,3,2,2,1,0
"65","서울","종로운영센터","경감",171,155,24,30,45,47,9,6
"66","서울","용산운영센터","합계",2471,1542,154,265,551,501,71,305
"67","서울","용산운영센터","일반",1866,1177,121,206,428,361,61,207
"68","서울","용산운영센터","기초수급",373,153,12,18,51,68,4,92
"69","서울","용산운영센터","의료급여",20,13,0,1,7,5,0,3
"70","서울","용산운영센터","경감",212,199,21,40,65,67,6,3
"71","서울","성동운영센터","합계",3168,2132,175,275,700,778,204,364
"72","서울","성동운영센터","일반",2372,1571,131,208,511,574,147,268
"73","서울","성동운영센터","기초수급",459,259,22,32,74,102,29,78
"74","서울","성동운영센터","의료급여",13,7,1,1,2,2,1,5
"75","서울","성동운영센터","경감",324,295,21,34,113,100,27,13
"76","서울","중랑운영센터","합계",5637,3814,383,616,1392,1216,207,675
