name,sub2,clustercut,longitude,latitude
1,160152,1,127.2085,37.5359
2,109120,1,127.2091,37.5362
3,189816,1,127.2075,37.5359
5,109119,1,127.2084,37.536
6,42718,1,127.1983,37.5265
7,42830,1,127.1983,37.5257
8,109153,1,127.1994,37.5283
9,157812,1,127.1986,37.528
10,42403,2,127.2344,37.5248
11,152860,2,127.2226,37.5265
12,123339,2,127.2226,37.5273
13,123340,2,127.2226,37.527
14,109081,1,127.1943,37.5073
15,152254,1,127.1941,37.5069
16,123254,1,127.1939,37.507
17,152243,1,127.1938,37.5065
18,109082,1,127.1936,37.5058
19,109083,1,127.1935,37.5056
20,109084,1,127.194,37.5044
21,109085,1,127.1936,37.5049
22,109086,1,127.1938,37.5045
23,109087,1,127.1935,37.5051
24,123259,1,127.1929,37.505
25,155173,1,127.1934,37.503
26,109088,1,127.1942,37.5041
27,109089,1,127.1957,37.5084
28,123258,1,127.1955,37.5082
29,42402,1,127.1989,37.5066
30,109040,1,127.1925,37.4998
31,109041,1,127.1921,37.4995
32,109042,1,127.1922,37.4996
33,152238,1,127.192,37.4995
34,160128,1,127.1919,37.4993
35,109080,1,127.1941,37.5072
36,123256,1,127.1947,37.5079
37,152242,1,127.196,37.5089
38,142348,2,127.222,37.5291
39,142347,2,127.2221,37.5292
40,109130,2,127.2219,37.5291
42,109131,2,127.222,37.5288
43,152808,2,127.222,37.5245
44,109143,2,127.2221,37.5247
45,109144,2,127.2221,37.5244
46,189808,2,127.222,37.5247
47,109145,2,127.2223,37.5246
48,109146,2,127.2225,37.5246
49,189807,2,127.2227,37.5249
50,42471,2,127.2227,37.5219
51,123336,2,127.2227,37.5222
52,123337,2,127.2228,37.5219
53,123338,2,127.2229,37.5216
54,189791,2,127.2227,37.5222
55,42491,2,127.2228,37.5191
56,109181,2,127.2226,37.5198
57,109182,2,127.2228,37.5197
58,109183,2,127.2227,37.52
59,42496,2,127.2229,37.518
61,42497,2,127.2227,37.5179
62,42498,2,127.2231,37.518
63,109186,2,127.2235,37.5195
64,42499,2,127.2227,37.517
65,123335,2,127.2221,37.5292
66,42528,2,127.2221,37.5291
67,123276,1,127.2007,37.5287
68,123277,1,127.2008,37.5288
69,109129,2,127.2225,37.529
70,123334,2,127.2225,37.5293
71,189790,2,127.2228,37.5221
72,42472,2,127.2221,37.5222
73,109150,2,127.2225,37.5224
74,109147,2,127.2224,37.5225
75,177818,1,127.2023,37.5323
76,152249,1,127.2009,37.529
77,123279,1,127.2012,37.5297
78,142333,1,127.2013,37.5295
79,152236,1,127.2013,37.5296
80,123278,1,127.2013,37.5299
81,152237,1,127.2014,37.5298
82,142332,1,127.2016,37.5301
83,109121,1,127.2016,37.5307
84,109122,1,127.202,37.5321
85,152250,1,127.2017,37.5303
86,152251,1,127.2017,37.5304
87,109123,1,127.2023,37.5321
88,160129,1,127.2026,37.5321
89,157810,1,127.2021,37.532
90,123281,1,127.2009,37.5298
91,109124,1,127.2009,37.5292
92,123280,1,127.2007,37.5294
93,123251,1,127.2005,37.5289
94,109125,1,127.1989,37.5262
95,109126,1,127.199,37.5264
96,109127,1,127.1993,37.5266
97,109128,1,127.1999,37.5278
98,160119,1,127.2002,37.5278
99,109223,2,127.2225,37.5264
100,152859,2,127.2226,37.5259
102,42486,2,127.2233,37.52
103,123341,2,127.2232,37.5207
104,109177,2,127.2233,37.5197
105,109178,2,127.2231,37.5203
106,109179,2,127.2233,37.5196
107,42492,2,127.2228,37.52
108,109184,2,127.2227,37.5197
109,42493,2,127.2227,37.52
110,42494,2,127.2227,37.5191
111,42495,2,127.2228,37.5197
112,42490,2,127.2228,37.5197
113,109176,2,127.2233,37.5195
114,109175,2,127.2233,37.5196
115,42487,2,127.2232,37.5197
116,42488,2,127.2231,37.5196
117,42489,2,127.2232,37.5194
118,109172,2,127.2234,37.5196
119,109173,2,127.2234,37.5195
120,152768,1,127.2079,37.5357
121,160149,1,127.2076,37.5356
122,152772,1,127.2075,37.5357
123,152773,1,127.2074,37.5357
124,160136,1,127.2069,37.5354
125,160146,1,127.2068,37.5355
126,160138,1,127.2065,37.5353
127,177815,1,127.202,37.5322
128,177816,1,127.202,37.5323
129,177817,1,127.2027,37.5323
130,160464,1,127.2081,37.5357
131,152766,1,127.2093,37.5362
132,152767,1,127.2093,37.5362
133,109174,2,127.2233,37.5196
134,109148,2,127.2223,37.522
135,109149,2,127.2222,37.5217
136,152801,2,127.2222,37.5219
137,152818,2,127.2223,37.5216
138,42475,2,127.2227,37.5211
141,42819,2,127.2223,37.5314
142,42820,2,127.2239,37.5322
143,42818,2,127.2228,37.5316
145,152286,2,127.2231,37.5301
146,189813,2,127.2227,37.5255
147,42821,2,127.223,37.5249
148,186682,2,127.2233,37.524
150,189809,2,127.222,37.5244
151,42478,2,127.223,37.521
152,140022,1,127.1964,37.5095
153,123252,1,127.1968,37.51
154,123303,1,127.1997,37.5179
155,120971,1,127.2001,37.5189
156,172343,1,127.1999,37.5191
157,109165,1,127.1998,37.5195
158,123301,1,127.2,37.5192
159,120972,1,127.1999,37.5189
160,172344,1,127.1995,37.5198
161,109166,1,127.1995,37.5198
162,123302,1,127.1999,37.5182
163,152779,1,127.199,37.5171
164,152233,1,127.1991,37.5171
165,152234,1,127.1981,37.5157
166,109167,1,127.1982,37.5157
167,109168,1,127.1981,37.5148
168,109169,1,127.1991,37.5165
169,109170,1,127.1977,37.512
170,109171,1,127.1977,37.5117
171,152244,1,127.1972,37.5105
172,152239,1,127.1973,37.5106
173,152245,1,127.197,37.5103
174,123253,1,127.1966,37.5098
175,123257,1,127.1967,37.5099
176,123332,2,127.223,37.5213
177,152282,2,127.223,37.5211
178,123333,2,127.223,37.5211
179,42824,1,127.2016,37.5323
181,42825,1,127.1998,37.5296
182,181825,1,127.2017,37.5322
183,42828,1,127.1989,37.5282
184,42826,1,127.1993,37.5283
185,42827,1,127.1992,37.5283
186,42717,1,127.1985,37.5279
187,42829,1,127.1988,37.5268
475,42631,3,127.1767,37.5782
476,93118,3,127.1778,37.5786
477,93119,3,127.1779,37.5785
478,123265,1,127.1906,37.4974
479,123264,1,127.1906,37.4975
480,142339,1,127.1906,37.4972
481,109067,1,127.1906,37.4971
482,142338,1,127.1906,37.4974
483,109068,1,127.1907,37.4968
484,109069,1,127.1908,37.4966
485,109070,1,127.1906,37.4967
486,109071,1,127.1908,37.4966
487,109072,1,127.1906,37.4964
489,109073,1,127.1896,37.4931
490,109074,1,127.1896,37.4931
491,109075,1,127.1893,37.4934
492,109076,1,127.1897,37.4931
493,109077,1,127.1901,37.4917
494,109078,1,127.19,37.4921
495,123270,1,127.1898,37.493
496,109079,1,127.1898,37.4927
497,167531,1,127.1935,37.5066
498,109224,1,127.1935,37.5065
500,109225,1,127.1934,37.5062
502,109226,1,127.1933,37.506
503,109227,1,127.1896,37.4947
504,109228,1,127.1896,37.4948
505,109229,1,127.1897,37.4952
506,152253,1,127.1901,37.4958
507,181827,1,127.1901,37.4961
509,42637,3,127.1782,37.5785
512,123274,1,127.1903,37.4967
513,123266,1,127.1906,37.4976
514,109066,1,127.1907,37.4978
515,109043,1,127.1912,37.4985
516,109044,1,127.1917,37.4992
517,109045,1,127.1914,37.4991
518,109046,1,127.1917,37.4998
519,109047,1,127.1917,37.4996
520,109048,1,127.1918,37.4998
521,123262,1,127.1917,37.4999
522,109049,1,127.192,37.4998
523,123273,1,127.1922,37.5
524,109050,1,127.1922,37.4999
525,109051,1,127.1925,37.5001
526,109052,1,127.1929,37.5005
528,109053,1,127.1929,37.5012
530,123260,1,127.1932,37.5021
531,109054,1,127.1931,37.5017
532,109055,1,127.1931,37.5016
533,109056,1,127.1935,37.5012
534,123261,1,127.1935,37.5011
535,109057,1,127.1934,37.5008
536,152248,1,127.1934,37.5009
537,109058,1,127.1934,37.5007
538,123255,1,127.1942,37.5038
540,42806,3,127.1808,37.5743
541,109099,3,127.1806,37.5743
545,42630,3,127.1798,37.577
548,120963,1,127.1933,37.5022
549,120964,1,127.1935,37.5024
