"","X","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude"
"1",10609,2015,124968,"공작물","행정재산","공용재산","일반회계","일반","경기도 과천시","중앙동",NA,40,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 과천소방서","","1986-11-30","Y","매입","소방용수시설","2008-03-07","","경기도 과천시 중앙동  40 - 0",126.9905,37.4286
"2",10610,2015,124969,"공작물","행정재산","공용재산","일반회계","일반","경기도 과천시","중앙동",NA,40,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 과천소방서","","1986-11-30","Y","매입","소방용수시설","2008-03-07","","경기도 과천시 중앙동  40 - 0",126.9905,37.4286
"3",10611,2015,124970,"공작물","행정재산","공용재산","일반회계","일반","경기도 과천시","중앙동",NA,40,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 과천소방서","","1986-11-30","Y","매입","소방용수시설","2008-03-07","","경기도 과천시 중앙동  40 - 0",126.9905,37.4286
"4",10612,2015,124971,"공작물","행정재산","공용재산","일반회계","일반","경기도 과천시","중앙동",NA,40,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 과천소방서","","1986-11-30","Y","매입","소방용수시설","2008-03-07","","경기도 과천시 중앙동  40 - 0",126.9905,37.4286
"5",10613,2015,124972,"공작물","행정재산","공용재산","일반회계","일반","경기도 과천시","중앙동",NA,40,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 과천소방서","","1986-11-30","Y","매입","소방용수시설","2008-03-07","","경기도 과천시 중앙동  40 - 0",126.9905,37.4286
"6",10614,2015,124973,"공작물","행정재산","공용재산","일반회계","일반","경기도 과천시","중앙동",NA,40,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 과천소방서","","1986-11-30","Y","매입","소방용수시설","2008-03-07","","경기도 과천시 중앙동  40 - 0",126.9905,37.4286
"7",10615,2015,124974,"공작물","행정재산","공용재산","일반회계","일반","경기도 과천시","중앙동",NA,40,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 과천소방서","","1986-11-30","Y","매입","소방용수시설","2008-03-07","","경기도 과천시 중앙동  40 - 0",126.9905,37.4286
"8",10616,2015,124975,"공작물","행정재산","공용재산","일반회계","일반","경기도 과천시","중앙동",NA,40,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 과천소방서","","1986-11-30","Y","매입","소방용수시설","2008-03-07","","경기도 과천시 중앙동  40 - 0",126.9905,37.4286
"9",10617,2015,124976,"공작물","행정재산","공용재산","일반회계","일반","경기도 과천시","중앙동",NA,40,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 과천소방서","","1986-11-30","Y","매입","소방용수시설","2008-03-07","","경기도 과천시 중앙동  40 - 0",126.9905,37.4286
"10",10704,2015,124977,"공작물","행정재산","공용재산","일반회계","일반","경기도 과천시","중앙동",NA,40,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 과천소방서","","1986-11-30","Y","매입","소방용수시설","2008-03-07","","경기도 과천시 중앙동  40 - 0",126.9905,37.4286
