"","X","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude"
"1",6857,2015,13623,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,314,12,"행정","하천","하천",1,160,840000,840000,"경기도 건설국 하천과","","경기도 광명시 시민안전국 재해방재과","2001-01-27","Y","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1612065]","경기도 광명시 노온사동  314 - 12",126.8385,37.447
"2",6858,2015,13849,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,357,1,"행정","도로","도로",1,132,1425600,1425600,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1982-10-20","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612291]","경기도 광명시 노온사동  357 - 1",126.8469,37.4448
"3",6859,2015,13850,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,358,2,"행정","도로","도로",1,456,4924800,4924800,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1982-10-13","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612292]","경기도 광명시 노온사동  358 - 2",126.847,37.445
"4",6860,2015,13851,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,359,5,"행정","도로","도로",1,88,905400,905400,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1982-12-24","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612293]","경기도 광명시 노온사동  359 - 5",126.847,37.4433
"5",6861,2015,13852,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,361,3,"행정","도로","도로",1,1320,14256000,14256000,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1983-03-25","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612294]","경기도 광명시 노온사동  361 - 3",126.847,37.4424
"6",6862,2015,13853,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,396,3,"행정","도로","도로",1,611,250510001,6786588,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1983-01-20","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612295]","경기도 광명시 노온사동  396 - 3",126.8464,37.4408
"7",6863,2015,145755,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,396,13,"행정","도로","도로",1,220,90200000,2443616,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","2008-12-24","Y","분할취득","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612295]","경기도 광명시 노온사동  396 - 13",126.8463,37.4405
"8",6864,2015,145756,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,396,14,"행정","도로","도로",1,51,20910000,566475,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","2008-12-24","Y","분할취득","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612295]","경기도 광명시 노온사동  396 - 14",126.8463,37.4403
"9",6865,2015,156043,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,396,15,"행정","도로","도로",1,629,257889999,6986521,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","2009-11-05","Y","분할취득","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612295]","경기도 광명시 노온사동  396 - 15",126.8463,37.4406
"10",6866,2015,100864,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,397,3,"행정","도로","도로",1,83,34030000,34030000,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1989-12-11","Y","매입","","2009-12-28","","경기도 광명시 노온사동  397 - 3",126.8467,37.4412
"11",6867,2015,13854,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,398,11,"행정","도로","도로",1,24,259200,259200,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1989-03-02","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612296]","경기도 광명시 노온사동  398 - 11",126.8467,37.4411
"12",6868,2015,13855,"토지","행정재산","공공용재산","일반회계","일반","경기도 광명시","노온사동",NA,403,24,"행정","도로","도로",1,164,1771200,1771200,"경기도 건설국 도로정책과","","경기도 광명시 융복합도시개발사업단 도로과","1989-03-02","Y","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1612297]","경기도 광명시 노온사동  403 - 24",126.8468,37.4416
