,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,비고,address,longitude,latitude
1,7894,2015,125917,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,상번천리,210,4,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 중부면 상번천리 210 - 4,127.2706,37.4459
2,7895,2015,159766,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,오전리,335,1,이호조,미등록,미등록,1,NA,7228000,7228000,경기도 축산산림국 공원녹지과,,,2010-04-16,Y,매입,주차장,2011-03-16,,경기도 광주시 중부면 오전리 335 - 1,127.2268,37.4552
3,7896,2015,161057,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,불당리,26,7,이호조,미등록,미등록,1,NA,111920680,111920680,경기도 축산산림국 공원녹지과,,,2009-11-30,Y,신축,불당리 주차장(아스팔트 포장),2011-05-20,,경기도 광주시 중부면 불당리 26 - 7,127.2157,37.4583
4,8046,2015,173145,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,남종면,귀여리,767,3,이호조,미등록,미등록,1,NA,2434399040,2434399040,경기도 건설국 도로정책과,,경기도 광주시 안전도시국 건설과,2011-12-19,Y,신축,귀여리 위험도로(광주시 남종면 귀여리 767-3번지 일원),2012-03-26,,경기도 광주시 남종면 귀여리 767 - 3,127.3083,37.5045
5,8047,2015,185519,공작물,행정재산,공용재산,팔당호관리,일반,경기도 광주시,남종면,검천리,97,1,이호조,미등록,미등록,1,NA,2300000,2300000,경기도 경기도수자원본부,경기도 경기도수자원본부 수질관리과,,2014-06-02,Y,매입,컨테이너 창고,2014-06-11,,경기도 광주시 남종면 검천리 97 - 1,127.3293,37.5292
6,8048,2015,188821,공작물,행정재산,공용재산,팔당호관리,산,경기도 광주시,남종면,검천리,98,10,행정,미등록,미등록,1,NA,711830,711830,경기도 경기도수자원본부,경기도 경기도수자원본부 수질관리과,,2013-07-12,Y,매입,상수원보호구역 안내판,2015-01-08,,경기도 광주시 남종면 검천리 98 - 10,127.3277,37.5302
7,8049,2015,188824,공작물,행정재산,공용재산,팔당호관리,일반,경기도 광주시,남종면,검천리,762,20,행정,미등록,미등록,1,NA,711830,711830,경기도 경기도수자원본부,경기도 경기도수자원본부 수질관리과,,2013-07-12,Y,매입,상수원보호구역 안내판,2015-01-08,,경기도 광주시 남종면 검천리 762 - 20,127.3395,37.529
8,8050,2015,125970,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,520,8,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 곤지암읍 곤지암리 520 - 8,127.3369,37.3377
9,8051,2015,125972,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,520,8,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 곤지암읍 곤지암리 520 - 8,127.3369,37.3377
10,8052,2015,125975,공작물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,520,8,행정,미등록,미등록,1,NA,3.00E+06,3.00E+06,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-09-15,Y,매입,비상급수시설,2008-03-07,,경기도 광주시 곤지암읍 곤지암리 520 - 8,127.3369,37.3377
