"","X","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude"
"1",1158,2015,126477,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,216,22,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","1994-07-26","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  216 - 22",126.9371,37.3705
"2",1159,2015,126485,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,220,3,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","1994-07-16","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  220 - 3",126.9382,37.3704
"3",1770,2015,126476,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,90,40,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","1990-03-24","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  90 - 40",126.9403,37.3722
"4",1771,2015,126544,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,94,13,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","1997-01-30","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  94 - 13",126.9406,37.3731
"5",1772,2015,126603,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,97,39,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","1990-03-24","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  97 - 39",126.942,37.3736
"6",1773,2015,126556,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,99,22,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","2001-11-03","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  99 - 22",126.9369,37.3716
"7",1774,2015,126558,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,207,26,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","2001-11-03","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  207 - 26",126.9352,37.3709
"8",1775,2015,126560,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,212,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","2004-09-30","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  212 - 0",126.9352,37.3651
"9",1776,2015,126602,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,212,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","2006-10-30","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  212 - 0",126.9352,37.3651
"10",1777,2015,126557,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,214,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","2001-11-03","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  214 - 0",126.9374,37.371
"11",1778,2015,126615,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,214,0,"행정","미등록","미등록",1,NA,2e+06,2e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","2000-12-16","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  214 - 0",126.9374,37.371
"12",1779,2015,126613,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,216,11,"행정","미등록","미등록",1,NA,2e+06,2e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","2000-12-16","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  216 - 11",126.9379,37.3695
"13",1780,2015,126604,"공작물","행정재산","공용재산","일반회계","일반","경기도 군포시","산본동",NA,216,15,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 군포소방서","","1990-03-24","Y","매입","소방용수시설","2008-03-07","","경기도 군포시 산본동  216 - 15",126.9376,37.3698
"14",8568,2015,14714,"토지","행정재산","공공용재산","일반회계","일반","경기도 군포시","당동",NA,134,33,"행정","하천","하천",1,103,78795000,78795000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2002-12-06","Y","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1613128]","경기도 군포시 당동  134 - 33",126.9493,37.3547
"15",8569,2015,138945,"토지","행정재산","공용재산","일반회계","산","경기도 군포시","속달동",NA,1,25,"행정","임야","임야",1,6421,79620400,84115100,"경기도 축산산림국 공원녹지과","","","1998-04-27","Y","매입","시험림","2008-03-13","","경기도 군포시 속달동  1 - 25",126.9054,37.3584
"16",8570,2015,180396,"토지","행정재산","공용재산","일반회계","산","경기도 군포시","속달동",NA,1,28,"행정","임야","임야",1,263,3358465,3333022,"경기도 축산산림국 공원녹지과","","","2012-12-21","Y","분할취득","시험림","2008-03-13","","경기도 군포시 속달동  1 - 28",126.9004,37.3484
"17",8571,2015,182619,"토지","행정재산","공용재산","일반회계","산","경기도 군포시","속달동",NA,1,34,"행정","도로","도로",1,899,3560040,3856710,"경기도 경기도산림환경연구소","","","2012-12-21","Y","분할취득","도로","2007-07-18","[토지분류코드:GA111][관리대장코드:3700437]","경기도 군포시 속달동  1 - 34",999,999
"18",8572,2015,182621,"토지","행정재산","공용재산","일반회계","산","경기도 군포시","속달동",NA,1,35,"행정","도로","도로",1,2733,10822680,11724570,"경기도 축산산림국 공원녹지과","","","2012-12-21","Y","분할취득","도로","2007-07-18","[토지분류코드:GA111][관리대장코드:3700438]","경기도 군포시 속달동  1 - 35",999,999
"19",8573,2015,182622,"토지","행정재산","공용재산","일반회계","산","경기도 군포시","속달동",NA,1,36,"행정","도로","도로",1,547,2166120,2346630,"경기도 축산산림국 공원녹지과","","","2012-12-21","Y","분할취득","도로","2007-07-18","[토지분류코드:GA111][관리대장코드:3700438]","경기도 군포시 속달동  1 - 36",999,999
"20",8574,2015,186514,"토지","행정재산","공용재산","일반회계","산","경기도 군포시","속달동",NA,1,41,"행정","임야","임야",1,7955,101584010,100814435,"경기도 축산산림국 공원녹지과","","","2013-11-06","Y","분할취득","시험림","2008-03-13","","경기도 군포시 속달동  1 - 41",999,999
"21",8575,2015,186515,"토지","행정재산","공용재산","일반회계","산","경기도 군포시","속달동",NA,1,42,"행정","임야","임야",1,9049,115554206,114678796,"경기도 축산산림국 공원녹지과","","","2013-11-06","Y","분할취득","시험림","2008-03-13","","경기도 군포시 속달동  1 - 42",999,999
"22",8576,2015,186516,"토지","행정재산","공용재산","일반회계","산","경기도 군포시","속달동",NA,1,43,"행정","임야","임야",1,9,114928,114057,"경기도 축산산림국 공원녹지과","","","2013-11-06","Y","분할취득","시험림","2008-03-13","","경기도 군포시 속달동  1 - 43",999,999
"23",8577,2015,154139,"토지","행정재산","공공용재산","일반회계","일반","경기도 군포시","당정동",NA,198,2,"이호조","하천","하천",1,469,123581500,123581500,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2010-03-26","Y","매입","당정동198-2","2010-05-20","","경기도 군포시 당정동  198 - 2",126.9563,37.3607
"24",8578,2015,154138,"토지","행정재산","공공용재산","일반회계","일반","경기도 군포시","당정동",NA,208,2,"이호조","하천","하천",1,790,212905000,212905000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","2010-03-26","Y","매입","당정동208-2","2010-05-20","","경기도 군포시 당정동  208 - 2",126.9565,37.361
"25",8579,2015,14775,"토지","일반재산","미등록","일반회계","일반","경기도 군포시","당정동",NA,908,25,"행정","공장용지","공장용지",1,134,61640000,61640000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","Y","매입","공장용지","2007-07-18","[토지분류코드:GC009][관리대장코드:1613189]","경기도 군포시 당정동  908 - 25",126.956,37.3627
"26",8580,2015,14776,"토지","일반재산","미등록","일반회계","일반","경기도 군포시","당정동",NA,908,26,"행정","공장용지","공장용지",1,59,2740000,2740000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","Y","매입","공장용지","2007-07-18","[토지분류코드:GC009][관리대장코드:1613190]","경기도 군포시 당정동  908 - 26",126.9559,37.3627
"27",8581,2015,14777,"토지","일반재산","미등록","일반회계","일반","경기도 군포시","당정동",NA,908,27,"행정","공장용지","공장용지",1,287,134603000,134603000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","Y","매입","공장용지","2007-07-18","[토지분류코드:GC009][관리대장코드:1613191]","경기도 군포시 당정동  908 - 27",126.956,37.3625
"28",8582,2015,14778,"토지","일반재산","미등록","일반회계","일반","경기도 군포시","당정동",NA,908,51,"행정","잡종지","잡종지",1,112,49728000,49728000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1997-08-01","Y","매입","잡종지","2007-07-18","[토지분류코드:GC024][관리대장코드:1613192]","경기도 군포시 당정동  908 - 51",126.9571,37.3592
"29",8583,2015,14780,"토지","일반재산","미등록","일반회계","일반","경기도 군포시","당정동",NA,908,73,"행정","잡종지","잡종지",1,183,75945000,75945000,"경기도 건설국 하천과","","경기도 군포시 건설도시국 건설과","1996-10-21","Y","매입","대지","2007-07-18","[토지분류코드:GC024][관리대장코드:1613194]","경기도 군포시 당정동  908 - 73",126.9567,37.3618
