"","X","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude"
"1",913,2015,181736,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",300,27,"행정","하천","하천",1,201,17254346,17254346,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2008-04-03","Y","분할취득","하  천","2007-07-18","[토지분류코드:GA213][관리대장코드:2506237]","경기도 남양주시 화도읍 마석우리 300 - 27",127.3057,37.6555
"2",914,2015,187478,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",300,29,"행정","하천","하천",1,1,316800,316800,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2013-09-27","Y","누락재산등록","하천","2014-10-30","","경기도 남양주시 화도읍 마석우리 300 - 29",127.3057,37.6562
"3",915,2015,167015,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",303,0,"행정","하천","하천",1,707,186648000,186648000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2009-03-20","Y","누락재산등록","하천","2011-08-03","","경기도 남양주시 화도읍 마석우리 303 - 0",127.3055,37.6559
"4",916,2015,167018,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",304,3,"행정","하천","하천",1,301,46655000,46655000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2008-11-17","Y","누락재산등록","하천","2011-08-03","","경기도 남양주시 화도읍 마석우리 304 - 3",127.3054,37.6555
"5",917,2015,190665,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",304,7,"행정","하천","하천",1,71,11005000,11005000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2015-02-02","Y","분할취득","하천","2011-08-03","","경기도 남양주시 화도읍 마석우리 304 - 7",127.3054,37.6555
"6",918,2015,167024,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",305,27,"행정","하천","하천",1,20,16120000,16120000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2008-10-14","Y","누락재산등록","하천","2011-08-03","","경기도 남양주시 화도읍 마석우리 305 - 27",127.3054,37.6552
"7",919,2015,177502,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",305,28,"행정","하천","하천",1,15,4050000,4050000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2011-10-04","Y","누락재산등록","하천","2012-11-05","","경기도 남양주시 화도읍 마석우리 305 - 28",127.3054,37.6546
"8",920,2015,167025,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",305,29,"행정","대","대",1,3,465000,465000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2009-07-01","Y","누락재산등록","하천","2011-08-03","","경기도 남양주시 화도읍 마석우리 305 - 29",127.3053,37.6541
"9",921,2015,177514,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",305,31,"행정","대","대",1,69,35328000,35328000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2011-10-04","Y","누락재산등록","하천","2012-11-05","","경기도 남양주시 화도읍 마석우리 305 - 31",127.3054,37.6545
"10",922,2015,177515,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",306,122,"행정","하천","하천",1,416,378560000,378560000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2011-10-04","Y","누락재산등록","하천","2012-11-05","","경기도 남양주시 화도읍 마석우리 306 - 122",127.3054,37.6547
"11",923,2015,167026,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",306,125,"행정","대","대",1,225,139725000,139725000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2009-02-03","Y","누락재산등록","하천","2011-08-03","","경기도 남양주시 화도읍 마석우리 306 - 125",127.3055,37.6537
"12",924,2015,167028,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",306,126,"행정","대","대",1,118,94872000,94872000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2010-05-04","Y","누락재산등록","하천","2011-08-03","","경기도 남양주시 화도읍 마석우리 306 - 126",127.3055,37.6536
"13",925,2015,167029,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",306,142,"행정","하천","하천",1,317,209537000,209537000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2010-05-31","Y","누락재산등록","하천","2011-08-03","","경기도 남양주시 화도읍 마석우리 306 - 142",127.3054,37.6552
"14",926,2015,170244,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",306,143,"행정","하천","하천",1,3,1857000,1857000,"경기도 건설국 도로정책과","","경기도 남양주시 교통도로국 도로정비과","2010-02-22","Y","누락재산등록","","2011-09-22","","경기도 남양주시 화도읍 마석우리 306 - 143",127.3053,37.6551
"15",927,2015,167030,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",306,144,"행정","하천","하천",1,280,43400000,43400000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2010-02-22","Y","누락재산등록","하천","2011-08-03","","경기도 남양주시 화도읍 마석우리 306 - 144",127.3053,37.6541
"16",928,2015,166938,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",306,150,"행정","하천","하천",1,2,528000,528000,"경기도 건설국 도로정책과","","경기도 남양주시 교통도로국 도로정비과","2010-02-22","Y","누락재산등록","도로","2011-08-03","","경기도 남양주시 화도읍 마석우리 306 - 150",127.3054,37.6549
"17",929,2015,190667,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",306,159,"행정","하천","하천",1,12,7932000,7932000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2015-02-02","Y","분할취득","하천","2011-08-03","","경기도 남양주시 화도읍 마석우리 306 - 159",127.3054,37.6551
"18",930,2015,190663,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",306,160,"행정","하천","하천",1,49,30331000,30331000,"경기도 건설국 도로정책과","","경기도 남양주시 교통도로국 도로정비과","2015-02-02","Y","분할취득","","2011-09-22","","경기도 남양주시 화도읍 마석우리 306 - 160",127.3053,37.6551
"19",931,2015,60641,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",307,1,"행정","하천","하천",1,32,2528000,2528000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","1994-10-25","Y","매입","하  천","2007-07-18","[토지분류코드:GA213][관리대장코드:2506238]","경기도 남양주시 화도읍 마석우리 307 - 1",127.3055,37.6543
"20",932,2015,177516,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",307,4,"행정","하천","하천",1,7,2576000,2576000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2011-10-04","Y","누락재산등록","하천","2012-11-05","","경기도 남양주시 화도읍 마석우리 307 - 4",127.3058,37.6534
"21",933,2015,167031,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",310,9,"행정","하천","하천",1,17,1683000,1683000,"경기도 건설국 하천과","","경기도 남양주시 환경녹지국 생태하천과","2009-05-19","Y","누락재산등록","하천","2011-08-03","","경기도 남양주시 화도읍 마석우리 310 - 9",127.3055,37.6533
"22",943,2015,114916,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",350,0,"행정","도로","도로",1,9055.1,3042513600,3042513600,"경기도 건설국 도로정책과","","경기도 남양주시 교통도로국 도로정비과","2004-06-04","Y","매입","","2009-11-17","","경기도 남양주시 화도읍 마석우리 350 - 0",127.3045,37.6593
"23",944,2015,63534,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",384,9,"행정","도로","도로",1,4,489720,489720,"경기도 건설국 도로정책과","","경기도 남양주시 교통도로국 도로정비과","1975-07-05","Y","매입","도  로","2007-07-18","[토지분류코드:GA211][관리대장코드:2509131]","경기도 남양주시 화도읍 마석우리 384 - 9",127.3044,37.6596
"24",945,2015,63531,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",384,14,"행정","도로","도로",1,125,2500000,2500000,"경기도 건설국 도로정책과","","경기도 남양주시 교통도로국 도로정비과","1989-05-24","Y","매입","도  로","2007-07-18","[토지분류코드:GA211][관리대장코드:2509128]","경기도 남양주시 화도읍 마석우리 384 - 14",127.3044,37.6597
"25",946,2015,63532,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",384,15,"행정","도로","도로",1,88,1760000,1760000,"경기도 건설국 도로정책과","","경기도 남양주시 교통도로국 도로정비과","1989-05-24","Y","매입","도  로","2007-07-18","[토지분류코드:GA211][관리대장코드:2509129]","경기도 남양주시 화도읍 마석우리 384 - 15",127.3044,37.6597
"26",947,2015,156398,"토지","행정재산","공공용재산","일반회계","일반","경기도 남양주시","화도읍","마석우리",384,27,"행정","도로","도로",1,1,20000,20000,"경기도 건설국 도로정책과","","경기도 남양주시 교통도로국 도로정비과","2010-02-09","Y","분할취득","도  로","2007-07-18","[토지분류코드:GA211][관리대장코드:2509128]","경기도 남양주시 화도읍 마석우리 384 - 27",127.3043,37.6597
