"","X","집계년도","재산번호","재산구분명","재산종류명","행정재산구분명","회계구분명","산구분명","시군구명","읍면동명","리명","본번","부번","입력시스템명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득승인여부","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude"
"1",8379,2015,133634,"공작물","행정재산","공용재산","일반회계","일반","경기도 여주시","창동","",162,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 여주소방서","","2006-08-03","Y","매입","비상급수시설","2008-03-07","","경기도 여주시 창동  162 - 0",127.6353,37.2923
"2",8380,2015,133654,"공작물","행정재산","공용재산","일반회계","일반","경기도 여주시","창동","",162,89,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 여주소방서","","2002-07-26","Y","매입","비상급수시설","2008-03-07","","경기도 여주시 창동  162 - 89",999,999
"3",8381,2015,133639,"공작물","행정재산","공용재산","일반회계","일반","경기도 여주시","창동","",162,100,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 여주소방서","","2004-09-02","Y","매입","비상급수시설","2008-03-07","","경기도 여주시 창동  162 - 100",999,999
"4",8407,2015,133628,"공작물","행정재산","공용재산","일반회계","일반","경기도 여주시","창동","",162,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 여주소방서","","2005-10-07","Y","매입","비상급수시설","2008-03-07","","경기도 여주시 창동  162 - 0",127.6353,37.2923
"5",8408,2015,133627,"공작물","행정재산","공용재산","일반회계","일반","경기도 여주시","창동","",154,2,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 여주소방서","","1985-12-31","Y","매입","비상급수시설","2008-03-07","","경기도 여주시 창동  154 - 2",127.6359,37.2941
"6",8432,2015,133624,"공작물","행정재산","공용재산","일반회계","일반","경기도 여주시","창동","",98,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 여주소방서","","2005-12-26","Y","매입","비상급수시설","2008-03-07","","경기도 여주시 창동  98 - 0",127.6338,37.2962
"7",8433,2015,133651,"공작물","행정재산","공용재산","일반회계","일반","경기도 여주시","창동","",118,5,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 여주소방서","","2005-12-31","Y","매입","비상급수시설","2008-03-07","","경기도 여주시 창동  118 - 5",127.6344,37.2962
"8",8434,2015,133636,"공작물","행정재산","공용재산","일반회계","일반","경기도 여주시","창동","",135,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 여주소방서","","2005-12-31","Y","매입","비상급수시설","2008-03-07","","경기도 여주시 창동  135 - 0",127.634,37.2954
"9",8435,2015,133637,"공작물","행정재산","공용재산","일반회계","일반","경기도 여주시","창동","",142,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 여주소방서","","2005-12-31","Y","매입","비상급수시설","2008-03-07","","경기도 여주시 창동  142 - 0",127.632,37.2946
"10",8436,2015,133656,"공작물","행정재산","공용재산","일반회계","일반","경기도 여주시","창동","",142,0,"행정","미등록","미등록",1,NA,3e+06,3e+06,"경기도 재난안전본부 소방행정과","경기도 여주소방서","","2005-12-31","Y","매입","비상급수시설","2008-03-07","","경기도 여주시 창동  142 - 0",127.632,37.2946
