city,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,address,longitude,latitude,avg_price
Gapyeong,1252,2015,127310,공작물,행정재산,공용재산,일반회계,일반,경기도 가평군,청평면,청평리,434,0,행정,미등록,unknown,1,0,2500000,2500000,경기도 재난안전본부 소방행정과,경기도 남양주소방서,,1986-01-01,Y,매입,소방용수,2008-03-07,경기도 가평군 청평면 청평리 434 - 0,127.4189,37.7372,0
Gapyeong,1253,2015,127308,공작물,행정재산,공용재산,일반회계,일반,경기도 가평군,청평면,청평리,434,25,행정,미등록,unknown,1,0,2500000,2500000,경기도 재난안전본부 소방행정과,경기도 남양주소방서,,1986-01-01,Y,매입,소방용수,2008-03-07,경기도 가평군 청평면 청평리 434 - 25,127.4165,37.736,0
Gapyeong,1254,2015,127307,공작물,행정재산,공용재산,일반회계,일반,경기도 가평군,청평면,청평리,441,19,행정,미등록,unknown,1,0,2500000,2500000,경기도 재난안전본부 소방행정과,경기도 남양주소방서,,1986-01-01,Y,매입,소방용수,2008-03-07,경기도 가평군 청평면 청평리 441 - 19,127.4163,37.7377,0
Gapyeong,1255,2015,127327,공작물,행정재산,공용재산,일반회계,일반,경기도 가평군,청평면,청평리,465,30,행정,미등록,unknown,1,0,2500000,2500000,경기도 재난안전본부 소방행정과,경기도 남양주소방서,,1986-01-01,Y,매입,소방용수,2008-03-07,경기도 가평군 청평면 청평리 465 - 30,127.4212,37.7391,0
Gapyeong,1256,2015,127317,공작물,행정재산,공용재산,일반회계,일반,경기도 가평군,청평면,청평리,497,11,행정,미등록,unknown,1,0,2500000,2500000,경기도 재난안전본부 소방행정과,경기도 남양주소방서,,1986-01-01,Y,매입,소방용수,2008-03-07,경기도 가평군 청평면 청평리 497 - 11,127.4192,37.7414,0
Gapyeong,1257,2015,127300,공작물,행정재산,공용재산,일반회계,일반,경기도 가평군,청평면,청평리,619,10,행정,미등록,unknown,1,0,2500000,2500000,경기도 재난안전본부 소방행정과,경기도 남양주소방서,,1986-01-01,Y,매입,소방용수,2008-03-07,경기도 가평군 청평면 청평리 619 - 10,127.4142,37.7353,0
Gapyeong,1258,2015,127305,공작물,행정재산,공용재산,일반회계,일반,경기도 가평군,청평면,청평리,629,2,행정,미등록,unknown,1,0,2500000,2500000,경기도 재난안전본부 소방행정과,경기도 남양주소방서,,1986-01-01,Y,매입,소방용수,2008-03-07,경기도 가평군 청평면 청평리 629 - 2,127.4124,37.7325,0
Gapyeong,1293,2015,173141,공작물,행정재산,공용재산,일반회계,일반,경기도 가평군,북면,적목리,329,3,이호조,미등록,unknown,1,0,4421661640,4421661640,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,2011-08-31,Y,신축,경기도 가평군 북면 적목리 일반번지 -번지,2012-03-26,경기도 가평군 북면 적목리 329 - 3,127.4165,37.9673,0
Gapyeong,1294,2015,161059,공작물,행정재산,공용재산,일반회계,일반,경기도 가평군,북면,적목리,359,0,이호조,미등록,unknown,1,0,1.65E+08,1.65E+08,경기도 건설국 도로정책과,,,2010-01-14,Y,신축,지방도 368호선 강씨봉 진입도로,2011-05-20,경기도 가평군 북면 적목리 359 - 0,127.4207,37.968,0
Gapyeong,1295,2015,159319,공작물,행정재산,공용재산,일반회계,일반,경기도 가평군,북면,백둔리,1,1,이호조,미등록,unknown,1,0,1078000,1078000,경기도 재난안전본부 소방행정과,경기도 가평소방서,,2010-12-23,Y,신축,지상식 소화전,2011-01-05,경기도 가평군 북면 백둔리 1 - 1,127.5031,37.8993,0
