city,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,비고,address,longitude,latitude,avg_price
Gwangju,40279,2015,90516,건물,행정재산,보존재산,일반회계,일반,경기도 광주시,중부면,산성리,936,2,행정,unknown,unknown,1,206.89,1643834000,3.84E+08,경기도 문화체육관광국 문화유산과,,,2005-06-21,Y,매입,남한산성 행궁,2009-11-16,,경기도 광주시 중부면 산성리 936 - 2,127.1812,37.4796,7945449.273
Gwangju,40266,2015,179538,건물,행정재산,공공용재산,일반회계,일반,경기도 광주시,중부면,산성리,25,3,이호조,unknown,unknown,1,34.02,165011470,165011470,경기도 축산산림국 공원녹지과,,,2012-12-31,Y,신축,공중화장실,2013-02-15,,경기도 광주시 중부면 산성리 25 - 3,127.198,37.4749,4850425.338
Gwangju,40278,2015,90511,건물,행정재산,보존재산,일반회계,일반,경기도 광주시,중부면,산성리,935,1,행정,unknown,unknown,1,424.23,1698620000,1.73E+08,경기도 문화체육관광국 문화유산과,,,2003-01-17,Y,매입,남한산성 행궁,2009-11-16,,경기도 광주시 중부면 산성리 935 - 1,127.1815,37.4788,4004007.26
Gwangju,40281,2015,151585,건물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,광지원리,5,2,행정,unknown,unknown,1,24.57,96853000,96853000,경기도 축산산림국 공원녹지과,,,2008-12-23,Y,신축,15호 화장실(광지원주차장),2010-02-23,,경기도 광주시 중부면 광지원리 5 - 2,127.2411,37.4602,3941921.042
Gwangju,42725,2015,171038,건물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,불당리,26,7,이호조,unknown,unknown,1,56.22,187051340,187051340,경기도 축산산림국 공원녹지과,,,2010-11-03,Y,매입,남한산성 불당리 화장실,2011-10-04,,경기도 광주시 중부면 불당리 26 - 7,127.2157,37.4583,3327131.626
Gwangju,40283,2015,151586,건물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,오전리,335,1,행정,unknown,unknown,1,20.4,59040000,59040000,경기도 축산산림국 공원녹지과,,,2008-10-13,Y,신축,"휴계음식점, 휴게매점",2010-02-23,,경기도 광주시 중부면 오전리 335 - 1,127.2268,37.4552,2894117.647
Gwangju,40269,2015,185185,건물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,157,1,이호조,unknown,unknown,1,733.11,2026485740,2026485740,경기도 축산산림국 공원녹지과,,,2013-10-26,Y,신축,남한산성도립공원 관리사무소,2014-03-26,,경기도 광주시 중부면 산성리 157 - 1,127.1885,37.4767,2764231.48
Gwangju,40272,2015,189874,건물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,239,1,이호조,unknown,unknown,1,554.27,1486497610,1500217610,경기도 재난안전본부 소방행정과,경기도 광주소방서 경안119안전센터,,2014-12-31,Y,신축,중부지역대청사,2015-04-13,,경기도 광주시 중부면 산성리 239 - 1,127.1881,37.4769,2681901.618
Gwangju,40282,2015,171037,건물,행정재산,공공용재산,일반회계,일반,경기도 광주시,중부면,광지원리,5,19,이호조,unknown,unknown,1,20.4,54565000,54565000,경기도 축산산림국 공원녹지과,,,2010-08-02,Y,신축,경기도 광주시 중부면 광지원리 일반번지 5-19번지,2011-10-04,,경기도 광주시 중부면 광지원리 5 - 19,127.2409,37.4602,2674754.902
Gwangju,42727,2015,171036,건물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,검복리,27,10,이호조,unknown,unknown,1,20.4,53389000,53389000,경기도 축산산림국 공원녹지과,,,2010-08-02,Y,신축,경기도 광주시 중부면 검복리 일반번지 27-10번지,2011-10-04,,경기도 광주시 중부면 검복리 27 - 10,127.1983,37.4705,2617107.843
Gwangju,40273,2015,151592,건물,행정재산,공용재산,일반회계,일반,경기도 광주시,중부면,산성리,437,1,행정,unknown,unknown,1,68.67,161500000,161500000,경기도 축산산림국 공원녹지과,,,2009-01-13,Y,신축,화장실(중앙주차장),2010-02-23,,경기도 광주시 중부면 산성리 437 - 1,127.1872,37.4769,2351827.581
Gwangju,42535,2015,90544,건물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,곤지암리,520,8,행정,unknown,unknown,1,582.64,1164040800,1025746300,경기도 재난안전본부 소방행정과,경기도 광주소방서,,1998-04-02,Y,매입,실촌파출소,2009-04-13,,경기도 광주시 곤지암읍 곤지암리 520 - 8,127.3369,37.3377,1997873.129
Gwangju,42580,2015,187286,건물,일반재산,unknown,일반회계,일반,경기도 광주시,곤지암읍,삼리,72,1,행정,unknown,unknown,1,554.28,1013147000,1013147000,경기도 문화체육관광국 관광과,,,2014-08-21,Y,기부채납,세계도자기엑스포광주행사장7호동(체험관),2014-09-24,,경기도 광주시 곤지암읍 삼리 72 - 1,127.3276,37.351,1827861.37
Gwangju,40457,2015,184684,건물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,삼리,680,0,이호조,unknown,unknown,1,25927.3,44583364600,44583364600,경기도 농정해양국 농식품유통과,,,2013-01-30,Y,신축,친환경농산물유통센터,2014-03-04,,경기도 광주시 곤지암읍 삼리 680 - 0,127.327,37.3535,1719552.927
Gwangju,21254,2015,160451,용익물권,행정재산,공용재산,일반회계,일반,경기도 광주시,초월읍,대쌍령리,61,1,행정,unknown,unknown,1,84.98,1.30E+08,1.30E+08,경기도 재난안전본부 소방행정과,경기도 광주소방서,,2010-01-15,Y,매입,광주소방서 관사,2011-04-11,,경기도 광주시 초월읍 대쌍령리 61 - 1,127.2937,37.3858,1529771.711
Gwangju,42533,2015,92788,건물,행정재산,공용재산,일반회계,일반,경기도 광주시,오포읍,능평리,376,0,행정,unknown,unknown,1,753.96,1010893630,1010893630,경기도 재난안전본부 소방행정과,경기도 광주소방서 소방행정과,,2007-01-05,Y,매입,광주소방서,2009-04-13,,경기도 광주시 오포읍 능평리 376 - 0,127.1688,37.3573,1340778.861
Gwangju,40454,2015,90554,건물,행정재산,공용재산,일반회계,일반,경기도 광주시,곤지암읍,삼리,430,8,행정,unknown,unknown,1,350,463270882,393269000,경기도 경기도농업기술원,경기도 경기도농업기술원 버섯연구소,,1994-06-16,Y,매입,작업실외4,2009-03-17,,경기도 광주시 곤지암읍 삼리 430 - 8,127.3229,37.351,1323631.091
