city,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,비고,address,longitude,latitude,avg_price
Namyangju,118254,2015,188421,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,도농동,,263,1,이호조,수도용지,water,1,20,1876987430,1876987430,경기도 건설국 river과,,경기도 남양주시 환경녹지국 생태river과,2014-11-14,Y,매입,river 외 9필지,2014-12-22,,경기도 남양주시 도농동  263 - 1,127.1506,37.6054,93849371.5
Namyangju,91389,2015,93160,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,오남읍,오남리,791,30,행정,ddap,dap,1,1,30342000,30342000,경기도 건설국 river과,,경기도 남양주시 환경녹지국 생태river과,2002-12-20,Y,매입,하  천,2007-12-26,[토지분류코드:][관리dae장코드:2505598],경기도 남양주시 오남읍 오남리 791 - 30,127.2021,37.6937,30342000
Namyangju,62050,2015,114414,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,와부읍,팔당리,802,2,행정,jeon,jeon,1,8.9,267448000,267448000,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1990-05-24,Y,매입,,2008-01-17,,경기도 남양주시 와부읍 팔당리 802 - 2,127.2374,37.5549,30050337.08
Namyangju,113872,2015,188480,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,진접읍,장현리,295,2,이호조,jeon,jeon,1,192,1801532000,1801532000,경기도 건설국 river과,,경기도 남양주시 환경녹지국 생태river과,2014-11-28,Y,매입,경기도 남양주시 진접읍 장현리 일반번지 295-2번지,2014-12-22,,경기도 남양주시 진접읍 장현리 295 - 2,127.1858,37.7165,9382979.167
Namyangju,86188,2015,168710,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,오남읍,양지리,587,2,이호조,jeon,jeon,1,1,6482300,6482300,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road건설과,2011-07-27,Y,매입,국지도98 내각-오남(양지램프0,2011-08-29,,경기도 남양주시 오남읍 양지리 587 - 2,127.1886,37.694,6482300
Namyangju,111950,2015,177328,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,진접읍,장현리,344,2,이호조,river,river,1,46,294582190,294582190,경기도 건설국 river과,,경기도 남양주시 환경녹지국 생태river과,2012-09-25,Y,매입,수용재결에 따른 보상금 공탁,2012-11-02,,경기도 남양주시 진접읍 장현리 344 - 2,127.1867,37.7179,6403960.652
Namyangju,128864,2015,61583,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,금곡동,,406,51,행정,road,road,1,4,23478000,23478000,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1987-11-10,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2507180],경기도 남양주시 금곡동  406 - 51,127.2083,37.636,5869500
Namyangju,128964,2015,61567,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,금곡동,,396,11,행정,road,road,1,21,76260000,76260000,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1987-10-28,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2507164],경기도 남양주시 금곡동  396 - 11,127.2089,37.6384,3631428.571
Namyangju,20883,2015,190530,용익물권,행정재산,공용재산,일반회계,일반,경기도 남양주시,평내동,,562,0,행정,unknown,unknown,1,59.53,1.60E+08,1.60E+08,경기도 재난안jeon본부 소방행정과,경기도 남양주소방서,,2015-04-20,Y,매입,남양주소방서 관사,2015-06-15,,경기도 남양주시 평내동  562 - 0,127.233,37.6405,2687720.477
Namyangju,89602,2015,146697,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,오남읍,오남리,713,6,이호조,ddap,dap,1,51,109364270,109364270,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,2008-04-11,Y,매입,내각-오남국지도건설,2010-01-20,,경기도 남양주시 오남읍 오남리 713 - 6,127.2064,37.6928,2144397.451
