"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,146777,"토지","행정재산","공공용재산","일반","하천","하천",1,1521,63882000,63882000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2008-05-08","매입","양성면 방축리 10-3","2009-03-27","","경기도 안성시 양성면 방축리 10 - 3",127.2448,37.0604,"4",4.2,4.2,2,14,15,7,1,8,29,0,8,0,21,5,35,19,193,12,3,3
2015,35346,"토지","행정재산","공공용재산","일반","전","전",1,157,4082000,4082000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2003-11-05","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1632730]","경기도 안성시 공도읍 승두리 73 - 8",127.1652,36.9967,"1",2.6,2.6,12,92,195,20,177,39,31,0,33,10,219,14,18,27,1189,140,85,30
2015,38059,"토지","행정재산","공공용재산","일반","답","답",1,515,42230000,42230000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","1999-10-21","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1635443]","경기도 안성시 대덕면 모산리 393 - 1",127.2363,37.0267,"3",8.2,8.2,9,107,77,21,112,96,48,0,40,5,120,26,23,47,1366,118,91,38
2015,94216,"토지","행정재산","공공용재산","일반","전","전",1,126,1512000,1512000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2004-05-24","매입","하천","2007-08-23","[토지분류코드:][관리대장코드:1633937]","경기도 안성시 미양면 진촌리 200 - 7",127.1896,36.9744,"1",1.2,1.2,8,73,168,17,105,34,21,0,22,3,105,6,15,11,790,65,35,17
2015,148751,"토지","행정재산","공공용재산","일반","전","전",1,100,4400000,4400000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","2009-02-18","매입","도로(토지)","2009-12-22","","경기도 안성시 일죽면 능국리 511 - 11",127.4845,37.1104,"1",4.4,4.4,3,13,11,9,9,10,16,0,5,1,26,4,42,16,199,14,7,3
2015,154654,"토지","행정재산","공공용재산","일반","하천","전",1,474,10902000,10902000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2010-02-22","매입","토지","2010-06-01","","경기도 안성시 양성면 동항리 185 - 9",127.197,37.0641,"2",2.3,2.3,1,16,3,3,2,9,16,0,2,3,18,3,40,24,215,29,2,4
2015,38150,"토지","행정재산","공공용재산","일반","전","전",1,992,28272000,28272000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","1999-12-07","매입","도로","2007-07-18","[토지분류코드:GA201][관리대장코드:1635534]","경기도 안성시 대덕면 보동리 496 - 3",127.2406,37.0457,"3",2.85,2.85,6,68,60,19,94,55,39,0,22,3,77,14,25,33,846,79,54,23
2015,37236,"토지","행정재산","공공용재산","일반","답","답",1,9154,161624000,161624000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","1998-12-09","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1634620]","경기도 안성시 고삼면 가유리 395 - 4",127.2599,37.0781,"4",1.76561066200568,1.76561066200568,1,6,5,5,1,6,12,0,5,1,11,2,37,18,110,4,0,1
2015,40755,"토지","행정재산","공공용재산","일반","구거","구거",1,113,508400,508400,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","1982-12-29","매입","도로","2007-07-18","[토지분류코드:GA215][관리대장코드:1638139]","경기도 안성시 원곡면 외가천리 253 - 4",127.1278,37.0355,"1",0.449911504424779,0.449911504424779,10,113,153,23,155,27,49,0,39,5,319,19,33,30,1291,153,65,25
2015,35850,"토지","행정재산","공공용재산","일반","전","전",1,58,446600,446600,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1995-07-13","매입","하천","2007-07-18","[토지분류코드:GA201][관리대장코드:1633234]","경기도 안성시 미양면 고지리 7 - 4",127.2181,36.9641,"1",0.77,0.77,3,38,40,11,10,16,18,0,13,1,27,8,21,4,364,24,3,4
2015,36175,"토지","행정재산","공공용재산","일반","답","답",1,470,7990000,7990000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2001-07-09","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1633559]","경기도 안성시 보개면 동평리 671 - 4",127.312,37.0881,"2",1.7,1.7,1,2,3,3,1,10,2,0,1,1,7,2,26,24,56,3,1,1
2015,35554,"토지","행정재산","공공용재산","일반","답","답",1,60,2400000,2400000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2002-11-01","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1632938]","경기도 안성시 공도읍 용두리 275 - 16",127.1655,37.0035,"1",4,4,11,95,192,19,175,40,31,0,32,10,231,13,21,32,1228,148,84,30
2015,40265,"토지","행정재산","공공용재산","일반","답","답",1,4,560000,560000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","1998-12-21","매입","도로","2007-07-18","[토지분류코드:GA202][관리대장코드:1637649]","경기도 안성시 양성면 노곡리 357 - 1",127.2449,37.1061,"1",14,14,1,5,3,2,1,13,7,0,5,3,13,2,46,21,111,4,2,1
2015,38642,"토지","행정재산","공공용재산","일반","전","전",1,1184,55648000,55648000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","1998-12-03","매입","도로","2007-07-18","[토지분류코드:GA201][관리대장코드:1636026]","경기도 안성시 미양면 양지리 194 - 9",127.2151,36.9745,"4",4.7,4.7,6,57,88,13,46,31,26,0,21,3,66,13,17,16,661,54,22,11
2015,36552,"토지","행정재산","공공용재산","일반","전","전",1,87,4741500,13516000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2004-05-14","매입","하천","2007-07-18","[토지분류코드:][관리대장코드:1633936]","경기도 안성시 가현동  157 - 7",127.2803,37.0039,"1",5.45,15.535632183908,9,92,96,22,110,99,47,0,38,9,122,31,35,47,1391,111,89,39
2015,35836,"토지","행정재산","공공용재산","일반","답","답",1,1308,9613800,9613800,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1994-06-29","매입","하천","2007-07-18","[토지분류코드:GA202][관리대장코드:1633220]","경기도 안성시 미양면 강덕리 52 - 3",127.2238,36.9629,"4",0.735,0.735,4,38,33,10,6,19,22,0,13,2,30,8,24,4,390,27,2,4
2015,39222,"토지","행정재산","공공용재산","일반","전","전",1,23,469200,469200,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","1993-03-04","매입","도로","2007-07-18","[토지분류코드:GA211][관리대장코드:1636606]","경기도 안성시 보개면 북가현리 558 - 6",127.3101,37.1008,"1",2.04,2.04,1,2,3,3,2,5,2,0,2,1,7,2,30,40,62,4,1,1
2015,142954,"토지","행정재산","공공용재산","일반","주유소용지","주유소용지",1,31,10199000,10199000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","2007-10-11","매입","누락재산 일괄등록","2008-11-21","","경기도 안성시 보개면 불현리 77 - 13",127.288,37.0289,"1",32.9,32.9,7,71,80,22,106,89,45,0,32,6,108,29,34,38,1149,87,90,37
2015,35831,"토지","행정재산","공공용재산","일반","답","답",1,34,249900,249900,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","1994-06-14","매입","하천","2007-07-18","[토지분류코드:GA202][관리대장코드:1633215]","경기도 안성시 미양면 강덕리 39 - 1",127.2252,36.9626,"1",0.735,0.735,4,38,33,10,6,19,23,0,13,2,31,8,25,4,390,27,2,4
2015,185287,"토지","행정재산","공공용재산","일반","답","답",1,972,52974000,52974000,"경기도 건설국 하천과","","경기도 안성시 안전도시국 안전총괄과","2013-12-12","매입","하천","2014-04-04","","경기도 안성시 삼죽면 진촌리 318",127.3671,37.0606,"3",5.45,5.45,0,17,6,2,5,23,15,0,8,3,16,1,32,15,128,5,4,2
2015,162856,"토지","행정재산","공공용재산","일반","답","답",1,429,43329000,43329000,"경기도 건설국 도로정책과","","경기도 안성시 안전도시국 건설과","2011-06-20","매입","도로: 토지  일죽면 송천리 330-4 번지  답  429zm","2011-06-23","","경기도 안성시 일죽면 송천리 330 - 4",127.4718,37.0853,"2",10.1,10.1,2,13,9,7,11,15,15,0,8,5,37,5,53,30,272,15,9,6
