"asset_ID","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,190533,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,0,2.3e+08,2.3e+08,"경기도 재난안전본부 소방행정과","경기도 부천소방서 소방행정과","","2015-03-27","매입","","2015-06-15","","경기도 부천시 원미구 중동  1176 - 2",126.7668,37.4979,126.7668,37.4979,"1",Inf,Inf,34,824,1136,191,2312,454,102,21,423,75,2943,115,108,432,15720,1706,1374,517
2015,90298,"건물","행정재산","공용재산","일반","미등록","미등록",1,649.98,674461200,260931800,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1994-01-17","매입","서부파출소","2009-04-13","","경기도 부천시 원미구 중동  1040 - 3",126.7677,37.5079,126.7677,37.5079,"3",103.766454352442,40.1445890642789,36,866,1182,193,2353,465,108,22,446,70,3076,123,91,435,16629,1784,1481,545
2015,90297,"건물","행정재산","공용재산","일반","미등록","미등록",1,5823.42,5406763750,3784258720,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1995-07-26","신축","부천소방서","2006-09-18","","경기도 부천시 원미구 중동  1218",126.7779,37.4937,126.7779,37.4937,"4",92.8451622929481,64.9834413454637,31,745,1015,186,2011,402,100,19,380,74,2694,101,131,372,14356,1550,1244,471
2015,90296,"건물","행정재산","공용재산","일반","미등록","미등록",1,722.35,511681720,795829770,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1993-05-27","매입","상동파출소","2009-04-13","","경기도 부천시 원미구 상동  394 - 3",126.7546,37.4943,126.7546,37.4943,"3",70.8357056828407,110.172322281443,34,856,1218,203,2409,477,108,23,453,83,3102,125,95,413,16486,1778,1422,542
2015,90300,"건물","행정재산","공용재산","일반","미등록","미등록",1,661.75,702829970,702829970,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2005-01-04","매입","신상파출소","2009-04-13","","경기도 부천시 원미구 상동  528 - 4",126.7516,37.5081,126.7516,37.5081,"3",106.20777786173,106.20777786173,35,908,1252,214,2458,507,113,25,480,76,3195,133,76,438,17433,1854,1541,566
2015,90299,"건물","행정재산","공용재산","일반","미등록","미등록",1,659.79,637490150,536928730,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2003-11-17","매입","범박파출소","2009-04-13","","경기도 부천시 소사구 범박동  155 - 3",126.8095,37.4706,126.8095,37.4706,"3",96.6201594446718,81.3787311114142,25,523,830,133,1368,317,75,13,270,56,1968,89,120,305,10562,963,885,356
2015,90295,"건물","행정재산","공용재산","일반","미등록","미등록",1,562,530551290,471601150,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2000-11-17","매입","내동파출소","2009-04-13","","경기도 부천시 오정구 내동  60",126.7758,37.5161,126.7758,37.5161,"3",94.4041441281139,83.9147953736655,35,779,1125,198,2112,416,118,21,389,68,2871,117,89,332,14966,1472,1278,494
2015,97694,"토지","행정재산","공용재산","일반","답","답",1,901,520952500,520952500,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2007-05-16","매입","오정소방서","2008-01-04","","경기도 부천시 오정구 오정동  428 - 109",126.7778,37.5275,126.7778,37.5275,"3",57.8193673695894,57.8193673695894,34,706,988,174,1929,387,111,20,382,61,2333,104,95,295,13586,1332,1166,439
2015,97278,"토지","행정재산","공용재산","일반","전","전",1,483,317821090,317821090,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2007-04-27","매입","대","2007-12-11","","경기도 부천시 오정구 오정동  428 - 108",126.7774,37.527,126.7774,37.527,"2",65.8014679089027,65.8014679089027,36,714,995,177,1942,388,110,20,385,61,2384,104,94,298,13833,1355,1183,443
2015,2382,"토지","행정재산","공용재산","일반","대","대",1,1200,1.344e+09,1.344e+09,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1996-07-03","매입","서부파출소","2007-12-10","[토지분류코드:GA108][관리대장코드:2000046]","경기도 부천시 원미구 중동  1040 - 3",126.7677,37.5079,126.7677,37.5079,"4",112,112,36,866,1182,193,2353,465,108,22,446,70,3076,123,91,435,16629,1784,1481,545
2015,2383,"토지","행정재산","공용재산","일반","대","대",1,7070,7352800000,7352800000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1996-08-24","매입","부천소방서","2007-12-10","[토지분류코드:GA108][관리대장코드:2000047]","경기도 부천시 원미구 중동  1218",126.7779,37.4937,126.7779,37.4937,"4",104,104,31,745,1015,186,2011,402,100,19,380,74,2694,101,131,372,14356,1550,1244,471
2015,2381,"토지","행정재산","공용재산","일반","대","대",1,1200.9,1381035000,1381035000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","1995-05-10","매입","상동파출소","2007-12-10","[토지분류코드:GA108][관리대장코드:2000045]","경기도 부천시 원미구 상동  394 - 3",126.7546,37.4943,126.7546,37.4943,"4",115,115,34,856,1218,203,2409,477,108,23,453,83,3102,125,95,413,16486,1778,1422,542
2015,2384,"토지","행정재산","공용재산","일반","대","대",1,1200,692724000,692724000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-03-17","매입","신상파출소","2007-12-10","[토지분류코드:][관리대장코드:2000048]","경기도 부천시 원미구 상동  528 - 4",126.7516,37.5081,126.7516,37.5081,"4",57.727,57.727,35,908,1252,214,2458,507,113,25,480,76,3195,133,76,438,17433,1854,1541,566
2015,2385,"토지","행정재산","공용재산","일반","대","대",1,1386,1065834000,1065834000,"경기도 재난안전본부 소방행정과","경기도 부천소방서","","2004-07-29","매입","범박파출소","2007-12-10","[토지분류코드:][관리대장코드:2000049]","경기도 부천시 소사구 범박동  155 - 3",126.8095,37.4706,126.8095,37.4706,"4",76.9,76.9,25,523,830,133,1368,317,75,13,270,56,1968,89,120,305,10562,963,885,356
2015,2367,"토지","일반재산","미등록","일반","잡종지","잡종지",1,502,358930000,273590000,"경기도 자치행정국 회계과","","경기도 부천시 재정경제국 회계과","1941-12-09","매입","군부대","2008-03-28","[토지분류코드:GC017][관리대장코드:100103]","경기도 부천시 오정구 오정동  149 - 2",126.7944,37.5265,126.7944,37.5265,"3",71.5,54.5,22,700,1020,176,1934,380,111,22,390,54,2536,99,79,366,12758,1256,1212,476
