"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,105604,"토지","행정재산","공공용재산","일반","답","답",1,530,35987000,35987000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1999-05-11","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 135 - 1",126.6316,37.6679,"3",6.79,6.79,14,120,191,36,209,44,42,0,44,7,351,19,16,23,1804,185,163,31
2015,105605,"토지","행정재산","공공용재산","일반","답","답",1,2863,194397700,194397700,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-04-11","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 138 - 4",126.6305,37.6676,"4",6.79,6.79,14,118,189,36,202,44,42,0,44,7,345,19,16,24,1793,175,160,31
2015,105606,"토지","행정재산","공공용재산","일반","답","답",1,512,34764800,34764800,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-09-16","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 139 - 3",126.629,37.6672,"3",6.79,6.79,14,118,187,36,198,43,42,0,44,6,343,18,17,24,1767,165,156,31
2015,105743,"토지","행정재산","공공용재산","일반","구거","구거",1,11,279400,279400,"경기도 건설국 하천과","","경기도 김포시 안전건설국 안전총괄과","1998-03-28","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 60 - 6",126.6384,37.6665,"1",2.54,2.54,14,117,216,37,222,43,37,0,44,7,362,18,17,15,1804,195,173,34
2015,105748,"토지","행정재산","공공용재산","일반","대","대",1,27,7614000,7614000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-08-13","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 625 - 6",126.6358,37.6638,"1",28.2,28.2,14,121,218,41,228,46,35,0,45,7,381,18,20,16,1879,200,179,36
2015,105750,"토지","행정재산","공공용재산","일반","전","전",1,38,8664000,8664000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-09-17","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 628 - 4",126.6354,37.6631,"1",22.8,22.8,15,121,220,41,228,45,35,0,45,7,380,20,22,16,1881,202,179,36
2015,105751,"토지","행정재산","공공용재산","일반","답","답",1,112,6652800,6652800,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-08-13","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 629 - 4",126.6355,37.6633,"1",5.94,5.94,15,121,220,41,228,46,35,0,45,7,380,20,22,16,1881,201,179,36
2015,105752,"토지","행정재산","공공용재산","일반","답","답",1,120,26760000,26760000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-08-13","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 631 - 4",126.6356,37.6635,"1",22.3,22.3,14,121,219,41,228,46,35,0,45,7,381,19,22,16,1882,201,179,36
2015,105753,"토지","행정재산","공공용재산","일반","답","답",1,52,16796000,16796000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-08-14","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 632 - 3",126.6357,37.6637,"1",32.3,32.3,14,121,219,41,228,46,35,0,45,7,381,19,21,16,1880,201,179,36
2015,105754,"토지","행정재산","공공용재산","일반","전","전",1,13,2535000,2535000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-08-31","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 633 - 1",126.6361,37.6636,"1",19.5,19.5,14,121,219,41,228,45,34,0,45,7,382,18,21,16,1878,202,179,36
2015,105755,"토지","행정재산","공공용재산","일반","전","전",1,387,82044000,82044000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-08-31","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 633 - 2",126.6359,37.6634,"2",21.2,21.2,14,121,219,41,228,45,35,0,45,7,382,19,22,16,1880,202,179,36
2015,105758,"토지","행정재산","공공용재산","일반","전","전",1,394,89832000,89832000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-08-31","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 633 - 5",126.6359,37.6636,"2",22.8,22.8,14,121,219,41,228,46,35,0,45,7,381,18,21,16,1878,202,179,36
2015,105759,"토지","행정재산","공공용재산","일반","대","대",1,24,7656000,7656000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-09-17","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 634 - 3",126.636,37.6634,"1",31.9,31.9,14,121,219,41,228,45,35,0,45,7,382,18,21,16,1876,202,179,36
2015,105760,"토지","행정재산","공공용재산","일반","전","전",1,295,67260000,67260000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-09-17","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 634 - 4",126.6359,37.6632,"1",22.8,22.8,14,121,220,41,228,45,35,0,45,7,381,19,22,16,1879,203,179,36
2015,105761,"토지","행정재산","공공용재산","일반","대","대",1,7,2261000,2261000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","1998-09-17","매입","","2008-01-17","","경기도 김포시 양촌읍 양곡리 638 - 4",126.6351,37.6627,"1",32.3,32.3,15,123,221,41,230,45,35,0,45,7,383,20,22,16,1898,203,179,36
2015,30784,"토지","행정재산","공공용재산","일반","전","전",1,282,3792230,3792230,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2005-06-09","매입","도로","2009-08-06","[토지분류코드:][관리대장코드:1628844]","경기도 김포시 통진읍 고정리 495 - 2",126.6031,37.7099,"1",1.34476241134752,1.34476241134752,4,54,40,18,21,17,30,0,13,5,84,14,15,28,762,33,29,15
2015,30785,"토지","행정재산","공공용재산","일반","임야","임야",1,2268,31561140,31561140,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2005-06-10","매입","도로","2007-07-18","[토지분류코드:][관리대장코드:1628845]","경기도 김포시 통진읍 고정리 495 - 3",126.603,37.7096,"4",1.39158465608466,1.39158465608466,4,54,40,18,21,17,30,0,13,5,84,14,15,27,763,33,29,15
2015,145763,"토지","행정재산","공공용재산","일반","답","답",1,995,90047000,90047000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2008-05-09","매입","서암~고정간 도로확포장","2010-01-21","","경기도 김포시 통진읍 서암리 597 - 2",126.6105,37.6936,"3",9.04994974874372,9.04994974874372,6,77,67,20,37,19,40,0,24,7,167,14,9,28,1059,53,49,18
2015,146756,"토지","행정재산","공공용재산","일반","답","답",1,8,712000,712000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2008-05-19","매입","고정~서암간도로확포장","2010-01-21","","경기도 김포시 통진읍 서암리 597 - 3",126.6108,37.6934,"1",8.9,8.9,6,76,67,20,37,19,40,0,25,7,167,14,9,28,1057,53,49,18
2015,169126,"토지","행정재산","공공용재산","일반","답","답",1,10,297000,297000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2008-05-30","누락재산등록","도로","2011-09-08","","경기도 김포시 통진읍 고정리 944 - 3",126.602,37.711,"1",2.97,2.97,4,53,40,18,21,17,30,0,13,4,83,14,16,28,758,32,29,15
2015,184461,"토지","행정재산","공공용재산","일반","답","답",1,48,12695710,12710710,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2013-12-03","매입","도로토지(고정리 944-5)","2014-01-06","","경기도 김포시 통진읍 고정리 944 - 5",126.6019,37.711,"1",26.4493958333333,26.4806458333333,4,53,40,18,21,17,30,0,13,4,83,14,16,28,758,32,29,15
2015,105481,"토지","행정재산","공공용재산","일반","답","답",1,117,9851400,9851400,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2004-08-03","매입","","2008-01-17","","경기도 김포시 고촌읍 향산리 130 - 1",126.7373,37.6214,"1",8.42,8.42,14,155,290,40,474,92,44,1,82,33,479,43,61,29,2925,365,255,89
2015,105482,"토지","행정재산","공공용재산","일반","하천","하천",1,1311,110386200,110386200,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2004-08-03","매입","","2008-01-17","","경기도 김포시 고촌읍 향산리 130 - 3",126.737,37.6214,"4",8.42,8.42,13,146,291,41,466,91,44,1,76,33,469,43,61,29,2854,351,248,87
2015,105483,"토지","행정재산","공공용재산","일반","하천","하천",1,968,81505600,81505600,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2004-07-01","매입","","2008-01-17","","경기도 김포시 고촌읍 향산리 132 - 7",126.7381,37.6211,"3",8.42,8.42,14,163,285,39,495,95,44,1,88,33,483,45,59,31,2997,382,281,96
2015,183957,"토지","행정재산","공공용재산","일반","임야","임야",1,907,89974400,89974400,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2012-07-27","누락재산등록","도로","2013-12-11","","경기도 김포시 고촌읍 풍곡리 97 - 2",126.7658,37.6193,"3",9.92,9.92,11,226,239,36,694,130,45,8,131,40,607,44,43,44,4267,655,339,117
2015,143923,"토지","행정재산","공공용재산","일반","답","답",1,63,19898400,19898400,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2008-10-24","매입","향산리 선형개량공사","2010-01-21","","경기도 김포시 고촌읍 전호리 72 - 5",126.7939,37.6014,"1",31.5847619047619,31.5847619047619,14,233,325,51,553,110,45,17,134,16,670,51,43,59,3708,464,333,152
2015,143924,"토지","행정재산","공공용재산","일반","답","답",1,83,26198400,26198400,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2008-10-24","매입","향산리 선형개량공사","2010-01-21","","경기도 김포시 고촌읍 전호리 72 - 6",126.7941,37.6013,"1",31.5643373493976,31.5643373493976,14,234,325,51,555,111,45,17,136,16,670,51,43,59,3703,464,340,153
2015,105465,"토지","행정재산","공공용재산","일반","답","답",1,98,13916000,13916000,"경기도 건설국 도로정책과","","경기도 김포시 안전건설국 건설도로과","2006-07-13","매입","","2008-01-17","","경기도 김포시 고촌읍 전호리 73 - 5",126.7943,37.6012,"1",14.2,14.2,14,234,325,51,563,113,44,17,136,16,672,51,44,59,3706,463,344,152
