"asset_ID","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,122349,"토지","행정재산","공공용재산","일반","하천","하천",1,301,124614000,124614000,"경기도 건설국 하천과","","경기도 과천시 안전총괄담당관","2007-06-04","매입","","2008-01-17","","경기도 과천시 과천동  46 - 4",127.0049,37.4527,127.0049,37.4527,"2",41.4,41.4,26,498,319,70,1272,433,48,22,342,168,1600,142,83,111,8001,1566,948,298
2015,155192,"토지","행정재산","공공용재산","일반","하천","하천",1,793,211840000,211840000,"경기도 건설국 하천과","","경기도 과천시 안전총괄담당관","2008-10-02","누락재산등록","하천","2010-06-14","","경기도 과천시 과천동  47 - 1",127.0052,37.4528,127.0052,37.4528,"3",26.7137452711223,26.7137452711223,26,498,322,70,1278,435,48,22,344,169,1609,142,83,112,8065,1575,954,300
2015,122350,"토지","행정재산","공공용재산","일반","하천","하천",1,1470,596820000,596820000,"경기도 건설국 하천과","","경기도 과천시 안전총괄담당관","2007-06-04","매입","","2008-01-17","","경기도 과천시 과천동  47 - 3",127.0052,37.4528,127.0052,37.4528,"4",40.6,40.6,26,498,322,70,1278,435,48,22,344,169,1609,142,83,112,8065,1575,954,300
2015,155194,"토지","행정재산","공공용재산","일반","하천","하천",1,903,411316000,411316000,"경기도 건설국 하천과","","경기도 과천시 안전총괄담당관","2008-09-22","누락재산등록","하천","2010-06-14","","경기도 과천시 과천동  48 - 8",127.0065,37.4527,127.0065,37.4527,"3",45.5499446290144,45.5499446290144,25,496,321,69,1276,437,49,22,343,169,1610,144,83,113,8017,1571,952,301
2015,155197,"토지","행정재산","공공용재산","일반","하천","하천",1,80,37280000,37280000,"경기도 건설국 하천과","","경기도 과천시 안전총괄담당관","2008-05-07","누락재산등록","하천","2010-06-14","","경기도 과천시 과천동  49 - 6",127.0072,37.4532,127.0072,37.4532,"1",46.6,46.6,25,508,327,71,1303,441,50,22,351,170,1645,146,83,116,8185,1601,971,302
2015,155196,"토지","행정재산","공공용재산","일반","하천","하천",1,12,5334000,5334000,"경기도 건설국 하천과","","경기도 과천시 안전총괄담당관","2008-04-22","누락재산등록","하천","2010-06-14","","경기도 과천시 과천동  49 - 7",127.0072,37.4532,127.0072,37.4532,"1",44.45,44.45,25,508,327,71,1303,441,50,22,351,170,1645,146,83,116,8185,1601,971,302
2015,179947,"토지","행정재산","공공용재산","일반","전","답",1,21,13576500,13576500,"경기도 건설국 하천과","","경기도 과천시 안전총괄담당관","2012-06-12","누락재산등록","하천","2013-04-02","","경기도 과천시 과천동  75 - 9",127.0128,37.4552,127.0128,37.4552,"1",64.65,64.65,25,556,343,69,1513,461,51,25,394,176,1882,155,82,131,8995,1819,1139,323
2015,189590,"토지","행정재산","공공용재산","일반","전","답",1,1658,1099254000,1099254000,"경기도 건설국 하천과","","경기도 과천시 건설과","2014-01-14","매입","하천","2015-03-31","","경기도 과천시 과천동  75 - 10",127.012,37.4553,127.012,37.4553,"4",66.3,66.3,25,559,348,71,1518,464,51,25,396,181,1892,155,82,134,9051,1825,1147,328
2015,179948,"토지","행정재산","공공용재산","일반","전","답",1,29,17791500,17791500,"경기도 건설국 하천과","","경기도 과천시 안전총괄담당관","2012-06-13","누락재산등록","하천","2013-04-02","","경기도 과천시 과천동  75 - 12",127.0118,37.4551,127.0118,37.4551,"1",61.35,61.35,25,554,348,71,1498,464,51,25,394,179,1872,154,83,130,8959,1809,1131,325
2015,55014,"토지","일반재산","미등록","일반","답","답",1,501,168837000,95190000,"경기도 자치행정국 회계과","","경기도 과천시 회계과","1994-10-28","매입","폐도부지","2009-11-04","[토지분류코드:GC002][관리대장코드:100042]","경기도 과천시 과천동  87 - 7",127.0143,37.4531,127.0143,37.4531,"3",33.7,19,24,495,311,66,1296,435,50,21,359,159,1683,143,79,120,8128,1619,991,297
2015,55051,"토지","행정재산","공공용재산","일반","하천","하천",1,797,266198000,266198000,"경기도 건설국 하천과","","경기도 과천시 안전총괄담당관","2005-02-22","매입","하  천","2007-07-18","[토지분류코드:][관리대장코드:1652138]","경기도 과천시 과천동  46 - 3",127.0049,37.4527,127.0049,37.4527,"3",33.4,33.4,26,498,319,70,1272,433,48,22,342,168,1600,142,83,111,8001,1566,948,298
2015,155191,"토지","행정재산","공공용재산","일반","하천","하천",1,704,289037000,289037000,"경기도 건설국 하천과","","경기도 과천시 안전총괄담당관","2008-10-02","누락재산등록","하천","2010-06-14","","경기도 과천시 과천동  46 - 2",127.0049,37.4527,127.0049,37.4527,"3",41.0563920454545,41.0563920454545,26,498,319,70,1272,433,48,22,342,168,1600,142,83,111,8001,1566,948,298
