"asset_ID","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,189311,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,75.01,9e+07,9e+07,"경기도 경기도수자원본부","경기도 경기도수자원본부 수질정책과","","2014-05-12","매입","본부장 관사","2015-03-03","","경기도 광주시 퇴촌면 도수리 564 - 3",127.317,37.4737,"1",119.984002133049,119.984002133049,2,7,15,3,7,7,6,0,1,7,32,4,38,34,227,40,6,5
2015,160451,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,84.98,1.3e+08,1.3e+08,"경기도 재난안전본부 소방행정과","경기도 광주소방서","","2010-01-15","매입","광주소방서 관사","2011-04-11","","경기도 광주시 초월읍 대쌍령리 61 - 1",127.2937,37.3858,"1",152.977171099082,152.977171099082,8,119,186,23,174,69,24,0,38,12,315,9,158,36,1475,125,121,41
2015,161830,"입목죽","행정재산","공용재산","산","미등록","미등록",1,0,120730000,120730000,"경기도 축산산림국 공원녹지과","","","2010-10-25","매입","남한산성도립공원내 소나무림","2011-06-02","","경기도 광주시 중부면 산성리 15",127.1961,37.4781,"1",Inf,Inf,4,149,228,43,364,165,16,4,68,12,598,40,53,28,2574,253,272,110
2015,161869,"입목죽","행정재산","공용재산","일반","미등록","미등록",5,0,192500,192500,"경기도 경기도농업기술원","경기도 경기도농업기술원 버섯연구소","","2008-04-13","매입","옥매화","2011-06-02","","경기도 광주시 곤지암읍 삼리 430 - 8",127.3229,37.351,"1",Inf,Inf,4,60,72,8,43,38,24,0,15,7,137,5,189,42,597,36,39,16
2015,161870,"입목죽","행정재산","공용재산","일반","미등록","미등록",5,0,110000,110000,"경기도 경기도농업기술원","경기도 경기도농업기술원 버섯연구소","","2008-04-13","매입","목단","2011-06-02","","경기도 광주시 곤지암읍 삼리 430 - 8",127.3229,37.351,"1",Inf,Inf,4,60,72,8,43,38,24,0,15,7,137,5,189,42,597,36,39,16
2015,161871,"입목죽","행정재산","공용재산","일반","미등록","미등록",5,0,110000,110000,"경기도 경기도농업기술원","경기도 경기도농업기술원 버섯연구소","","2008-04-13","매입","수국","2011-06-02","","경기도 광주시 곤지암읍 삼리 430 - 8",127.3229,37.351,"1",Inf,Inf,4,60,72,8,43,38,24,0,15,7,137,5,189,42,597,36,39,16
2015,161872,"입목죽","행정재산","공용재산","일반","미등록","미등록",20,0,187000,187000,"경기도 경기도농업기술원","경기도 경기도농업기술원 버섯연구소","","2008-04-13","매입","조팝나무","2011-06-02","","경기도 광주시 곤지암읍 삼리 430 - 8",127.3229,37.351,"1",Inf,Inf,4,60,72,8,43,38,24,0,15,7,137,5,189,42,597,36,39,16
2015,161873,"입목죽","행정재산","공용재산","일반","미등록","미등록",15,0,1567500,1567500,"경기도 경기도농업기술원","경기도 경기도농업기술원 버섯연구소","","2008-04-13","매입","메타세콰이어","2011-06-02","","경기도 광주시 곤지암읍 삼리 430 - 8",127.3229,37.351,"1",Inf,Inf,4,60,72,8,43,38,24,0,15,7,137,5,189,42,597,36,39,16
2015,151584,"건물","행정재산","공용재산","산","미등록","미등록",1,9.48,2417000,2417000,"경기도 축산산림국 공원녹지과","","","2008-06-12","신축","13호 화장실(서문옆)","2010-02-23","","경기도 광주시 중부면 산성리 18 - 2",127.1765,37.4834,"1",25.4957805907173,25.4957805907173,8,314,437,78,780,252,39,14,137,22,1173,67,52,53,4698,593,488,191
2015,151582,"건물","행정재산","공용재산","산","미등록","미등록",1,38,9690000,9690000,"경기도 축산산림국 공원녹지과","","","2008-06-12","신축","8호 화장실(수어장대하단)","2010-02-23","","경기도 광주시 중부면 산성리 18 - 3",127.1763,37.4812,"1",25.5,25.5,7,314,459,77,799,275,35,14,141,24,1217,72,50,83,4881,601,500,200
2015,179538,"건물","행정재산","공공용재산","일반","미등록","미등록",1,34.02,165011470,165011470,"경기도 축산산림국 공원녹지과","","","2012-12-31","신축","공중화장실","2013-02-15","","경기도 광주시 중부면 산성리 25 - 3",127.198,37.4749,"1",485.042533803645,485.042533803645,3,142,223,43,353,179,14,4,64,11,549,35,53,30,2539,226,224,102
