"asset_ID","재산번호","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,190518,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,35.02,5e+07,5e+07,"경기도 경기도축산위생연구소","경기도 경기도축산위생연구소 동부지소","","2015-01-14","매입","동부지소 관사","2015-06-12","","경기도 이천시 중리동  211 - 8",127.4447,37.2785,127.4447,37.2785,"1",142.775556824672,142.775556824672,11,141,143,28,280,106,59,0,50,17,286,16,111,88,2177,172,142,58
2015,190519,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,59.76,1e+07,1e+08,"경기도 경기도축산위생연구소","경기도 경기도축산위생연구소 동부지소","","2015-01-14","매입","동부지소 관사","2015-06-12","","경기도 이천시 중리동  446 - 18",127.4393,37.2762,127.4393,37.2762,"1",16.7336010709505,167.336010709505,11,134,139,27,275,102,59,0,51,17,281,17,111,84,2040,165,141,59
2015,179609,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,84.95,1.8e+08,1.8e+08,"경기도 재난안전본부 소방행정과","경기도 이천소방서","","2012-02-24","누락재산등록","이천소방서 관사","2013-03-18","","경기도 이천시 증일동  82 - 7",127.4398,37.2663,127.4398,37.2663,"1",211.889346674514,211.889346674514,12,136,154,28,287,109,56,0,53,15,277,18,106,88,2185,179,142,60
2015,104543,"토지","행정재산","공공용재산","일반","답","답",1,616,9240000,9240000,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2005-02-28","매입","","2008-01-17","","경기도 이천시 율면 석산리 660 - 1",127.5376,37.0622,127.5376,37.0622,"3",1.5,1.5,2,4,4,4,1,2,6,0,5,0,7,2,61,2,60,4,2,2
2015,104544,"토지","행정재산","공공용재산","일반","답","답",1,12,180000,180000,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2005-02-28","매입","","2008-01-17","","경기도 이천시 율면 석산리 661 - 1",127.538,37.0627,127.538,37.0627,"1",1.5,1.5,2,4,4,4,1,1,6,0,5,0,7,2,60,2,60,4,2,2
2015,104545,"토지","행정재산","공공용재산","일반","답","답",1,320,4800000,4800000,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2005-03-05","매입","","2008-01-17","","경기도 이천시 율면 석산리 670 - 1",127.5372,37.0617,127.5372,37.0617,"2",1.5,1.5,2,4,4,4,1,2,6,0,5,0,7,2,61,2,62,4,2,2
2015,104546,"토지","행정재산","공공용재산","일반","답","답",1,22,330000,330000,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2004-11-09","매입","","2008-01-17","","경기도 이천시 율면 석산리 702 - 1",127.5368,37.0595,127.5368,37.0595,"1",1.5,1.5,1,4,4,4,0,2,4,0,4,0,7,2,66,2,53,1,2,1
2015,104547,"토지","행정재산","공공용재산","일반","답","답",1,576,8640000,8640000,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2004-11-09","매입","","2008-01-17","","경기도 이천시 율면 석산리 704 - 1",127.536,37.0576,127.536,37.0576,"3",1.5,1.5,1,4,4,5,0,3,4,0,4,0,8,3,70,2,54,1,2,1
2015,104451,"토지","행정재산","공공용재산","일반","답","답",1,690,10350000,10350000,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2004-12-02","매입","","2008-01-17","","경기도 이천시 율면 고당리 579 - 2",127.5365,37.0858,127.5365,37.0858,"3",1.5,1.5,2,5,7,6,2,0,11,0,3,0,9,2,44,5,66,4,1,2
2015,104452,"토지","행정재산","공공용재산","일반","답","답",1,74,1110000,1110000,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2004-11-09","매입","","2008-01-17","","경기도 이천시 율면 고당리 579 - 3",127.5367,37.0853,127.5367,37.0853,"1",1.5,1.5,2,5,7,6,2,0,11,0,3,0,9,2,43,5,66,4,1,2
2015,104453,"토지","행정재산","공공용재산","일반","답","답",1,36,540000,540000,"경기도 건설국 도로정책과","","경기도 이천시 지역개발국 건설과","2004-09-13","매입","","2008-01-17","","경기도 이천시 율면 고당리 585 - 1",127.5397,37.0843,127.5397,37.0843,"1",1.5,1.5,2,5,7,6,1,0,11,0,3,0,9,2,44,5,63,4,1,2
2015,104497,"토지","행정재산","공공용재산","일반","제방","제방",1,239,1104180,1104180,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2005-06-07","매입","","2008-01-17","","경기도 이천시 율면 산양리 30 - 1",127.5355,37.0537,127.5355,37.0537,"1",0.462,0.462,1,7,4,5,2,6,6,0,6,0,11,3,72,4,98,2,5,4
2015,104498,"토지","행정재산","공공용재산","일반","하천","하천",1,337,1556940,1556940,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2005-06-07","매입","","2008-01-17","","경기도 이천시 율면 산양리 30 - 3",127.5357,37.0539,127.5357,37.0539,"2",0.462,0.462,1,7,4,5,1,4,6,0,6,0,11,3,72,3,95,2,5,4
2015,104500,"토지","행정재산","공공용재산","일반","제방","제방",1,94,651420,651420,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2006-01-06","매입","","2008-01-17","","경기도 이천시 율면 산양리 32 - 4",127.5351,37.0531,127.5351,37.0531,"1",0.693,0.693,1,7,4,5,2,6,6,0,6,0,11,3,72,4,112,5,5,4
2015,104501,"토지","행정재산","공공용재산","일반","답","답",1,11,50820,50820,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2004-11-09","매입","","2008-01-17","","경기도 이천시 율면 산양리 32 - 5",127.5349,37.0528,127.5349,37.0528,"1",0.462,0.462,1,7,5,6,2,6,6,0,6,0,12,3,71,4,124,7,5,4
2015,154684,"토지","행정재산","공공용재산","일반","임야","임야",1,331,19074860,19074860,"경기도 건설국 도로정책과","","경기도 이천시 지역개발국 건설과","2010-02-18","매입","경기도 이천시 율면 산양리 일반번지 238-5번지","2010-06-01","","경기도 이천시 율면 산양리 238 - 5",127.5302,37.0559,127.5302,37.0559,"2",5.76279758308157,5.76279758308157,1,7,5,6,4,7,7,0,6,0,12,3,68,6,126,6,4,4
2015,104517,"토지","행정재산","공공용재산","일반","답","답",1,34,714000,714000,"경기도 건설국 하천과","","경기도 이천시 지역개발국 건설과","2006-01-06","매입","","2008-01-17","","경기도 이천시 율면 산양리 908 - 1",127.535,37.0533,127.535,37.0533,"1",2.1,2.1,1,7,4,5,2,6,6,0,6,0,11,3,72,4,111,5,5,4
