"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,179472,"토지","행정재산","공공용재산","일반","답","답",1,982,90245800,90245800,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 은행동  524 - 199",126.8046,37.426,"3",9.19,9.19,11,116,221,46,332,60,60,1,38,14,451,19,64,30,2499,159,150,63
2015,183502,"토지","행정재산","공공용재산","일반","답","답",1,645,58050000,58050000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-19","누락재산등록","하천","2013-11-27","","경기도 시흥시 은행동  524 - 200",126.8049,37.4255,"3",9,9,11,115,219,46,338,60,59,1,38,14,455,17,60,30,2507,158,152,64
2015,187575,"토지","행정재산","공공용재산","일반","답","답",1,410,38499000,38499000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-02-20","누락재산등록","하천","2014-11-04","","경기도 시흥시 은행동  524 - 201",126.8051,37.4248,"2",9.39,9.39,10,112,218,43,326,62,59,1,39,14,452,17,58,30,2479,155,146,63
2015,142211,"토지","행정재산","공공용재산","일반","대","대",1,39,32136000,32136000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2007-10-18","매입","누락재산 일괄등록","2009-10-27","","경기도 시흥시 미산동  484 - 38",126.7891,37.4085,"1",82.4,82.4,14,148,300,47,441,101,43,4,59,10,489,31,55,82,3115,212,189,83
2015,183501,"토지","행정재산","공공용재산","일반","답","답",1,352,31996800,31996800,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-15","누락재산등록","하천","2013-11-27","","경기도 시흥시 은행동  524 - 198",126.8047,37.427,"2",9.09,9.09,10,120,229,46,350,56,59,1,42,14,472,17,64,30,2513,165,158,65
2015,183500,"토지","행정재산","공공용재산","일반","답","답",1,220,19800000,19800000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-15","누락재산등록","하천","2013-11-27","","경기도 시흥시 은행동  524 - 197",126.8049,37.4273,"1",9,9,10,120,231,46,349,55,59,1,42,14,473,17,64,30,2509,166,157,65
2015,179475,"토지","행정재산","공공용재산","일반","답","답",1,101,9191000,9191000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 은행동  524 - 192",126.8043,37.428,"1",9.1,9.1,12,123,236,47,381,57,58,1,43,15,482,17,65,31,2566,173,166,69
2015,142235,"토지","행정재산","공공용재산","일반","답","답",1,391,53371000,53371000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2007-10-18","매입","누락재산 일괄등록","2009-10-27","","경기도 시흥시 미산동  484 - 39",126.7896,37.4088,"2",13.6498721227621,13.6498721227621,14,146,294,46,422,98,43,2,57,10,482,30,55,82,3042,206,184,81
2015,142213,"토지","행정재산","공공용재산","일반","답","답",1,71,9692000,9692000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2007-10-18","매입","누락재산 일괄등록","2009-10-27","","경기도 시흥시 미산동  484 - 40",126.7892,37.4086,"1",13.6507042253521,13.6507042253521,14,148,298,47,440,99,43,2,60,10,486,31,55,82,3101,209,189,82
2015,187574,"토지","행정재산","공공용재산","일반","답","답",1,179,16306900,16306900,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2014-03-07","누락재산등록","하천","2014-11-04","","경기도 시흥시 은행동  210 - 12",126.8043,37.4298,"1",9.11,9.11,12,128,249,51,401,63,57,1,47,15,506,18,67,31,2702,185,176,72
2015,183971,"토지","행정재산","공공용재산","일반","답","답",1,168,26376000,26376000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-06-05","매입","하천","2013-12-11","","경기도 시흥시 은행동  215 - 15",126.8042,37.4296,"1",15.7,15.7,12,128,247,51,399,62,57,1,47,15,499,18,65,31,2703,183,175,72
2015,179479,"토지","행정재산","공공용재산","일반","답","답",1,308,27442800,27442800,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-02-01","","경기도 시흥시 은행동  215 - 16",126.8039,37.4291,"2",8.91,8.91,13,127,246,50,397,60,56,1,47,15,498,18,65,31,2667,180,175,71
2015,179478,"토지","행정재산","공공용재산","일반","답","답",1,177,15930000,15930000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 은행동  215 - 17",126.8039,37.4288,"1",9,9,13,127,244,50,397,60,56,1,47,15,495,18,65,31,2648,178,174,71
2015,183970,"토지","행정재산","공공용재산","일반","답","답",1,125,19625000,19625000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-05-28","매입","하천","2013-12-11","","경기도 시흥시 은행동  215 - 18",126.8041,37.4295,"1",15.7,15.7,12,128,246,51,398,62,57,1,48,15,498,18,65,31,2694,185,175,72
2015,183499,"토지","행정재산","공공용재산","일반","답","답",1,278,24519600,24519600,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2013-04-15","누락재산등록","하천","2013-11-27","","경기도 시흥시 은행동  215 - 19",126.804,37.4293,"1",8.82,8.82,13,128,247,50,398,61,56,1,48,15,498,18,65,31,2680,183,175,72
2015,179477,"토지","행정재산","공공용재산","일반","답","답",1,182,16380000,16380000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 은행동  216 - 7",126.804,37.4287,"1",9,9,13,127,242,50,394,59,56,1,47,15,490,18,65,31,2638,177,174,71
2015,179476,"토지","행정재산","공공용재산","일반","답","답",1,284,25844000,25844000,"경기도 건설국 하천과","","경기도 시흥시 환경국 하수관리과","2012-05-16","누락재산등록","하천","2013-01-31","","경기도 시흥시 은행동  217 - 83",126.804,37.4285,"1",9.1,9.1,13,124,239,49,392,59,56,1,46,15,489,18,65,31,2619,177,174,71
2015,189597,"토지","행정재산","공공용재산","일반","답","답",1,14,2184000,2184000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-25","매입","하천","2015-03-31","","경기도 시흥시 은행동  524 - 121",126.805,37.4246,"1",15.6,15.6,10,114,219,43,328,63,59,1,39,14,451,17,59,30,2477,154,146,63
2015,189595,"토지","행정재산","공공용재산","일반","답","답",1,1503,234468000,234468000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-25","매입","하천","2015-03-31","","경기도 시흥시 은행동  524 - 202",126.8052,37.4239,"4",15.6,15.6,10,113,217,41,325,63,59,1,38,14,445,17,60,30,2450,154,144,62
2015,189567,"토지","행정재산","공공용재산","일반","답","답",1,155,24180000,24180000,"경기도 건설국 하천과","","경기도 시흥시 환경국","2014-02-20","매입","하천","2015-03-31","","경기도 시흥시 은행동  524 - 203",126.805,37.4241,"1",15.6,15.6,10,113,220,41,327,63,59,1,38,14,448,17,59,30,2458,154,145,63
