"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,187305,"토지","행정재산","공공용재산","일반","답","답",1,323,35207000,35207000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","2014-03-25","분할취득","도로","2008-02-04","무상귀속대상('06.11.21,도로과-2686)","경기도 수원시 권선구 호매실동  1337 - 68",126.9492,37.2708,"2",10.9,10.9,17,201,462,76,710,145,62,7,114,22,622,30,114,120,3841,469,325,141
2015,187296,"토지","행정재산","공공용재산","일반","전","전",1,1012,110308000,110308000,"경기도 건설국 하천과","","경기도 수원시 환경국 하수관리과","2014-03-25","분할취득","도로","2008-02-04","무상귀속대상('06.11.21,도로과-2686)","경기도 수원시 권선구 호매실동  1337 - 69",126.9492,37.2706,"4",10.9,10.9,17,201,460,75,706,145,61,7,114,22,622,30,112,120,3830,468,321,141
2015,184682,"토지","행정재산","공공용재산","일반","하천","하천",1,1870.55,193081800,194599700,"경기도 건설국 하천과","","경기도 수원시 환경국 하수관리과","2013-12-31","매입","경기도 수원시권선구 곡반정동  일반번지 93-1번지","2014-03-03","","경기도 수원시 권선구 곡반정동  93 - 1",127.0396,37.2459,"4",10.3221940071102,10.4033412632648,47,638,1089,143,1780,418,104,11,360,67,1964,121,90,414,11466,1458,1018,388
2015,400,"토지","행정재산","공공용재산","일반","전","전",1,61,25620000,25620000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","1995-07-01","매입","도로","2007-08-06","[토지분류코드:GA201][관리대장코드:1600071]","경기도 수원시 권선구 곡반정동  97 - 7",127.04,37.2447,"1",42,42,46,634,1112,146,1762,410,102,11,360,65,1942,118,88,406,11322,1431,993,381
2015,181488,"토지","행정재산","공공용재산","일반","전","전",1,4,1680000,1680000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","2012-05-16","분할취득","도로","2007-08-06","[토지분류코드:GA201][관리대장코드:1600071]","경기도 수원시 권선구 곡반정동  97 - 10",127.04,37.2447,"1",42,42,46,634,1112,146,1762,410,102,11,360,65,1942,118,88,406,11322,1431,993,381
2015,403,"토지","행정재산","공공용재산","일반","전","전",1,2,276000,840000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","1995-07-01","매입","도로","2007-08-06","[토지분류코드:GA201][관리대장코드:1600074]","경기도 수원시 권선구 곡반정동  98 - 8",127.0399,37.2448,"1",13.8,42,46,635,1105,147,1762,410,103,11,359,65,1948,118,88,406,11349,1436,1000,385
2015,181490,"토지","행정재산","공공용재산","일반","전","전",1,38,5244000,15960000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","2012-05-16","분할취득","도로","2007-08-06","[토지분류코드:GA201][관리대장코드:1600074]","경기도 수원시 권선구 곡반정동  98 - 21",127.0398,37.2447,"1",13.8,42,46,634,1111,146,1764,410,103,11,360,65,1944,118,88,406,11347,1434,1000,384
2015,97812,"토지","행정재산","공공용재산","일반","전","전",1,4,696000,696000,"경기도 건설국 도로정책과","","경기도 수원시 교통건설국 도로과","1996-08-08","매입","","2008-01-17","","경기도 수원시 권선구 곡반정동  99 - 12",127.0398,37.2447,"1",17.4,17.4,46,634,1111,146,1764,410,103,11,360,65,1944,118,88,406,11347,1434,1000,384
2015,224,"토지","행정재산","공용재산","일반","대","대",1,6659.6,5614042800,5614042800,"경기도 재난안전본부 소방행정과","경기도 수원남부소방서","","1996-12-19","매입","남부소방서","2007-12-10","[토지분류코드:GA108][관리대장코드:2000057]","경기도 수원시 권선구 권선동  1237",127.0364,37.2545,"4",84.3,84.3,41,663,1034,150,1744,456,120,10,379,76,2033,130,98,473,12076,1517,1031,399
2015,185791,"토지","행정재산","공공용재산","일반","답","답",1,28,5478640,5723900,"경기도 건설국 하천과","","경기도 수원시 환경국 하수관리과","2014-02-18","매입","경기도 수원시권선구 장지동 일반번지 561-3번지","2014-06-12","","경기도 수원시 권선구 장지동  561 - 3",126.9987,37.231,"1",19.5665714285714,20.4425,27,390,663,87,897,275,96,9,211,40,1207,71,68,314,7111,701,519,220
2015,185789,"토지","행정재산","공공용재산","일반","답","답",1,215,42068190,42949620,"경기도 건설국 하천과","","경기도 수원시 환경국 하수관리과","2014-02-18","매입","경기도 수원시권선구 장지동 일반번지 562-6번지","2014-06-12","","경기도 수원시 권선구 장지동  562 - 6",126.9995,37.2307,"1",19.5666,19.9765674418605,27,390,683,86,917,273,97,9,212,41,1212,71,69,314,7119,707,522,221
2015,185788,"토지","행정재산","공공용재산","일반","답","답",1,647,126595900,133788890,"경기도 건설국 하천과","","경기도 수원시 환경국 하수관리과","2014-02-18","매입","경기도 수원시권선구 장지동 일반번지 562-7번지","2014-06-12","","경기도 수원시 권선구 장지동  562 - 7",126.9996,37.2306,"3",19.566599690881,20.6783446676971,28,391,684,86,919,273,97,9,212,40,1213,61,69,314,7116,706,523,221
2015,185792,"토지","행정재산","공공용재산","일반","답","답",1,1667,326175220,341155300,"경기도 건설국 하천과","","경기도 수원시 환경국 하수관리과","2014-02-18","매입","경기도 수원시권선구 장지동 일반번지 563-3번지","2014-06-12","","경기도 수원시 권선구 장지동  563 - 3",126.9991,37.2307,"4",19.566599880024,20.465224955009,27,390,672,86,912,274,97,9,212,40,1209,62,69,313,7099,701,521,220
2015,188312,"토지","행정재산","공공용재산","일반","답","답",1,1132,253779000,264253010,"경기도 건설국 하천과","","경기도 수원시 환경국 하수관리과","2014-02-05","매입","경기도 수원시 권선구 장지동  일반번지 600-3번지","2014-12-18","","경기도 수원시 권선구 장지동  600 - 3",126.9998,37.2296,"4",22.4186395759717,23.3439054770318,28,379,684,87,904,262,97,9,208,40,1196,53,69,303,6956,690,512,217
