"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,190524,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,84.58,1.3e+08,1.3e+08,"경기도 북부소방재난본부 소방행정기획과","경기도 북부소방재난본부 소방행정기획과","","2015-03-31","매입","생활관 임차","2015-06-15","","경기도 의정부시 의정부동  288",127.0392,37.7301,"1",153.700638448806,153.700638448806,16,321,599,68,699,202,55,25,160,18,711,57,44,184,5879,476,435,174
2015,190525,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,84.58,1.3e+08,1.3e+08,"경기도 북부소방재난본부 소방행정기획과","경기도 북부소방재난본부 소방행정기획과","","2015-04-10","매입","생활관 임차","2015-06-15","","경기도 의정부시 의정부동  288",127.0392,37.7301,"1",153.700638448806,153.700638448806,16,321,599,68,699,202,55,25,160,18,711,57,44,184,5879,476,435,174
2015,145856,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,1289.8,776730000,776730000,"경기도 재난안전본부 소방행정과","경기도 제2소방재난본부 소방행정기획과","","2006-07-10","매입","제2소방재난본부 사무실","2009-03-20","","경기도 의정부시 의정부동  587",127.0444,37.7315,"4",60.2209644906187,60.2209644906187,17,327,616,70,711,202,54,25,166,21,732,57,45,182,6033,507,449,175
2015,145858,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,59.43,1e+08,1e+08,"경기도 재난안전본부 소방행정과","경기도 제2소방재난본부 소방행정기획과","","2008-08-11","매입","제2소방재난본부 생활관","2009-03-20","","경기도 의정부시 호원동  347 - 1",127.045,37.7297,"1",168.26518593303,168.26518593303,17,329,629,71,720,202,54,25,168,21,748,57,47,185,6078,508,452,177
2015,188760,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,59.59,1.4e+08,1.4e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-12-18","매입","호원동 삼익1차 104-902","2015-01-05","","경기도 의정부시 호원동  351 - 1",127.042,37.7311,"1",234.938748112099,234.938748112099,16,326,615,70,710,202,54,25,162,18,718,57,48,184,5910,483,444,175
2015,188763,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,59.59,1.45e+08,1.45e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-12-17","매입","호원동 삼익1차 105-1903","2015-01-05","","경기도 의정부시 호원동  351 - 1",127.042,37.7311,"1",243.329417687531,243.329417687531,16,326,615,70,710,202,54,25,162,18,718,57,48,184,5910,483,444,175
2015,190526,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,59.9,1.3e+08,1.3e+08,"경기도 북부소방재난본부 소방행정기획과","경기도 북부소방재난본부 소방행정기획과","","2015-06-09","매입","우남아파트","2015-06-15","","경기도 의정부시 호원동  422",127.0508,37.7259,"1",217.028380634391,217.028380634391,18,339,649,77,736,202,59,24,173,22,774,58,56,189,6244,526,465,183
2015,188755,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,79.33,1.5e+08,1.5e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-12-24","매입","호원동 한주4차 501-712","2015-01-05","","경기도 의정부시 호원동  432 - 9",127.0481,37.7215,"1",189.083574940124,189.083574940124,17,343,667,76,746,211,54,26,176,23,785,64,56,191,6220,528,485,190
2015,188247,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,59.92,1.5e+08,1.5e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-10-13","매입","장암동아A 108-602","2014-12-15","","경기도 의정부시 장암동  20",127.0538,37.7252,"1",250.333778371162,250.333778371162,18,342,655,77,741,202,58,24,174,22,787,58,55,190,6270,531,468,184
2015,188774,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,84.97,1.4e+08,1.4e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-10-10","매입","장암동아A 104-201","2015-01-05","","경기도 의정부시 장암동  20",127.0538,37.7252,"1",164.76403436507,164.76403436507,18,342,655,77,741,202,58,24,174,22,787,58,55,190,6270,531,468,184
2015,188770,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,59.79,1.35e+08,1.35e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-11-27","매입","신명아파트 109-1301","2015-01-05","","경기도 의정부시 신곡동  98",127.063,37.7436,"1",225.790265930758,225.790265930758,18,335,625,74,722,200,58,23,171,21,766,61,44,179,6104,521,455,177
2015,188233,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,82.14,1.45e+08,1.45e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-12-04","매입","생활관 임차","2014-12-15","","경기도 의정부시 신곡동  108 - 14",127.0658,37.745,"1",176.527879230582,176.527879230582,19,332,627,74,722,200,58,22,171,21,768,61,44,179,6080,520,455,177
2015,188764,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,79.33,1.25e+08,1.25e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-12-16","매입","신곡동 대우아파트 106-1001","2015-01-05","","경기도 의정부시 신곡동  167 - 1",127.0722,37.7384,"1",157.569645783436,157.569645783436,19,339,635,74,734,200,55,23,170,21,767,59,45,184,6136,523,456,178
2015,188767,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,59.95,6500000,1.3e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-12-12","매입","신곡동 대우A 102-1103","2015-01-05","","경기도 의정부시 신곡동  167 - 1",127.0722,37.7384,"1",10.8423686405338,216.847372810676,19,339,635,74,734,200,55,23,170,21,767,59,45,184,6136,523,456,178
2015,188250,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,72.63,1.4e+08,1.4e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-10-02","매입","신곡동 471 건영아파트 105동 1061호","2014-12-15","","경기도 의정부시 신곡동  471",127.0623,37.7398,"1",192.757813575657,192.757813575657,18,332,621,74,718,195,56,23,169,20,760,59,44,180,6059,515,454,177
2015,188252,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,72.63,1.4e+08,1.4e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-09-19","매입","신곡동 471 건영아파트 105동 201호","2014-12-15","","경기도 의정부시 신곡동  471",127.0623,37.7398,"1",192.757813575657,192.757813575657,18,332,621,74,718,195,56,23,169,20,760,59,44,180,6059,515,454,177
2015,188765,"용익물권","행정재산","공용재산","일반","미등록","미등록",1,59.91,1.25e+08,1.25e+08,"경기도 균형발전기획실 행정관리담당관","","","2014-12-16","매입","신곡동 성원아파트102-1905","2015-01-05","","경기도 의정부시 신곡동  473 - 2",127.06,37.7395,"1",208.646302787515,208.646302787515,18,330,618,73,718,195,55,23,169,20,758,59,44,180,6029,514,453,176
