"Asset_ID","Land_size","Land_value","longitude","latitude","Land_Value_bySize","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9","cluster"
187305,323,35207000,126.9492,37.2708,10.9,17,201,462,76,710,145,62,7,114,22,622,30,114,120,3841,469,325,141,4
187296,1012,110308000,126.9492,37.2706,10.9,17,201,460,75,706,145,61,7,114,22,622,30,112,120,3830,468,321,141,4
184682,1870.55,193081800,127.0396,37.2459,10.3221940071102,47,638,1089,143,1780,418,104,11,360,67,1964,121,90,414,11466,1458,1018,388,2
400,61,25620000,127.04,37.2447,42,46,634,1112,146,1762,410,102,11,360,65,1942,118,88,406,11322,1431,993,381,2
181488,4,1680000,127.04,37.2447,42,46,634,1112,146,1762,410,102,11,360,65,1942,118,88,406,11322,1431,993,381,2
403,2,276000,127.0399,37.2448,13.8,46,635,1105,147,1762,410,103,11,359,65,1948,118,88,406,11349,1436,1000,385,2
181490,38,5244000,127.0398,37.2447,13.8,46,634,1111,146,1764,410,103,11,360,65,1944,118,88,406,11347,1434,1000,384,2
97812,4,696000,127.0398,37.2447,17.4,46,634,1111,146,1764,410,103,11,360,65,1944,118,88,406,11347,1434,1000,384,2
224,6659.6,5614042800,127.0364,37.2545,84.3,41,663,1034,150,1744,456,120,10,379,76,2033,130,98,473,12076,1517,1031,399,2
185791,28,5478640,126.9987,37.231,19.5665714285714,27,390,663,87,897,275,96,9,211,40,1207,71,68,314,7111,701,519,220,1
185789,215,42068190,126.9995,37.2307,19.5666,27,390,683,86,917,273,97,9,212,41,1212,71,69,314,7119,707,522,221,1
185788,647,126595900,126.9996,37.2306,19.566599690881,28,391,684,86,919,273,97,9,212,40,1213,61,69,314,7116,706,523,221,1
185792,1667,326175220,126.9991,37.2307,19.566599880024,27,390,672,86,912,274,97,9,212,40,1209,62,69,313,7099,701,521,220,1
188312,1132,253779000,126.9998,37.2296,22.4186395759717,28,379,684,87,904,262,97,9,208,40,1196,53,69,303,6956,690,512,217,1
188311,236,52628000,127.0001,37.2296,22.3,28,382,689,88,922,262,98,9,208,40,1198,53,69,305,6979,691,515,218,1
188310,1151,258016000,127.0003,37.2295,22.4166811468288,28,384,691,88,921,262,97,9,209,40,1196,53,70,305,6980,693,515,218,1
188309,61,13359000,127.0005,37.2292,21.9,28,383,690,88,920,258,97,9,209,38,1194,51,70,302,6951,693,513,219,1
190072,1795,403971930,126.9988,37.2296,22.5054,28,373,673,86,868,259,97,9,203,39,1169,52,66,298,6866,668,494,210,1
185922,37,8103000,126.9983,37.2295,21.9,27,372,657,84,864,254,97,9,202,37,1158,51,67,287,6773,657,484,207,1
186000,1646,367058000,126.9977,37.2298,22.3,26,374,646,84,857,256,96,9,204,35,1157,52,66,288,6769,656,486,210,1
160937,78,6786000,127.0232,37.2285,8.7,42,491,961,107,1319,287,98,12,266,45,1565,51,74,300,8680,957,704,265,1
160936,189,16443000,127.0232,37.2286,8.7,41,491,964,107,1324,287,97,12,266,45,1568,51,74,302,8706,959,704,265,2
160935,120,10440000,127.0232,37.2287,8.7,41,494,966,107,1330,288,98,12,266,45,1574,51,74,304,8724,965,706,269,2
908,9258,440680800,126.9596,37.301,4.76,21,288,647,99,939,195,75,5,124,34,953,63,109,134,5189,553,441,202,1
172880,1222,100570600,126.9589,37.3007,8.23,22,284,637,99,923,192,76,5,121,33,949,61,110,118,5115,551,436,200,3
166416,1243,102298900,126.9599,37.3008,8.23,21,293,644,99,945,200,76,5,126,34,956,64,109,140,5209,562,441,205,3
614,2,180000,126.9608,37.3012,9,21,293,647,100,951,204,76,5,126,34,970,66,108,147,5286,567,443,206,1
166403,27,3591000,126.9608,37.3011,13.3,21,293,645,100,948,205,76,5,126,34,970,66,108,147,5288,566,443,206,3
166404,66,8910000,126.9609,37.3013,13.5,21,293,648,101,952,204,76,5,126,34,971,66,108,147,5295,567,443,206,3
187304,90,9810000,126.9494,37.271,10.9,17,204,470,76,724,148,62,7,114,22,632,31,114,121,3883,473,327,143,4
461,1310,142790000,126.9492,37.271,10.9,17,201,467,76,715,145,62,7,114,22,626,30,115,121,3856,471,326,141,4
187300,1745,190205000,126.9493,37.2714,10.9,17,205,472,76,732,149,62,7,114,22,636,30,115,121,3894,472,327,143,4
166179,49,3993500,126.9483,37.261,8.15,16,182,424,57,526,115,63,7,95,13,546,31,99,103,3426,380,271,128,4
186423,129,10513500,126.9481,37.261,8.15,16,181,421,57,511,114,63,7,94,13,544,30,100,97,3397,376,263,126,4
186425,141,11491500,126.9481,37.2611,8.15,16,181,421,57,517,114,63,7,94,13,543,30,99,97,3403,379,265,127,4
186427,120,9780000,126.9481,37.2609,8.15,16,181,419,56,512,114,63,7,93,13,544,30,100,97,3399,373,265,127,4
187335,87,7090500,126.9482,37.2612,8.15,16,182,422,57,529,115,63,7,97,13,547,31,99,101,3422,389,273,126,4
1019,3402,277263000,126.9488,37.2617,8.15,17,187,435,55,553,117,64,7,98,13,567,31,98,107,3548,407,277,127,4
1020,7,1008000,126.95,37.2617,14.4,17,200,455,58,596,123,64,7,103,15,609,32,96,117,3722,434,299,133,4
704,94,8366000,126.9523,37.2954,8.9,22,244,576,88,854,152,71,5,106,31,842,46,116,77,4478,483,372,173,3
705,1035,92632500,126.952,37.2948,8.95,22,242,576,88,853,152,70,5,106,29,835,44,118,76,4419,464,368,170,3
707,53,4743500,126.9515,37.2951,8.95,22,240,569,87,851,151,70,5,104,27,824,43,117,73,4389,461,363,167,3
708,337,30161500,126.9515,37.2951,8.95,22,240,569,87,851,151,70,5,104,27,824,43,117,73,4389,461,363,167,3
709,440,39380000,126.9518,37.2951,8.95,22,242,573,88,851,151,70,5,105,29,830,44,116,74,4411,464,365,168,3
710,481,43049500,126.9507,37.2945,8.95,22,230,562,87,846,150,69,5,102,27,801,42,118,68,4303,454,358,167,3
711,570,51015000,126.9506,37.2944,8.95,22,229,557,86,845,150,69,5,102,27,800,42,118,66,4282,451,358,167,3
712,829,74195500,126.9504,37.2943,8.95,21,228,557,87,837,148,68,5,102,27,792,42,118,66,4253,447,352,164,3
713,97,8681500,126.9499,37.2944,8.95,21,228,551,86,823,147,68,5,100,27,773,42,119,64,4187,449,340,153,3
1021,12,1728000,126.9496,37.2614,14.4,17,191,445,58,574,120,64,7,104,15,584,31,96,115,3647,427,288,131,4
1022,680,97929000,126.9495,37.2614,14.4013235294118,17,191,445,58,574,120,63,7,104,14,581,31,96,114,3637,426,288,131,4
1023,120,17280000,126.9498,37.2614,14.4,17,193,447,58,584,123,64,7,104,15,588,31,96,116,3684,430,290,132,4
1024,279,40176000,126.9499,37.2613,14.4,17,194,449,58,585,123,64,7,104,15,591,31,96,117,3684,429,293,133,4
1025,122,17568000,126.9502,37.2617,14.4,17,202,456,58,599,123,65,7,103,15,613,32,96,117,3741,437,299,133,4
464,142,15478000,126.9494,37.2718,10.9,18,205,475,77,739,149,63,7,115,22,652,32,116,123,3933,476,331,144,4
187298,753,82077000,126.9494,37.2716,10.9,17,205,474,77,735,149,62,7,115,22,648,32,117,123,3922,474,329,144,4
801,129,2167200,126.9545,37.2926,1.68,24,267,596,92,896,175,74,4,128,36,892,51,118,121,4776,530,420,195,3
32,1072,96480000,127.0073,37.2832,9,42,647,1046,160,1795,475,117,11,357,91,2054,151,69,504,12248,1441,1050,440,2
48,14504,4742808000,127.0074,37.2813,32.7,42,658,1055,161,1803,482,119,11,358,87,2072,152,68,504,12364,1463,1051,441,2
20,24,1132800,127.0078,37.2809,4.72,43,660,1056,161,1803,482,119,11,360,87,2081,151,68,504,12372,1466,1053,443,2
21,281,42431000,127.0069,37.2831,15.1,42,650,1046,160,1800,476,117,11,356,91,2057,152,68,503,12247,1437,1047,440,2
49,2113,1941847000,127.0068,37.2825,91.9,42,652,1048,160,1799,478,119,11,356,91,2063,152,67,504,12292,1450,1051,440,2
782,671,7917800,126.957,37.293,1.18,23,288,600,93,928,193,73,5,134,38,924,60,115,184,5344,606,456,203,3
783,251,2961800,126.9561,37.2931,1.18,23,282,600,93,907,184,75,5,130,38,916,60,115,153,5074,566,439,204,3
784,115,1932000,126.9562,37.2931,1.68,23,283,601,93,907,185,74,5,130,38,914,60,115,154,5094,570,443,204,3
785,124,2083200,126.9567,37.293,1.68,23,288,604,93,919,187,73,5,133,38,921,60,116,168,5250,586,454,206,3
786,170,2006000,126.9576,37.2922,1.18,22,298,605,95,954,203,74,5,143,39,939,84,118,203,5574,626,466,209,3
787,1094,18379200,126.9569,37.2922,1.68,23,286,607,94,925,197,74,5,137,38,921,79,118,179,5415,614,457,203,3
788,26,436800,126.9576,37.292,1.68,22,298,607,95,957,205,75,5,144,39,943,85,118,206,5588,627,467,209,1
789,294,4939200,126.9565,37.2922,1.68,23,286,606,94,920,189,74,5,133,38,918,60,119,170,5338,602,455,205,3
790,1821,21487800,126.957,37.2923,1.18,23,287,606,94,926,197,74,5,139,38,923,79,118,182,5440,615,457,203,3
791,265,3127000,126.9572,37.2921,1.18,22,292,606,94,940,200,74,5,142,38,933,81,117,191,5496,618,462,206,3
792,269,3174200,126.9559,37.2931,1.18,24,281,599,93,907,184,74,5,130,37,914,60,115,148,5014,558,437,200,3
795,705,82659000,126.9561,37.2924,11.7246808510638,23,287,605,94,918,187,73,5,133,38,924,60,117,160,5206,584,453,207,3
793,542,6395600,126.9557,37.2923,1.18,24,282,602,94,904,185,72,5,130,38,913,52,116,152,5084,569,440,201,3
794,376,4436800,126.9558,37.2924,1.18,23,282,602,94,906,185,72,5,130,38,914,58,116,154,5103,575,441,202,3
796,536,9004800,126.9554,37.2925,1.68,24,279,599,92,903,182,73,5,129,37,903,52,116,144,4981,554,429,197,3
798,21,352800,126.9551,37.2932,1.68,24,271,597,93,902,179,74,4,130,37,899,52,115,125,4838,533,427,196,3
799,1295,21759000,126.9549,37.2925,1.68023166023166,24,272,596,93,901,179,74,5,129,36,899,52,118,131,4876,542,426,196,3
800,357,5997600,126.955,37.2924,1.68,24,274,597,93,901,179,74,5,129,37,897,52,117,133,4906,546,427,196,3
97865,564.4,251158000,127.0597,37.2692,44.5,40,645,1067,155,1844,457,106,12,389,77,1963,127,109,441,11429,1492,1063,394,2
97866,1749.3,778438500,127.0598,37.2692,44.5,40,646,1067,154,1843,457,106,12,389,77,1960,127,109,439,11431,1489,1063,394,2
183833,44123.4,44123400,127.065,37.2718,0.1,38,609,1057,155,1866,443,105,15,390,78,1884,122,107,342,10937,1459,1088,396,2
81,951,662847000,127.0481,37.2939,69.7,32,576,1007,155,1851,407,89,8,348,71,1909,142,87,433,10539,1336,1010,403,2
83,385,276391500,127.0484,37.2944,71.79,31,568,994,154,1797,403,89,8,339,71,1886,140,89,423,10385,1313,986,396,2
115,781,377483330,127.0442,37.2951,48.3333329065301,32,593,1010,159,1842,416,86,8,344,72,1942,142,92,466,11007,1383,1039,416,2
116,1123,549823800,127.0439,37.295,48.960267141585,33,593,1012,159,1847,417,86,8,346,74,1950,142,92,467,11033,1387,1040,416,2
