"category","name","longitude","latitude","address","SW8","dist_nearestRV","MT1","CS2","PS3","SC4","AC5","PK6","OL7","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"public","경찰관서",126.9965885,37.297788,"경기도 수원시 장안구 정자동 873-4번지",0,1.18,0,11,19,3,135,11,2,8,1,15,6,2,0,247,26,33,10
"public","경찰관서",127.0334451,37.2941531,"경기도 수원시 장안구 연무동 11-2번지",0,0.81,0,7,10,3,15,6,4,2,3,18,3,1,0,72,7,11,6
"public","경찰관서",127.0540236,37.2720438,"경기도 수원시 영통구 매탄동 1196번지",0,0.6,0,7,20,5,32,6,2,1,2,43,15,1,1,123,17,11,7
"public","경찰관서",126.9723444,37.2585174,"경기도 수원시 권선구 탑동 911번지",0,1.65,0,0,2,1,0,7,1,1,0,0,4,0,0,13,3,0,0
"public","지구대",127.009536,37.2957877,"경기도 수원시 장안구 조원동 680-6번지",0,2.17,0,16,14,1,19,15,3,5,0,65,3,1,23,229,15,23,12
"public","지구대",126.9879468,37.3103114,"경기도 수원시 장안구 파장동 566-14번지 노송지구대",0,0.56,0,6,10,2,28,4,4,4,3,28,2,0,5,114,12,13,2
"public","지구대",126.9931162,37.2867051,"경기도 수원시 팔달구 화서동 647-1번지",1,0.68,0,6,13,4,26,3,1,1,2,15,2,1,0,103,14,8,3
"public","지구대",127.0529953,37.2686023,"경기도 수원시 영통구 매탄동 1213-2번지",0,0.27,0,6,25,6,47,2,1,3,1,36,3,1,0,116,14,12,6
"public","지구대",126.9713094,37.2806825,"경기도 수원시 권선구 구운동 938번지",0,1.42,3,13,13,1,19,1,1,5,0,31,2,0,18,211,20,3,5
"public","지구대",127.0298887,37.2517966,"경기도 수원시 권선구 권선동 1268번지",1,1.04,2,5,38,5,50,5,2,10,0,30,2,0,0,206,16,30,10
"public","지구대",127.0377502,37.2630124,"경기도 수원시 팔달구 인계동 1117번지 매탄지구대",1,1.17,1,11,17,3,25,10,0,23,12,36,1,2,20,297,57,63,13
"public","지구대",127.0777734,37.2547674,"경기도 수원시 영통구 영통동 1046-2번지 영통지구대",2,2.21,1,20,19,2,145,11,1,12,0,41,3,1,18,513,82,54,12
"public","지구대",126.999838,37.266072,"경기도 수원시 팔달구 매산로1가 18번지 매산지구대",2,1.14,1,19,14,1,57,17,0,20,4,38,2,1,59,600,105,41,15
