"category","longitude","latitude","SW8","PNU","PNILP","PAREA","JIMOK","SPFC1","SPFC2","LAND_USE","GEO_HL","GEO_FORM","ROAD_SIDE","MT1","CS2","PS3","SC4","AC5","PK6","OL7","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"culture",127.1420107,37.6017309,1,4131010300106760192,6980000,1271,8,16,0,210,2,3,2,1,63,85,8,175,38,4,30,5,234,7,3,81,1877,151,155,61
"culture",127.1368228,37.4427213,3,4113110200134929920,2989000,131.6,8,22,0,240,2,3,7,1,105,117,10,240,96,5,43,2,358,23,1,173,1984,140,207,87
"culture",126.855876,37.2932909,0,4127110300113419776,271300,15853.7,23,43,0,940,2,7,2,2,50,83,8,147,14,2,27,3,162,4,0,5,604,38,59,27
"culture",126.9312261,37.3848588,1,4117110100105500160,2153000,5797.4,8,13,0,160,2,2,5,0,35,34,5,33,51,6,23,11,101,11,0,53,545,54,22,9
"culture",126.997,37.3722482,0,4143010700200659968,26400,23771,5,44,0,720,3,7,8,0,0,0,0,0,0,0,0,0,1,0,7,0,74,6,1,0
"culture",127.0418498,37.7344559,5,4115010100105600000,1764000,1255.5,8,14,0,330,2,4,7,2,88,68,6,123,49,7,50,8,165,15,4,99,1704,151,116,35
"culture",127.0512687,37.7391824,5,4115010100101479936,4960000,1079.3,8,22,0,210,2,4,5,3,97,71,8,145,49,4,49,6,188,15,5,160,2118,203,163,52
"culture",127.0394574,37.7370154,6,4115010100105120256,2395000,2384.7,8,14,0,210,2,7,5,2,84,49,5,86,52,6,47,8,149,17,3,99,1528,140,108,32
"culture",127.0352883,37.7503777,2,4115011000106039808,2613000,1590.3,8,14,0,210,2,2,5,1,38,68,11,95,30,3,26,0,142,12,1,4,910,53,48,26
"culture",127.0518808,37.7384073,5,4115010100101259776,4035000,123,8,22,0,210,2,7,5,3,93,69,8,158,51,5,48,5,185,15,5,160,2142,201,161,50
"culture",127.0450726,37.7362657,6,4115010100104990208,2950000,297.6,8,22,0,210,2,4,5,3,102,62,9,126,54,8,57,8,186,14,5,147,2096,197,166,48
"culture",127.0325773,37.7526489,0,4115011000103529984,1817000,1878,8,14,0,210,2,4,5,2,31,56,12,84,26,2,17,0,103,12,1,2,562,32,21,13
"culture",127.0435413,37.7366266,7,4.115010100105e+18,4150000,396.7,8,22,0,210,2,1,2,3,98,51,7,124,61,8,57,9,186,16,5,133,2046,195,161,50
"culture",127.2300307,37.5799761,1,4136025022106189824,723400,330,8,44,0,160,2,7,8,1,3,27,2,42,3,2,1,1,22,0,0,2,117,15,9,4
"culture",127.1683672,37.5899271,0,4136010800103209984,765600,1394,8,44,13,160,2,8,10,0,0,0,0,1,4,2,0,2,2,0,3,1,70,12,0,0
"culture",127.3385033,37.5919204,0,4136036025102720000,460400,18,9,64,0,160,2,7,8,0,1,0,0,0,3,1,0,3,1,0,2,6,32,10,0,0
"culture",127.3005864,37.5159607,0,4136036021100270080,496300,3565,8,44,0,160,2,7,8,0,1,0,0,0,1,0,0,2,0,0,8,1,16,3,0,0
"culture",127.1805868,37.592649,0,4136010800100029952,745900,2058,8,44,0,160,3,8,8,0,0,0,0,0,0,2,0,1,1,0,0,0,41,11,0,0
"culture",127.6569227,37.3007733,0,4167012000102969856,313200,4311,8,43,0,240,2,7,8,0,6,1,0,1,6,4,1,6,8,0,30,17,78,15,0,1
"culture",127.2822312,37.5673164,0,4136036023105269760,282800,535,1,44,0,530,3,7,8,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0
"culture",127.3239198,37.6504393,0,4136025627102459904,33000,7445,28,64,0,850,3,7,8,1,4,5,1,3,0,4,1,2,12,0,3,2,29,2,0,0
"culture",127.3512979,37.6327316,0,4136025625105710080,746400,888,8,64,62,210,2,4,6,0,1,0,0,0,0,2,0,3,6,0,1,22,54,10,0,0
"culture",127.6479081,37.2778741,0,4167011900102819840,59800,5461,2,64,0,530,3,7,6,0,1,3,0,0,2,1,0,1,9,0,6,0,13,1,0,0
"culture",127.321562,37.444562,0,4161034029100649984,277200,1515,8,64,0,110,2,7,9,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0
"culture",126.5387635,37.6506247,0,4157034032102240256,294500,856,8,64,0,210,3,7,8,0,0,0,0,0,1,0,0,3,0,0,0,1,5,1,0,0
"culture",126.9992125,37.423901,1,4129010200102260224,2272000,368,8,44,0,160,2,5,6,2,14,29,4,94,20,1,16,7,79,7,0,4,322,63,52,20
"culture",126.760857,37.5961949,0,4157025324108930048,514800,812,8,43,0,110,2,7,10,2,3,16,2,5,1,0,3,2,19,2,5,0,34,4,5,2
"culture",127.186713,37.224031,0,4146110400105549824,673200,392696,10,43,0,160,3,7,2,1,12,1,1,0,13,0,7,3,4,1,3,0,53,12,1,0
"culture",127.168284,37.226722,0,4146110300104699904,619700,146618,10,43,0,160,3,7,4,0,1,0,1,0,5,0,6,2,0,0,3,0,10,3,0,0
"culture",127.268622,37.414001,0,4161010200100069888,518700,1091,8,43,42,160,3,7,4,1,17,17,4,20,22,1,10,3,30,2,2,10,197,20,15,2
"culture",127.271245,37.383788,0,4161025321104470016,256100,990,8,64,0,110,3,7,8,0,0,2,1,1,1,0,0,1,0,0,6,0,2,2,0,0
"culture",127.119696,37.262171,1,4146310500100349952,170000,5421,24,43,0,840,2,7,5,1,4,16,3,26,3,2,4,8,9,0,8,2,84,13,8,5
"culture",127.193861,37.294586,0,4146125026200119808,30000,18248,5,43,0,840,4,7,4,0,1,1,0,0,7,0,0,4,0,0,13,2,82,5,0,0
"culture",127.157071,37.273997,1,4146311600108619776,270600,127568,22,43,0,930,3,7,1,3,18,59,5,167,3,2,18,4,79,3,1,1,433,64,59,12
"culture",127.363518,37.141902,0,4146135029103889920,147800,7490,9,64,0,430,3,7,8,0,0,0,0,0,0,1,0,1,0,0,3,0,3,1,0,0
"culture",127.090374,37.277819,0,4146311100100550144,1000000,10014,8,43,0,160,2,7,5,0,4,10,2,7,2,8,2,2,13,0,2,0,35,5,1,2
"culture",127.277021,37.189385,0,4146111000101539840,472500,496,8,64,0,210,2,4,6,0,0,0,0,0,0,0,0,1,0,0,6,1,7,1,0,0
"culture",127.131941,37.309165,0,4146311300100729856,787200,453,8,13,0,310,3,7,8,0,7,10,1,5,12,0,3,1,14,0,2,1,55,6,7,3
"culture",127.090374,37.277819,0,4146311100100550144,1000000,10014,8,43,0,160,2,7,5,0,4,10,2,7,2,8,2,2,13,0,2,0,35,5,1,2
"culture",127.192921,37.331711,0,4146131026102629888,385000,1932,8,43,0,110,3,7,8,0,1,1,0,0,1,0,0,1,1,0,4,0,11,0,0,0
"culture",127.231844,37.184602,0,4146133027107239936,212700,2990,8,71,0,160,2,7,6,0,0,1,0,0,1,0,0,1,0,0,11,2,16,2,0,0
"culture",127.054415,37.2403,1,4113510800104990208,841500,4891.2,22,11,0,930,2,7,2,5,33,81,10,175,20,2,21,2,109,5,6,3,468,67,84,28
"culture",126.8242434,36.7374098,0,4129010600100969984,2427000,958,8,43,0,160,3,7,6,1,2,2,1,0,0,1,0,0,0,3,4,0,9,0,0,0
"culture",127.0286591,37.4528804,0,4129010600101839872,1972000,4258,22,13,0,330,2,7,7,0,4,6,1,3,3,0,0,2,3,0,6,0,20,6,2,0
"culture",127.019961,37.4310373,0,4129010400200580096,458000,7343,5,44,0,840,3,7,1,0,6,0,0,0,7,0,1,7,0,1,13,4,35,8,1,0
"culture",127.295545,37.175593,0,4146134022108830208,166400,499,8,64,0,160,3,7,8,0,0,0,1,0,5,0,0,1,1,0,4,2,8,0,0,0
"culture",126.9159323,37.4176732,1,4117110200102119936,1470000,6461,8,13,0,160,2,4,7,0,23,40,2,41,29,4,13,1,78,5,3,18,383,50,22,14
"culture",126.9027933,37.3791442,0,4117110100111260160,793200,2340,8,41,0,160,3,4,8,0,0,7,1,2,5,0,0,2,4,0,4,1,35,4,2,1
"culture",126.952762,37.212412,0,4159025321100140032,559600,212,10,43,0,160,3,7,6,2,13,38,6,58,14,3,11,4,25,2,6,1,250,32,31,12
"culture",127.1029188,37.8411442,0,4163011300102989824,401700,9126,8,64,0,160,2,4,8,0,2,1,0,0,0,2,0,1,1,0,2,1,12,0,0,0
"culture",126.979276,37.205527,0,4159025326100009984,421900,652,8,43,0,160,2,4,8,0,13,4,2,5,21,5,2,4,17,0,4,3,170,18,1,0
"culture",126.896056,37.856998,0,4148025622101389824,155200,3417,8,64,0,160,3,7,8,0,0,0,0,0,0,1,1,1,0,0,1,7,9,1,0,0
"culture",126.711447,37.784882,0,4148032022102419968,218700,3455,8,64,0,160,3,7,8,0,6,0,0,0,6,2,1,11,3,0,2,5,24,10,1,0
"culture",126.697861,37.787355,0,4148032022116520448,775000,848.2,8,64,0,230,2,4,6,1,6,0,0,7,22,4,2,66,8,0,6,18,123,94,0,0
"culture",126.700892,37.789929,0,4148032022116520448,730000,933.8,8,64,0,210,2,4,8,0,4,0,0,7,21,1,1,66,4,0,6,17,62,90,1,0
"culture",126.695187,37.790875,0,4148032022116519936,849700,464.5,8,64,0,210,2,4,2,0,6,0,0,7,21,3,2,66,9,0,5,25,166,104,0,0
