"data_category","SW8","PNILP","PAREA","JIMOK","SPFC1","LAND_USE","GEO_HL","GEO_FORM","ROAD_SIDE"
"public",0,-0.112192361707232,0.08032567951831,"8","16","220","2","1","5"
"public",3,1.74627115879744,-0.0175134773891301,"8","16","240","3","2","3"
"public",0,0.026128396498268,0.0556077694653353,"8","14","160","3","7","5"
"public",0,-0.263990527122499,0.256630320761786,"8","14","330","2","4","2"
"public",0,-0.942826248161801,0.160479501333335,"17","43","220","2","7","4"
"public",1,-0.349820330932066,-0.0308545902759911,"8","14","220","2","7","6"
"public",2,0.87520505071357,0.177333654897632,"8","21","220","3","7","5"
"public",1,-0.53041758754294,-0.0376826166573659,"8","14","160","2","3","5"
"public",0,-0.781381096533228,0.57571311707942,"8","42","160","2","2","4"
"public",0,-1.22012035481664,-0.197383108155549,"5","44","720","3","7","12"
"public",1,-0.587590167601214,-0.214461291116096,"8","43","160","4","7","5"
"public",1,1.02913122779354,0.381934182928403,"8","22","160","2","2","2"
"public",0,-0.575389567390267,-0.00796463022430688,"8","22","240","2","7","6"
"public",1,0.0906780836608348,0.117225593842763,"8","14","160","2","2","2"
"public",0,-0.917006373296775,-0.108972666707696,"8","13","160","2","4","5"
"public",7,0.0892594092177015,0.104095523140775,"8","22","160","2","4","3"
"public",2,2.46553910146604,0.181304494776102,"8","21","240","2","2","2"
"public",0,0.435415973342236,0.307767465558102,"8","14","330","2","2","2"
"public",0,-0.3746471336869,-0.0515691924220543,"2","14","220","2","7","4"
"public",0,-0.271083899338166,0.52899162415123,"8","44","160","2","7","3"
"public",1,-0.61873007162799,0.567401301798241,"8","43","240","2","4","4"
"public",0,-0.985457415177958,0.589771773394851,"8","43","160","2","4","6"
"public",2,3.43874976945551,-0.00963024008338689,"8","22","220","2","1","2"
"public",1,5.08724947237645,0.0756892450567774,"8","22","240","2","4","2"
"public",0,-0.934456068947315,0.12616079527003,"8","43","160","3","7","8"
"public",1,0.824842107982337,0.166869209330742,"8","22","240","2","4","2"
"public",2,5.06596935572945,-0.0104224599773742,"8","21","240","2","2","2"
"public",0,0.392855740048236,0.144713026721849,"8","14","220","2","4","2"
"public",1,-0.118576396701332,0.138699947854371,"8","13","240","3","2","2"
"public",1,3.06634772813301,0.09352717988287,"8","21","240","2","1","5"
"public",0,-0.151915246114966,0.0681274412326111,"8","14","220","2","4","2"
"public",0,-0.4469995302867,0.312657150641483,"8","13","220","2","4","4"
"public",0,-1.02213014953295,0.0525882428202195,"9","64","410","3","7","6"
"public",0,0.392146402826669,-0.186701126798096,"9","32","410","2","4","5"
"public",0,-0.955594318150001,0.0443088955674826,"8","13","160","2","7","4"
"public",1,0.640414430375003,-0.0986543272687953,"8","14","240","2","7","2"
"public",2,3.15359620638571,-0.164574165414802,"8","22","210","2","2","5"
"public",0,0.485778916073469,0.041971197519651,"8","14","160","2","4","2"
"public",0,-0.756838028667021,0.00343164775887207,"8","64","240","2","7","6"
"public",0,-0.858202317628898,-0.0477379650658859,"8","44","990","3","7","6"
"public",2,0.194241318009568,-0.0956737622578101,"8","14","160","2","4","2"
"public",0,-0.909132730137385,0.0400555838415668,"8","43","160","2","7","8"
