"","sido","sigungu","total","grade1","grade2","grade2","out_A","out_B","out_C"
"1","서울시"," 총계",35814,9764,8995,12996,2290,1071,698
"2","서울시","종로구",662,190,150,239,48,24,11
"3","서울시","중구",571,131,151,211,47,17,14
"4","서울시","용산구",848,258,242,294,32,12,10
"5","서울시","성동구",966,267,270,373,35,15,6
"6","서울시","광진구",1083,318,267,388,56,29,25
"7","서울시","동대문구",1318,319,318,464,96,63,58
"8","서울시","중랑구",1715,387,350,655,204,91,28
"9","서울시","성북구",1893,503,501,670,135,64,20
"10","서울시","강북구",1299,308,294,526,84,46,41
"11","서울시","도봉구",1386,443,350,460,86,21,26
"12","서울시","노원구",2909,760,612,1099,215,116,107
"13","서울시","은평구",1777,512,478,570,118,76,23
"14","서울시","서대문구",1346,353,365,432,91,87,18
"15","서울시","마포구",1370,376,368,535,49,27,15
"16","서울시","양천구",1635,438,369,675,106,27,20
"17","서울시","강서구",2334,591,503,882,192,100,66
"18","서울시","구로구",1231,373,294,448,67,24,25
"19","서울시","금천구",919,178,295,349,59,31,7
"20","서울시","영등포구",1218,328,327,459,50,40,14
"21","서울시","동작구",1447,471,406,494,55,10,11
"22","서울시","관악구",1410,401,387,519,61,24,18
"23","서울시","서초구",1302,366,302,476,84,27,47
"24","서울시","강남구",1772,504,465,594,133,36,40
"25","서울시","송파구",1995,617,579,664,94,19,22
"26","서울시","강동구",1408,372,352,520,93,45,26
"27","부산시"," 총계",15836,3186,3549,6334,1537,783,447
"28","부산시","중구",277,48,75,111,26,16,1
"29","부산시","서구",915,194,200,388,63,53,17
"30","부산시","동구",662,95,144,300,79,25,19
"31","부산시","영도구",896,138,213,378,102,36,29
"32","부산시","부산진구",1654,302,379,724,135,67,47
"33","부산시","동래구",1170,243,253,454,142,61,17
"34","부산시","남구",1007,218,295,441,37,12,4
"35","부산시","북구",1251,222,254,554,124,61,36
"36","부산시","해운대구",1863,377,409,768,182,101,26
"37","부산시","사하구",1519,368,326,502,201,117,5
"38","부산시","금정구",1314,270,217,481,172,72,102
"39","부산시","강서구",266,56,57,99,33,13,8
"40","부산시","연제구",829,161,187,306,86,51,38
"41","부산시","수영구",637,154,183,258,22,13,7
"42","부산시","사상구",944,222,201,352,76,55,38
"43","부산시","기장군",632,118,156,218,57,30,53
"44","대구시"," 총계",11123,2596,2478,4289,901,539,320
"45","대구시","중구",617,122,112,230,72,30,51
"46","대구시","동구",1862,445,410,755,140,84,28
"47","대구시","서구",944,183,198,332,113,52,66
"48","대구시","남구",1056,276,228,363,92,82,15
"49","대구시","북구",1755,382,457,607,142,107,60
"50","대구시","수성구",1996,465,462,809,155,84,21
"51","대구시","달서구",1995,474,451,856,113,63,38
"52","대구시","달성군",898,249,160,337,74,37,41
"53","인천시"," 총계",12379,2987,3174,4440,980,466,332
"54","인천시","중구",432,127,113,171,16,1,4
"55","인천시","동구",465,101,112,224,15,7,6
"56","인천시","남구",1786,450,454,634,140,75,33
"57","인천시","연수구",1188,278,301,420,110,45,34
"58","인천시","남동구",1928,438,510,727,142,45,66
"59","인천시","부평구",2477,701,718,890,103,46,19
"60","인천시","계양구",1348,322,306,468,156,45,51
"61","인천시","서구",1329,358,418,474,61,14,4
"62","인천시","강화군",1065,188,205,282,171,168,51
"63","인천시","옹진군",361,24,37,150,66,20,64
"64","광주시"," 총계",8388,1540,1757,3599,840,407,245
"65","광주시","동구",953,129,173,444,128,53,26
"66","광주시","서구",1771,334,430,729,161,64,53
