"","대상자구분","계","X1등급","X2등급","X3등급","등급외","center"
"1","합계",2.197,"329","429",961,"478","수원동부운영센터"
"2","읷반",1.766,"283","375",772,"336","수원동부운영센터"
"3","기초수급",326,"29","27",135,"135","수원동부운영센터"
"4","의료급여",22,"5","4",8,"5","수원동부운영센터"
"5","경감",83,"12","23",46,"2","수원동부운영센터"
"6","합계",2.756,"504","521",1.261,"470","성남남부운영센터"
"7","읷반",2.169,"435","440",979,"315","성남남부운영센터"
"8","기초수급",458,"41","56",218,"143","성남남부운영센터"
"9","의료급여",21,"4","3",5,"9","성남남부운영센터"
"10","경감",108,"24","22",59,"3","성남남부운영센터"
"11","합계",4.043,"371","777",1.921,"974","의정부운영센터"
"12","읷반",2.975,"284","577",1.434,"680","의정부운영센터"
"13","기초수급",755,"56","124",302,"273","의정부운영센터"
"14","의료급여",41,"3","8",22,"8","의정부운영센터"
"15","경감",272,"28","68",163,"13","의정부운영센터"
"16","합계",1.935,"234","401",941,"359","안양동안운영센터"
"17","읷반",1.639,"200","348",798,"293","안양동안운영센터"
"18","기초수급",178,"18","22",77,"61","안양동안운영센터"
"19","의료급여",22,"1","3",14,"4","안양동안운영센터"
"20","경감",96,"15","28",52,"1","안양동안운영센터"
"21","합계",6.135,"634","1,125",3.045,"1,331","부천북부 운영센터"
"22","읷반",4.708,"493","909",2.372,"934","부천북부 운영센터"
"23","기초수급",956,"90","110",386,"370","부천북부 운영센터"
"24","의료급여",69,"3","8",42,"16","부천북부 운영센터"
"25","경감",402,"48","98",245,"11","부천북부 운영센터"
"26","합계",2.003,"217","338",968,"480","광명 운영센터 "
"27","읷반",1.495,"170","271",725,"329","광명 운영센터 "
"28","기초수급",359,"27","39",155,"138","광명 운영센터 "
"29","의료급여",41,"4","11",18,"8","광명 운영센터 "
"30","경감",108,"16","17",70,"5","광명 운영센터 "
"31","합계",3.065,"258","530",1.355,"922","평택 운영센터"
"32","읷반",2.25,"196","413",999,"642","평택 운영센터"
"33","기초수급",623,"40","77",242,"264","평택 운영센터"
"34","의료급여",34,"4","6",11,"13","평택 운영센터"
"35","경감",158,"18","34",103,"3","평택 운영센터"
"36","합계",1.841,"292","313",902,"334","동두천 운영센터"
"37","읷반",1.241,"206","221",599,"215","동두천 운영센터"
"38","기초수급",425,"60","51",206,"108","동두천 운영센터"
"39","의료급여",26,"6","2",14,"4","동두천 운영센터"
"40","경감",149,"20","39",83,"7","동두천 운영센터"
"41","합계",847,"105","127",374,"241","연천 운영센터"
"42","읷반",485,"64","81",205,"135","연천 운영센터"
"43","기초수급",297,"29","37",132,"99","연천 운영센터"
"44","의료급여",10,"3","-",3,"4","연천 운영센터"
"45","경감",55,"9","9",34,"3","연천 운영센터"
"46","합계",4.828,"495","747",2.345,"1,241","안산 운영센터"
"47","읷반",3.494,"347","552",1.726,"869","안산 운영센터"
"48","기초수급",939,"81","112",401,"345","안산 운영센터"
"49","의료급여",44,"10","5",18,"11","안산 운영센터"
"50","경감",351,"57","78",200,"16","안산 운영센터"
"51","합계",8.164,"1,090","1,707",3.684,"1,683","고양 운영센터"
"52","읷반",6.553,"885","1,412",2.956,"1,300","고양 운영센터"
"53","기초수급",1.123,"125","174",478,"346","고양 운영센터"
"54","의료급여",71,"5","11",34,"21","고양 운영센터"
"55","경감",417,"75","110",216,"16","고양 운영센터"
"56","합계",452,"54","66",216,"116","과천 운영센터"
"57","읷반",341,"42","57",166,"76","과천 운영센터"
"58","기초수급",87,"8","8",32,"39","과천 운영센터"
"59","의료급여",2,"-","1",1,"","과천 운영센터"
"60","경감",22,"4","1",17,"-","과천 운영센터"
"61","합계",3.927,"510","793",1.736,"888","남양주 운영센터"
"62","읷반",3.05,"400","633",1.352,"665","남양주 운영센터"
"63","기초수급",599,"62","87",246,"204","남양주 운영센터"
"64","의료급여",46,"5","9",21,"11","남양주 운영센터"
"65","경감",232,"43","64",117,"8","남양주 운영센터"
"66","합계",1.339,"199","236",652,"252","가평 운영센터"
"67","읷반",633,"80","124",328,"101","가평 운영센터"
"68","기초수급",609,"110","93",259,"147","가평 운영센터"
"69","의료급여",12,"1","4",6,"1","가평 운영센터"
"70","경감",85,"8","15",59,"3","가평 운영센터"
"71","합계",962,"166","172",442,"182","오산 운영센터"
"72","읷반",740,"133","143",339,"125","오산 운영센터"
"73","기초수급",162,"25","19",63,"55","오산 운영센터"
"74","의료급여",13,"3","9",1,"","오산 운영센터"
"75","경감",47,"8","7",31,"1","오산 운영센터"
"76","합계",1.918,"201","374",779,"564","군포 운영센터"
"77","읷반",1.417,"166","311",633,"307","군포 운영센터"
"78","기초수급",379,"16","29",88,"246","군포 운영센터"
"79","의료급여",30,"3","4",12,"11","군포 운영센터"
"80","경감",92,"16","30",46,"-","군포 운영센터"
"81","합계",843,"126","189",352,"176","의왕 운영센터"
"82","읷반",726,"113","168",293,"152","의왕 운영센터"
"83","기초수급",71,"4","14",33,"20","의왕 운영센터"
"84","의료급여",8,"1","1",4,"2","의왕 운영센터"
"85","경감",38,"8","6",22,"2","의왕 운영센터"
"86","합계",1.237,"140","274",493,"330","하남 운영센터"
"87","읷반",919,"111","220",377,"211","하남 운영센터"
"88","기초수급",249,"20","36",82,"111","하남 운영센터"
"89","의료급여",7,"-","2",1,"4","하남 운영센터"
"90","경감",62,"9","16",33,"4","하남 운영센터"
"91","합계",5.547,"976","1,184",2.687,"700","용인 운영센터"
"92","읷반",4.769,"829","1,032",2.306,"602","용인 운영센터"
"93","기초수급",418,"73","63",199,"83","용인 운영센터"
"94","의료급여",55,"9","11",21,"14","용인 운영센터"
"95","경감",305,"65","78",161,"1","용인 운영센터"
"96","합계",3.482,"283","556",1.573,"1,070","파주 운영센터"
"97","읷반",2.518,"212","434",1.169,"703","파주 운영센터"
"98","기초수급",746,"53","79",264,"350","파주 운영센터"
"99","의료급여",32,"4","5",17,"6","파주 운영센터"
"100","경감",186,"14","38",123,"11","파주 운영센터"
"101","합계",2.037,"292","350",883,"512","이천 운영센터"
"102","읷반",1.486,"217","280",658,"331","이천 운영센터"
"103","기초수급",421,"51","41",154,"175","이천 운영센터"
"104","의료급여",10,"2","-",5,"3","이천 운영센터"
"105","경감",120,"22","29",66,"3","이천 운영센터"
"106","합계",1.847,"271","276",906,"394","김포 운영센터"
"107","읷반",1.429,"212","219",705,"293","김포 운영센터"
"108","기초수급",309,"40","38",132,"99","김포 운영센터"
"109","의료급여",16,"4","2",9,"1","김포 운영센터"
