"","V1","V2","V3","V4","V5","V6","V7","center"
"1","합계",3.556,2.025,293,491,1.241,635,"수원동부 운영센터"
"2","일반",2.693,1.686,249,425,1.012,394,"수원동부 운영센터"
"3","기초수급",683,198,30,32,136,224,"수원동부 운영센터"
"4","의료급여",44,21,3,6,12,10,"수원동부 운영센터"
"5","경감",136,120,11,28,81,7,"수원동부 운영센터"
"6","합계",4.174,2.578,456,558,1.564,534,"성남남부 운영센터"
"7","일반",3.286,2.126,390,485,1.251,365,"성남남부 운영센터"
"8","기초수급",705,314,46,45,223,153,"성남남부 운영센터"
"9","의료급여",38,11,2,2,7,10,"성남남부 운영센터"
"10","경감",145,127,18,26,83,6,"성남남부 운영센터"
"11","합계",5.628,3.356,298,638,2.42,1.217,"의정부 운영센터"
"12","일반",4.066,2.415,213,477,1.725,871,"의정부 운영센터"
"13","기초수급",1.135,574,50,104,420,313,"의정부 운영센터"
"14","의료급여",66,36,3,10,23,15,"의정부 운영센터"
"15","경감",361,331,32,47,252,18,"의정부 운영센터"
"16","합계",2.592,1.563,179,330,1.054,378,"안양동안 운영센터"
"17","일반",2.14,1.298,152,277,869,314,"안양동안 운영센터"
"18","기초수급",300,128,11,23,94,61,"안양동안 운영센터"
"19","의료급여",31,19,1,3,15,3,"안양동안 운영센터"
"20","경감",121,118,15,27,76,0,"안양동안 운영센터"
"21","합계",7.842,4.818,440,885,3.493,1.661,"부천북부 운영센터"
"22","일반",5.942,3.711,322,716,2.673,1.193,"부천북부 운영센터"
"23","기초수급",1.289,586,60,88,438,432,"부천북부 운영센터"
"24","의료급여",100,52,3,7,42,19,"부천북부 운영센터"
"25","경감",511,469,55,74,340,17,"부천북부 운영센터"
"26","합계",2.909,1.543,135,246,1.162,590,"광명 운영센터"
"27","일반",2.256,1.18,116,194,870,444,"광명 운영센터"
"28","기초수급",465,209,9,28,172,135,"광명 운영센터"
"29","의료급여",44,25,2,5,18,4,"광명 운영센터"
"30","경감",144,129,8,19,102,7,"광명 운영센터"
"31","합계",4.12,2.279,202,431,1.646,948,"평택 운영센터"
"32","일반",3.166,1.749,152,345,1.252,701,"평택 운영센터"
"33","기초수급",726,345,31,50,264,229,"평택 운영센터"
"34","의료급여",46,18,3,3,12,14,"평택 운영센터"
"35","경감",182,167,16,33,118,4,"평택 운영센터"
"36","합계",2.462,1.659,186,312,1.161,499,"동두천 운영센터"
"37","일반",1.714,1.142,122,232,788,349,"동두천 운영센터"
"38","기초수급",531,314,33,42,239,141,"동두천 운영센터"
"39","의료급여",27,23,5,3,15,2,"동두천 운영센터"
"40","경감",190,180,26,35,119,7,"동두천 운영센터"
"41","합계",966,572,58,83,431,247,"연천 운영센터"
"42","일반",589,336,30,57,249,153,"연천 운영센터"
"43","기초수급",315,182,22,17,143,86,"연천 운영센터"
"44","의료급여",14,9,1,0,8,5,"연천 운영센터"
"45","경감",48,45,5,9,31,3,"연천 운영센터"
"46","합계",6.8,3.362,369,610,2.383,1.525,"안산 운영센터"
"47","일반",5.014,2.459,256,466,1.737,1.115,"안산 운영센터"
"48","기초수급",1.328,533,68,79,386,369,"안산 운영센터"
"49","의료급여",62,31,3,8,20,13,"안산 운영센터"
"50","경감",396,339,42,57,240,28,"안산 운영센터"
"51","합계",574,360,47,62,251,110,"과천 운영센터"
"52","일반",461,298,39,54,205,72,"과천 운영센터"
"53","기초수급",90,41,4,6,31,36,"과천 운영센터"
"54","의료급여",1,0,0,0,0,1,"과천 운영센터"
"55","경감",22,21,4,2,15,1,"과천 운영센터"
"56","합계",5.735,3.534,404,836,2.294,943,"남양주 운영센터"
"57","일반",4.532,2.743,310,644,1.789,748,"남양주 운영센터"
"58","기초수급",795,434,48,98,288,175,"남양주 운영센터"
"59","의료급여",66,43,3,12,28,10,"남양주 운영센터"
"60","경감",342,314,43,82,189,10,"남양주 운영센터"
"61","합계",1.555,922,149,191,582,350,"가평 운영센터"
"62","일반",814,418,47,82,289,201,"가평 운영센터"
"63","기초수급",638,415,93,96,226,142,"가평 운영센터"
"64","의료급여",20,13,1,3,9,4,"가평 운영센터"
"65","경감",83,76,8,10,58,3,"가평 운영센터"
"66","합계",1.488,827,115,147,565,318,"오산 운영센터"
"67","일반",1.111,653,93,121,439,202,"오산 운영센터"
"68","기초수급",276,101,14,15,72,106,"오산 운영센터"
"69","의료급여",27,18,0,2,16,5,"오산 운영센터"
"70","경감",74,55,8,9,38,5,"오산 운영센터"
"71","합계",2.708,1.448,171,337,940,564,"군포 운영센터"
"72","일반",2.022,1.195,140,282,773,330,"군포 운영센터"
"73","기초수급",502,121,14,24,83,212,"군포 운영센터"
"74","의료급여",40,14,2,3,9,14,"군포 운영센터"
"75","경감",144,118,15,28,75,8,"군포 운영센터"
"76","합계",1.483,836,131,193,512,206,"의왕 운영센터"
"77","일반",1.247,717,117,162,438,173,"의왕 운영센터"
"78","기초수급",157,59,4,10,45,29,"의왕 운영센터"
"79","의료급여",19,10,3,1,6,2,"의왕 운영센터"
"80","경감",60,50,7,20,23,2,"의왕 운영센터"
"81","합계",1.582,1.02,118,250,652,320,"하남 운영센터"
"82","일반",1.203,811,96,212,503,220,"하남 운영센터"
"83","기초수급",288,131,16,26,89,95,"하남 운영센터"
"84","의료급여",10,6,0,0,6,1,"하남 운영센터"
"85","경감",81,72,6,12,54,4,"하남 운영센터"
"86","합계",8.805,5.832,969,1.227,3.636,878,"용인 운영센터"
"87","일반",7.467,5.035,842,1.074,3.119,749,"용인 운영센터"
"88","기초수급",864,374,59,66,249,113,"용인 운영센터"
"89","의료급여",69,45,8,9,28,11,"용인 운영센터"
"90","경감",405,378,60,78,240,5,"용인 운영센터"
"91","합계",4.74,2.611,226,454,1.931,1.033,"파주 운영센터"
"92","일반",3.518,1.923,168,355,1.4,775,"파주 운영센터"
"93","기초수급",914,416,38,64,314,249,"파주 운영센터"
"94","의료급여",47,29,5,1,23,4,"파주 운영센터"
"95","경감",261,243,15,34,194,5,"파주 운영센터"
"96","합계",2.746,1.643,193,344,1.106,541,"이천 운영센터"
"97","일반",2.069,1.261,151,268,842,367,"이천 운영센터"
"98","기초수급",508,225,24,51,150,169,"이천 운영센터"
"99","의료급여",25,18,1,2,15,3,"이천 운영센터"
"100","경감",144,139,17,23,99,2,"이천 운영센터"
"101","합계",2.544,1.601,155,295,1.151,488,"김포 운영센터"
"102","일반",1.989,1.243,125,226,892,371,"김포 운영센터"
"103","기초수급",407,227,19,44,164,110,"김포 운영센터"
"104","의료급여",24,16,2,3,11,5,"김포 운영센터"
"105","경감",124,115,9,22,84,2,"김포 운영센터"
"106","합계",4.22,2.709,299,565,1.845,540,"화성 운영센터"
"107","일반",3.308,2.12,240,435,1.445,419,"화성 운영센터"
"108","기초수급",626,333,37,73,223,112,"화성 운영센터"
"109","의료급여",39,23,2,7,14,7,"화성 운영센터"
"110","경감",247,233,20,50,163,2,"화성 운영센터"
"111","합계",2.584,1.583,179,386,1.018,421,"경기광주 운영센터"
"112","일반",1.986,1.238,143,308,787,317,"경기광주 운영센터"
"113","기초수급",440,202,22,40,140,101,"경기광주 운영센터"
"114","의료급여",21,15,5,5,5,0,"경기광주 운영센터"
"115","경감",137,128,9,33,86,3,"경기광주 운영센터"
"116","합계",3.204,1.8,185,395,1.22,678,"포천 운영센터"
"117","일반",2.177,1.257,123,280,854,412,"포천 운영센터"
"118","기초수급",799,350,42,78,230,249,"포천 운영센터"
"119","의료급여",49,32,3,9,20,9,"포천 운영센터"
"120","경감",179,161,17,28,116,8,"포천 운영센터"
"121","합계",2.175,1.427,154,337,936,391,"양평 운영센터"
