"","sido","center","type","applicants","total","grade1","grade2","grade3","grade4","grade5","outer"
"1","서울","영등포운영센터","합계",4655,3053,362,438,1156,916,181,503
"2","서울","영등포운영센터","일반",3691,2403,290,348,892,716,157,365
"3","서울","영등포운영센터","기초수급",571,304,29,44,110,107,14,123
"4","서울","영등포운영센터","의료급여",41,20,1,3,9,6,1,5
"5","서울","영등포운영센터","경감",352,326,42,43,145,87,9,10
"6","서울","광진운영센터","합계",3400,2212,142,360,884,693,133,496
"7","서울","광진운영센터","일반",2599,1667,107,284,667,496,113,364
"8","서울","광진운영센터","기초수급",448,236,17,27,84,96,12,114
"9","서울","광진운영센터","의료급여",37,25,2,1,9,13,0,3
"10","서울","광진운영센터","경감",316,284,16,48,124,88,8,15
"11","서울","동대문운영센터","합계",5005,3435,381,590,1300,1073,91,432
"12","서울","동대문운영센터","일반",3538,2444,288,413,931,731,81,276
"13","서울","동대문운영센터","기초수급",962,526,45,83,176,215,7,144
"14","서울","동대문운영센터","의료급여",42,26,3,6,9,8,0,5
"15","서울","동대문운영센터","경감",463,439,45,88,184,119,3,7
"16","서울","성북운영센터","합계",5695,3755,408,645,1477,1042,183,698
"17","서울","성북운영센터","일반",4203,2740,319,476,1059,730,156,499
"18","서울","성북운영센터","기초수급",933,507,31,74,185,198,19,184
"19","서울","성북운영센터","의료급여",55,32,5,6,14,6,1,5
"20","서울","성북운영센터","경감",504,476,53,89,219,108,7,10
"21","서울","노원운영센터","합계",8061,4763,454,548,1598,1804,359,1731
"22","서울","노원운영센터","일반",4871,2851,252,330,958,1058,253,986
"23","서울","노원운영센터","기초수급",2292,1154,118,124,362,479,71,666
"24","서울","노원운영센터","의료급여",123,76,5,9,29,30,3,22
"25","서울","노원운영센터","경감",775,682,79,85,249,237,32,57
"26","서울","서대문운영센터","합계",3845,2442,236,374,980,760,92,481
"27","서울","서대문운영센터","일반",2936,1812,175,265,727,572,73,373
"28","서울","서대문운영센터","기초수급",523,286,21,44,104,104,13,95
"29","서울","서대문운영센터","의료급여",31,25,5,1,7,10,2,1
"30","서울","서대문운영센터","경감",355,319,35,64,142,74,4,12
"31","서울","양천운영센터","합계",5230,3528,323,445,1373,1216,171,799
"32","서울","양천운영센터","일반",3746,2483,228,318,948,850,139,540
"33","서울","양천운영센터","기초수급",840,481,45,53,163,198,22,220
"34","서울","양천운영센터","의료급여",66,47,3,5,21,17,1,10
"35","서울","양천운영센터","경감",578,517,47,69,241,151,9,29
"36","서울","구로운영센터","합계",5322,3705,400,718,1459,1043,85,585
"37","서울","구로운영센터","일반",3961,2685,295,504,1062,756,68,423
"38","서울","구로운영센터","기초수급",721,440,34,71,172,154,9,141
"39","서울","구로운영센터","의료급여",53,37,4,6,15,12,0,6
"40","서울","구로운영센터","경감",587,543,67,137,210,121,8,15
