"","sido","center","type","applicants","total","grade1","grade2","grade3","grade4","grade5","outer"
"1","서울","영등포운영센터","합계",4763,3136,373,454,1131,958,220,516
"2","서울","영등포운영센터","일반",3674,2375,274,348,852,724,177,369
"3","서울","영등포운영센터","기초수급",585,313,43,37,113,100,20,131
"4","서울","영등포운영센터","의료급여",40,20,1,3,10,5,1,4
"5","서울","영등포운영센터","경감",464,428,55,66,156,129,22,12
"6","서울","광진운영센터","합계",3461,2242,142,334,885,744,137,511
"7","서울","광진운영센터","일반",2578,1628,105,257,639,525,102,375
"8","서울","광진운영센터","기초수급",468,246,14,25,87,103,17,121
"9","서울","광진운영센터","의료급여",38,27,1,2,11,11,2,2
"10","서울","광진운영센터","경감",377,341,22,50,148,105,16,13
"11","서울","동대문운영센터","합계",5186,3570,394,606,1290,1162,118,432
"12","서울","동대문운영센터","일반",3520,2399,286,405,855,760,93,279
"13","서울","동대문운영센터","기초수급",1023,574,48,79,198,236,13,142
"14","서울","동대문운영센터","의료급여",43,28,4,9,6,9,0,5
"15","서울","동대문운영센터","경감",600,569,56,113,231,157,12,6
"16","서울","성북운영센터","합계",5854,3939,431,632,1530,1140,206,707
"17","서울","성북운영센터","일반",4224,2787,321,466,1071,774,155,508
"18","서울","성북운영센터","기초수급",964,545,38,71,208,200,28,184
"19","서울","성북운영센터","의료급여",56,33,7,3,14,5,4,5
"20","서울","성북운영센터","경감",610,574,65,92,237,161,19,10
"21","서울","노원운영센터","합계",8226,4933,478,576,1609,1883,387,1725
"22","서울","노원운영센터","일반",4811,2776,273,336,914,1018,235,980
"23","서울","노원운영센터","기초수급",2337,1229,117,137,377,512,86,667
"24","서울","노원운영센터","의료급여",129,76,5,8,28,33,2,23
"25","서울","노원운영센터","경감",949,852,83,95,290,320,64,55
"26","서울","서대문운영센터","합계",3903,2527,236,392,999,802,98,476
"27","서울","서대문운영센터","일반",2914,1813,174,280,725,559,75,366
"28","서울","서대문운영센터","기초수급",532,297,19,43,107,116,12,99
"29","서울","서대문운영센터","의료급여",32,24,5,0,8,10,1,1
"30","서울","서대문운영센터","경감",425,393,38,69,159,117,10,10
"31","서울","양천운영센터","합계",5288,3591,307,434,1408,1254,188,783
"32","서울","양천운영센터","일반",3690,2428,211,293,941,839,144,525
"33","서울","양천운영센터","기초수급",856,497,43,54,173,201,26,224
"34","서울","양천운영센터","의료급여",63,42,4,4,18,14,2,9
"35","서울","양천운영센터","경감",679,624,49,83,276,200,16,25
"36","서울","구로운영센터","합계",5448,3777,410,772,1472,1034,89,567
"37","서울","구로운영센터","일반",3932,2618,306,543,988,714,67,410
"38","서울","구로운영센터","기초수급",765,469,35,76,194,156,8,138
"39","서울","구로운영센터","의료급여",56,40,5,5,17,13,0,5
"40","서울","구로운영센터","경감",695,650,64,148,273,151,14,14
"41","서울","관악운영센터","합계",5446,3595,337,566,1347,1181,164,625
